 	dopo	Giovanni	é	tornato	a	casa	</S>
a31	0.2334548673	0.140330975	0.03282013825	0.330017845	0.0958782025	0.034365040035	0.1331329154
a20	0.101671838633	0.254322138333	0.08671994475	0.328172113333	0.170570670833	0.0139417893683	0.0446014859533
a17	0.0666829285443	0.309808992778	0.278811101583	0.171802796111	0.150130000278	0.00750723848943	0.0152569395378
a31	0.0395387975148	0.354943660926	0.376785090528	0.12250694337	0.096750583426	0.00393763036314	0.00553732064593
a39	0.102440609505	0.377500310309	0.243241351509	0.118633999123	0.145903867809	0.0101287482877	0.00215109931531
a31	0.164619539835	0.22845834677	0.125376230836	0.253005566374	0.201314035936	0.0223518174292	0.0048744414051
a20	0.161325416612	0.110602063923	0.067048460612	0.323224722125	0.297768618645	0.0304654654764	0.00956526413503
a31	0.140104315537	0.0631311839743	0.0383676925373	0.270229464042	0.436931796215	0.0295925714921	0.0216429993783
a13	0.0901818175123	0.0404554373248	0.0254647688458	0.215175328014	0.559796782072	0.0289518328307	0.0399740531261
a24	0.0626768201708	0.0350961041083	0.0219901099486	0.156595879338	0.630773544024	0.0316685796102	0.061198975042
a46	0.0760438220569	0.0486766280361	0.0332824513162	0.151872879779	0.614165981341	0.0244682442034	0.051489993814
a31	0.0810047726856	0.0715505843454	0.0601720851054	0.20433450326	0.531866767114	0.0205401934011	0.0305310860713
a20	0.0623060538952	0.0892247197818	0.0888844217018	0.276621311087	0.423902465705	0.0316272531337	0.0274337790238
a31	0.0544989169651	0.0961197299273	0.105594623901	0.345941170362	0.320910135235	0.0419970127112	0.0349383860079
a18	0.0617545103217	0.0968059333091	0.107791284634	0.366823516787	0.239681121745	0.0858894759037	0.0412541276693
a20	0.0741672714406	0.10108443977	0.110456603545	0.351470785596	0.187138043915	0.116456398635	0.0592264682231
a31	0.0869526951469	0.108379371923	0.117719279848	0.318763465199	0.150485994638	0.102054641545	0.115644559408
a11	0.105651828382	0.115617973974	0.119595826616	0.233707771733	0.140536118213	0.118569145848	0.166321359803
a31	0.106422706127	0.109304404658	0.109714562205	0.156558620578	0.123282824738	0.122196121949	0.272520776601
a28	0.0949346073757	0.095938564886	0.096027990735	0.115837630193	0.101031021913	0.100749977316	0.395480175534
a41	0.0871382091252	0.0873342882953	0.0871468769117	0.0954164800643	0.089896378971	0.0917485291053	0.461319198511
a8	0.0833296077084	0.0837386860984	0.0836880023039	0.0913799650214	0.085855429657	0.0870819863684	0.484926299504
a33	0.0914378825695	0.0956555303661	0.097491225768	0.136745536674	0.0924482545523	0.0811451971228	0.405076356501
</S>	0.0984394712848	0.106231517683	0.109854820384	0.179356298337	0.0985179642762	0.0760396010614	0.331560313251
