 	la	sorella	mia	si	non	è	venuta	ancora	ancora	qui	</S>
a31	0.2962077305	0.0126135441	0.00114428055	0.000501186565	0.02421597875	0.157413744	0.314969285	0.0730258525	0.066793632	0.04802983165	0.00508496669
a14	0.0994415296	0.00884219126667	0.00135842548333	0.000873723355	0.020149899199	0.1517787722	0.580418745	0.0326850358333	0.0860099073333	0.0167086923167	0.00173306989033
a11	0.0340102710333	0.0106844942556	0.00192481149444	0.00135493211833	0.006795573492	0.0515904553333	0.761969565	0.0142479316111	0.110176329111	0.0066439491389	0.000601670762443
a31	0.0143452267444	0.0105474790852	0.00600019216481	0.00234532427278	0.00341309764067	0.0205483232778	0.649040511667	0.0129311688704	0.277698853037	0.0029043803463	0.000225473935148
a46	0.0429912945815	0.0158624433617	0.0249980693883	0.00705451009093	0.0128863245469	0.0163358465259	0.357113525889	0.0302539822901	0.488441904346	0.00396911821543	9.29954140493e-05
a33	0.0933499261938	0.0280546337872	0.0489257631294	0.0155065540303	0.0295280595156	0.0203522665086	0.157949856296	0.05259914143	0.509268311449	0.0439454759051	0.000520026124683
a23	0.111854625398	0.0338444339291	0.0490610877098	0.0208457533434	0.0456879621719	0.0228363331695	0.0932688477653	0.0951541404767	0.453055420483	0.0684649459684	0.00592646384156
a31	0.107439703466	0.032292871643	0.0351741342366	0.0181619247811	0.0473062773906	0.0222649173898	0.147678079255	0.153370590159	0.384129476828	0.0408854753228	0.0112965512805
a21	0.0799968401553	0.0232250010143	0.0236529477455	0.0109373033604	0.0478409044635	0.0277274777966	0.171752343085	0.191458990053	0.375730528943	0.0372585364409	0.0104191030935
a24	0.0473329627184	0.0121834754714	0.0148247652485	0.0062203578868	0.0481959681545	0.0333567692655	0.140849647695	0.252139966684	0.394692402981	0.0367396654803	0.0134639923645
a46	0.0457505852395	0.0121785674905	0.0150180264162	0.00772340362893	0.0431668640515	0.0348327364218	0.158292159232	0.320922358895	0.32545400766	0.0232742438268	0.0133870354548
a20	0.0510989340798	0.0161819404968	0.0189218974721	0.011828528543	0.0479860563505	0.0429562221406	0.188178213077	0.356186016298	0.240261602553	0.0185393882756	0.0078611761516
a31	0.0438009913599	0.0162271358323	0.0175663961574	0.012317725181	0.0516558604502	0.0520094740469	0.255597457692	0.313577005433	0.198124760851	0.0141790480919	0.0249441163839
a7	0.0292815404533	0.0186611086108	0.0226816460525	0.0136324963937	0.0641806201501	0.0698961480156	0.312326582564	0.197815978478	0.190998253617	0.0099079590973	0.0706176314613
a10	0.0156303791511	0.0237384838703	0.0337501116842	0.0160476004646	0.07483308805	0.0893718660052	0.333508630855	0.102438861826	0.160822661206	0.0109425800991	0.138915720487
a31	0.0117077650504	0.0287173672901	0.0455789758947	0.0179040798215	0.07927761735	0.0974205070017	0.353685583618	0.062328482942	0.126601330402	0.0167401103664	0.160038156829
a0	0.0150232556835	0.0307733587634	0.0658561532982	0.0215866622738	0.124207199117	0.0972810106672	0.254460968873	0.065623014314	0.108372793467	0.0323780747888	0.184437458943
a31	0.0194865342278	0.0384044475878	0.0886959060994	0.0275256214246	0.151549833039	0.0991180568891	0.183416383958	0.0679806281047	0.0906298178223	0.0501931075963	0.182999626314
a37	0.0255444360759	0.0453821761959	0.0921466053665	0.0339535708082	0.137999661013	0.0964316622964	0.163670257986	0.130609889368	0.0945791212741	0.0669480825321	0.112734502105
a20	0.0344964453586	0.0527132193986	0.104471706789	0.0421185632694	0.148281637004	0.0987576460988	0.114323182662	0.171129573123	0.0927539824247	0.066480550844	0.0744734773683
