 	che	impara	una	cosa	che	studia	una	cosa	</S>
a31	0.381570802585	0.000299121125	0.000577768	0.0240043948	0.42225541235	0.055861615	0.0027511938	0.09734921134	0.015330532135
a24	0.129420926252	0.0360896229017	0.0461203491667	0.0479550062667	0.64021303745	0.060073856	0.00144466355667	0.03293547544	0.00574708036833
a31	0.0455627085507	0.0549968679672	0.0814474030556	0.0626027340889	0.71290015915	0.0264250937333	0.000565446237223	0.0116617643467	0.00383781245611
a20	0.0304841029836	0.0466887096557	0.127202814352	0.12080735803	0.653370746383	0.0138647869778	0.000501879507408	0.0043552206989	0.00272437589204
a0	0.0630420496612	0.0522646932186	0.173224364784	0.206059612677	0.474514262128	0.0234265079926	0.00151897276914	0.00378848438297	0.00216104893735
a31	0.0861580212204	0.0419672827395	0.125571914928	0.198365027559	0.390827627376	0.112217087998	0.00900839538971	0.00752285846099	0.0283617739791
a20	0.0762762370735	0.0300498639132	0.0786938193093	0.153314525853	0.351021609125	0.219618009333	0.0215032247966	0.016084511487	0.0534381596597
a11	0.0659881140245	0.0233320946377	0.0666524407698	0.130282939951	0.315313803042	0.256513173111	0.0386326039322	0.029258958829	0.0740258265532
a20	0.0704280030082	0.0239428738792	0.0715369002566	0.117571977984	0.283545967681	0.27361623437	0.0535310103107	0.0305866972763	0.0752403148511
a39	0.0701046596694	0.0296754249597	0.0839713684189	0.121294460995	0.275318035894	0.29179024479	0.0577682567702	0.0226857367588	0.0473918259504
a10	0.0749322885565	0.0507883316532	0.091809792473	0.117834015332	0.234603591965	0.252069658263	0.0696414322567	0.0296392655863	0.0786816536501
a31	0.0929999575188	0.0787139272177	0.0991121521577	0.112562218444	0.177438560655	0.184109022754	0.0867631127522	0.0479711251954	0.12032994455
a20	0.101378417173	0.0941651390726	0.104904390719	0.112596479481	0.151086370218	0.155252890918	0.103071432917	0.0633641083985	0.11418076485
a31	0.102195584058	0.0988606396909	0.10416893024	0.108657559827	0.131520933406	0.134401416973	0.109416972306	0.0760583361328	0.13471962495
a11	0.100869056353	0.0993210015636	0.101739766747	0.104192993276	0.116880567802	0.118073517324	0.107733980769	0.0901388487109	0.161050284983
a20	0.099745525451	0.0991593488545	0.100275535582	0.101759474425	0.109390490601	0.110287884108	0.107520784256	0.0974994975703	0.174361494994
a39	0.0995124751503	0.0992303709515	0.099988425194	0.100997924808	0.106095501534	0.107002503369	0.105588500085	0.0985305871901	0.183053741665
a20	0.10152042705	0.101387920317	0.102080751731	0.102878188269	0.106888667178	0.10750582779	0.106131538695	0.09944463573	0.172162040555
a31	0.100698321017	0.100579123772	0.10117267391	0.101779787423	0.104877967726	0.105205037263	0.103482454898	0.0982820152433	0.183922610185
a46	0.0997269870057	0.0997073595907	0.09996940797	0.100285720474	0.102002044575	0.101921612421	0.101470748299	0.100567529748	0.194348590062
a31	0.101450383669	0.10148755653	0.101601687657	0.101774053491	0.102822569858	0.10255749414	0.1027484361	0.103843066583	0.181714753354
</S>	0.102756488835	0.102750668265	0.102820581328	0.102944841746	0.103794197429	0.10349105207	0.10350084805	0.103955956292	0.173985361677
