 	lui	sapeva	che	oggi	fa	freddo	e	non	ha	voluto	venire	</S>
a48	6.4890505e-06	1.4316027e-05	1.0574396e-05	2.5798317e-06	1.7186065e-07	4.3510445e-06	0.00034938267	0.0009717818	0.0001345257	0.38532972	0.61317605	1.5552634e-11
a31	0.0034390374	0.018259827	0.13534792	0.6016748	0.1304418	0.07460002	0.017569978	0.006142551	0.00033822167	0.006444682	0.0053450484	0.00039610907
a0	0.003507265	0.03193488	0.6636304	0.00042193173	0.074911684	0.09167616	0.080934174	0.003322921	0.00076659827	0.00045786457	0.00031793452	0.048118155
a37	0.12543933	0.04059489	0.06458588	9.237697e-05	0.0006112156	0.0011600478	0.05856442	0.20994827	0.02989779	0.15280443	0.3035994	0.012701938
a25	0.0057749124	0.01703644	0.01291237	0.00034870498	0.0010250441	0.00024052752	0.0055625844	0.02588071	0.0071023293	0.28682625	0.6216757	0.015614436
a31	0.021057	0.06999869	0.06495945	0.008544355	0.018988993	0.006580978	0.01974896	0.033202633	0.007357087	0.15158018	0.59684604	0.0011356145
a3	0.002008543	0.19622211	0.12610914	0.23253247	0.17273854	0.040063623	0.19733542	0.02706875	0.0016054007	0.001228001	0.0024235693	0.0006644233
a20	0.07062823	0.13124685	0.055360638	0.24662699	0.06115102	0.04580776	0.25229904	0.120949015	0.003560882	0.004928718	0.0074038035	3.7074024e-05
a24	0.104341835	0.20342126	0.06396508	0.41798377	0.014244939	0.017954089	0.07145436	0.076179214	0.004672173	0.0076970034	0.017510539	0.0005757697
a18	0.10007597	0.1336084	0.06762065	0.50956124	0.015770279	0.024268076	0.03979982	0.047286153	0.0046704053	0.011218754	0.04397538	0.0021448794
a31	0.038631044	0.103785135	0.096046105	0.6025912	0.022900451	0.026574127	0.06367524	0.030147286	0.00212864	0.0024091443	0.0078369705	0.0032746883
a28	0.007300996	0.0223298	0.12620248	0.07428644	0.31383455	0.083462074	0.22212256	0.047271643	0.034470413	0.016243191	0.013975713	0.03850015
a37	0.092857674	0.085221715	0.04439954	0.12282247	0.024888061	0.02087823	0.11099695	0.33100337	0.04198892	0.061307076	0.06334097	0.00029501104
a31	0.21789452	0.036207978	0.07741682	0.030967813	0.048390858	0.04293237	0.10446539	0.09094704	0.06422775	0.15991181	0.12507792	0.0015597054
a20	0.03205159	0.0072692884	0.094537094	0.036382362	0.1574558	0.07973369	0.08605301	0.061211564	0.11302761	0.10942396	0.14150761	0.08134644
a13	0.24405776	0.048789527	0.06576418	0.027113345	0.04482127	0.043869857	0.09926147	0.06655094	0.027510583	0.15902947	0.17192398	0.0013076102
a20	0.44289386	0.016324012	0.11152198	0.033281233	0.06835013	0.08283687	0.07777814	0.014518859	0.0067024888	0.09024677	0.05408797	0.0014577258
a31	0.307607	0.018692322	0.11566109	0.037309848	0.09106119	0.094091274	0.07455967	0.028644789	0.015135486	0.11667924	0.097972386	0.0025857666
a44	0.043959867	0.004354577	0.06159267	0.016202338	0.08983203	0.054757755	0.024824195	0.03817373	0.25013795	0.14804189	0.17513175	0.092991225
a31	0.35457695	0.046946928	0.085005894	0.034455575	0.062441245	0.06943593	0.0900947	0.03714786	0.0062213396	0.10164893	0.11101493	0.0010097377
a23	0.10932841	0.0032867016	0.04322635	0.00236375	0.092758015	0.071405254	0.008031681	0.010560328	0.24584892	0.1448985	0.23480685	0.033485252
</S>	0.25898772	0.017820248	0.10234945	0.013435333	0.10839883	0.112002894	0.060516287	0.0128591545	0.004254257	0.097280785	0.2083653	0.0037296896
