 	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	</S>
a43	0.0017624818	0.0020968847	0.0030172067	0.008634222	0.03546089	0.43920976	0.108068444	0.11532773	0.27777773	0.008644649	2.2373868e-10
a20	0.9539439	0.0013368591	0.0013640051	0.026997399	0.009047967	0.0029620847	0.0007479794	0.0002559058	0.0015609878	0.0015352678	0.0002476946
a31	0.08938126	0.013044141	0.012882071	0.5228164	0.29809046	0.027551789	0.0052557387	0.0003575673	0.014327328	0.016087921	0.00020533254
a39	0.0007969006	0.0014061282	0.038432464	0.0656358	0.29531124	0.16541907	0.019575953	0.010096557	0.14229998	0.24963555	0.011390308
a31	0.01891249	0.012404776	0.17177063	0.14984924	0.046931922	0.06875974	0.04368972	0.07619063	0.2933627	0.11812239	5.7664156e-06
a46	0.0046640923	0.0060190368	0.028593749	0.03013818	0.07134319	0.05730146	0.009339267	0.0073188576	0.19562945	0.5893894	0.0002634021
a37	0.11091144	0.035959903	0.12597859	0.05552796	0.059997037	0.16549508	0.16208182	0.10064136	0.13279761	0.05060776	1.5270791e-06
a31	0.1107411	0.015098837	0.09503314	0.0641067	0.12199004	0.37258023	0.07338183	0.050125487	0.069493346	0.02728184	0.00016740522
a13	0.73674023	0.00090818363	0.03389215	0.035211686	0.052931186	0.038033172	0.012988211	0.015942927	0.020397918	0.05114149	0.001812919
a11	0.041638117	0.012999286	0.034364402	0.039606933	0.1699634	0.42387828	0.0973447	0.025233863	0.04774403	0.107202165	2.4814337e-05
a31	0.014998093	0.0038363875	0.010941986	0.014663204	0.08900662	0.2032279	0.029934423	0.045516618	0.09966745	0.48021138	0.007995973
a20	0.043094397	0.0013359642	0.028655605	0.045935538	0.26805657	0.4562771	0.10077596	0.010967665	0.005616617	0.03178106	0.007503574
a31	0.016413527	0.014454193	0.033051264	0.02725518	0.08797157	0.16982424	0.051532965	0.092082635	0.20284761	0.30390608	0.0006606808
a41	0.006267584	0.001827795	0.01341202	0.023494389	0.22285521	0.34116915	0.057357877	0.0145482905	0.01248021	0.2951931	0.01139433
a31	0.032560855	0.03816728	0.06927859	0.045751058	0.07298798	0.09926154	0.062901154	0.112019144	0.2155295	0.2504122	0.0011306407
a24	0.0034248831	0.00156585	0.009629889	0.016980566	0.2059189	0.38445315	0.045640748	0.013333787	0.014179472	0.28729588	0.01757692
a31	0.043544352	0.056567784	0.09666414	0.058098238	0.07972645	0.102867685	0.0783038	0.106317505	0.18233201	0.19437094	0.0012070728
a10	0.002897586	0.001553933	0.008605697	0.014658363	0.18441817	0.37038466	0.039213292	0.014806677	0.018037288	0.32248348	0.022940807
a31	0.03773403	0.041265342	0.0727513	0.048711475	0.06698903	0.07582074	0.060318436	0.1139772	0.22129035	0.2596236	0.001518509
a46	0.0034129568	0.002510559	0.010480971	0.01715131	0.19709101	0.39908132	0.043406792	0.013485967	0.017090693	0.2834449	0.012843535
a20	0.054016545	0.07364015	0.1168743	0.0674087	0.07270291	0.07676091	0.08129904	0.10721404	0.17242208	0.17603986	0.0016214629
a46	0.030413838	0.04608335	0.07880176	0.051774196	0.08639885	0.0881212	0.06680883	0.0938917	0.17147273	0.25806728	0.02816632
a31	0.03996612	0.032256976	0.044763286	0.046427693	0.06272978	0.059617095	0.046301898	0.07234631	0.15316577	0.43861842	0.0038066944
a7	0.0077709323	0.0033006696	0.010138585	0.01884156	0.19044358	0.42016324	0.033944122	0.009457372	0.01197545	0.13886553	0.15509893
a31	0.03900161	0.036630623	0.05321542	0.04615257	0.06514809	0.07321445	0.051402442	0.09050481	0.18347864	0.35839638	0.0028549607
a39	0.0076174154	0.007121254	0.013588345	0.020578573	0.16768797	0.36841124	0.033625603	0.01058003	0.016898701	0.27453583	0.07935504
a31	0.055134058	0.06333634	0.08859804	0.06215367	0.06379349	0.058681935	0.0643849	0.10413118	0.17765781	0.25934932	0.0027792929
a15	0.009806416	0.013702815	0.019612622	0.026712053	0.15323344	0.30621526	0.03432353	0.012933203	0.022805635	0.30079445	0.09986055
a20	0.06286144	0.07352542	0.099625036	0.071405664	0.07370084	0.07077693	0.07155513	0.088899404	0.13743842	0.24647804	0.0037336661
a35	0.0700723	0.12799452	0.16671114	0.09942165	0.098968156	0.082073845	0.09250686	0.043846626	0.0546178	0.10584909	0.05793799
a28	0.06927634	0.07198912	0.08417766	0.07854993	0.08134862	0.06812692	0.06823388	0.0629604	0.10583505	0.30093676	0.008565345
a31	0.044046577	0.049957465	0.054159593	0.057906896	0.08648665	0.08097796	0.049485955	0.036706198	0.055898163	0.39468604	0.08968853
a0	0.022444446	0.02752048	0.031444203	0.05045682	0.20452908	0.33331856	0.04377685	0.010868208	0.015863828	0.077492006	0.18228552
a31	0.07433182	0.08682048	0.09480358	0.08508421	0.087291956	0.084019735	0.076850295	0.060914084	0.094084494	0.24776696	0.008032362
a20	0.014840069	0.02915674	0.025663909	0.03427843	0.1135137	0.1580864	0.025469096	0.010783947	0.017906636	0.21586275	0.35443833
a41	0.094348624	0.113082185	0.12117416	0.10391731	0.081566565	0.06339121	0.084552325	0.060945723	0.10330222	0.16761985	0.0060998374
a39	0.054182507	0.09506298	0.09429976	0.07560424	0.07897168	0.054569878	0.06319831	0.05542195	0.07991453	0.2300538	0.11872035
a31	0.07250098	0.065000646	0.05031939	0.07627317	0.07469428	0.052816585	0.054838456	0.0403868	0.085327946	0.4018896	0.025952088
</S>	0.01257203	0.018899212	0.016259454	0.02559146	0.08257697	0.09625978	0.016291933	0.006614554	0.010482256	0.069625214	0.6448272
