 	quando	Giovanni	venne	a	casa	la	sera	andava	molto	stanco	perché	aveva	lavorato	tutta	la	settimana	</S>
a8	0.00214478025	0.22148678695	0.17246716675	0.05251134435	0.029728054515	0.010706418	0.0001093394404	6.693494503e-06	4.6779682e-05	0.005567106228	0.480441340555	0.00968221064	0.012353522675	5.60102529115e-06	0.001931913165	0.0005504274875	0.00026050277191
a39	0.0132089604167	0.45562227565	0.246404375583	0.05693187345	0.0317975056717	0.0108743705333	0.0001134289728	7.26165293433e-06	3.8863574e-05	0.00697623440933	0.160199972258	0.0107225025467	0.004247780265	1.83024744304e-05	0.001203336165	0.00135923259583	0.00027375209397
a31	0.0167084065056	0.394410500883	0.215186211861	0.103609741817	0.0619387373906	0.0350556697111	0.000633822610267	0.000123832139745	4.5158362e-05	0.0107522204698	0.0535263172793	0.0061838038489	0.00254459521167	0.00035397310481	0.0252442496217	0.0729610409986	0.000721792854657
a20	0.0153667218685	0.142299711128	0.167592917287	0.122029763606	0.0792824651302	0.074647448237	0.0101737740368	0.00214342363658	0.001808757206	0.201435875823	0.0206294965831	0.011911012283	0.00763862427056	0.000850000834937	0.0368499008739	0.104478886333	0.000861277845886
a24	0.0148254894562	0.052427173076	0.113187724096	0.0654353735353	0.0447029283767	0.069074649079	0.0142738093456	0.00359244571219	0.00271855806867	0.501140758608	0.0097503667277	0.0192878704277	0.00930925625685	0.00648550897831	0.0262157016246	0.047281336611	0.000291057180395
a8	0.0105583989854	0.028339981892	0.107289406365	0.0967062105118	0.0891344767922	0.0701666543597	0.00703400444853	0.0021660565674	0.00220172785622	0.460528339536	0.00493923060923	0.0173552214759	0.00840367058562	0.00808191419277	0.0382326818749	0.0486666873703	0.000195292387565
a24	0.0157710983285	0.0277935412973	0.165789472122	0.134240540171	0.120612365597	0.0842533881199	0.00515605461618	0.00154283275247	0.00472930361874	0.319768913179	0.00610338936974	0.0105256788253	0.0141534645285	0.00285758553759	0.0376915482916	0.0488425901234	0.000168174249188
a31	0.0183618351095	0.0261085864324	0.204584567374	0.112047120057	0.084403655199	0.0628931823733	0.00458750657206	0.00143270705082	0.00462681918425	0.408027837726	0.00502877282991	0.0122471136084	0.0120997243428	0.00198472845253	0.0193806386639	0.0218779520411	0.000307228459729
a20	0.0115332203032	0.0160662626775	0.141123192791	0.0683337766857	0.063104141733	0.0620623791244	0.0266856540907	0.00231728808361	0.00934448470608	0.370398015909	0.0188685233166	0.123474758869	0.0365174102809	0.00357737515084	0.0149291174546	0.0313153830137	0.000348994919776
a31	0.0042895891344	0.00635167592583	0.0545596859303	0.0433699998952	0.052381017911	0.0728286050415	0.0456365013636	0.00381121992787	0.0116478131354	0.184202423303	0.0259220350055	0.20794865629	0.0545037300936	0.00685190338361	0.0516004264849	0.167977909005	0.00611676699313
a8	0.00349679681147	0.00435389657528	0.0257729593101	0.0333776719651	0.0403619673037	0.0553392993472	0.0396700121212	0.00520190787596	0.0230840399451	0.0837457904343	0.121177986902	0.15178232043	0.0581240033645	0.0086141159612	0.0744649098283	0.263306409668	0.00812589037771
a31	0.00295805656382	0.00350229125843	0.01407185277	0.0347607329884	0.0536284211012	0.0776454607824	0.0633101990404	0.00716043629199	0.0291493026484	0.0459544788114	0.160737442634	0.167817988477	0.0847947777882	0.00625074945373	0.0522527129428	0.191651153223	0.0043539655059
a20	0.00487048914794	0.00311590738614	0.00970486415667	0.0353973963295	0.0561920437004	0.0825211169275	0.0755731963468	0.00770332043066	0.0323143878828	0.0327883026038	0.226497147878	0.162543228159	0.0984468779294	0.00457426445124	0.0403548793143	0.124338181074	0.00306443058863
a31	0.00551802434931	0.00278125182871	0.00701964061889	0.0299781481098	0.0499917232335	0.0761727056425	0.0741333004489	0.00670228514355	0.0346757609609	0.0248882995346	0.251499375959	0.16501347472	0.102798907976	0.00429758455041	0.0398105961048	0.120461333691	0.00425761594954
a9	0.0020860955831	0.00160593740957	0.00616291953963	0.0290443217033	0.0592284020778	0.0962973335475	0.0994279318163	0.00749797804785	0.047828030987	0.0246615861782	0.171809621986	0.176620394907	0.124765755992	0.00270181594014	0.0353980837016	0.110260289564	0.00460349925935
a31	0.0010251091277	0.00114181720319	0.00524984091321	0.0241318415678	0.0520195093593	0.0880271695158	0.0988858572721	0.00712272628262	0.0537498229957	0.0241171483927	0.148686388329	0.178485418302	0.124989518664	0.00360009433671	0.0496169342339	0.133492404855	0.00565839869595
