 	se	vieni	alle	sette	se	no	non	vieni	più	che	non	mi	ha	</S>
a31	0.000738548676275	0.00700636682265	0.00013976116885	0.004829839793	0.0229232024	0.00147003535645	0.0182565374	0.23037912	0.525324675	0.131153495	0.044870212	0.00901038455	0.00357323348015	0.00032456423159
a20	0.00330443415876	0.0247071012742	0.00290051854628	0.00587379659767	0.0519404531333	0.00364791338548	0.197714873467	0.214130996667	0.325930925	0.120531455	0.0363308861	0.00889863579333	0.00376298979338	0.000325001454297
a13	0.00722538688625	0.0401139247581	0.00642062918209	0.0157196625326	0.0554255030444	0.0127877415952	0.375622607822	0.141753642222	0.163311938333	0.133442795	0.0410158874667	0.00488135854111	0.00216989626446	0.000109003511599
a31	0.00618890056208	0.0279932803194	0.00483368019826	0.0180783611109	0.0280514003481	0.0147285316317	0.256421138707	0.108789323074	0.100571176111	0.165914855	0.140542475822	0.0616762951804	0.0661737126215	3.68624593663e-05
a28	0.0621225056207	0.0329379245065	0.00220583497032	0.0084664285703	0.0351680387827	0.0504732616439	0.193989989002	0.0747279766913	0.0876439933703	0.136215297333	0.150092538941	0.0791454647935	0.0867981567652	1.26060274288e-05
a31	0.0859091578736	0.0347325071022	0.00133671497444	0.0056088373901	0.0400637785942	0.077003991548	0.178075111001	0.0728741555638	0.0724371657901	0.100247208111	0.082527111647	0.132501777998	0.115742994813	0.000939489297683
a21	0.0451057999579	0.0148142579674	0.00202080967581	0.0041241102967	0.0236690755314	0.175746134849	0.0829307103337	0.0771532038546	0.0620794532634	0.115058536037	0.0954157768823	0.167541662666	0.133085031938	0.00125543894856
a31	0.0283751572193	0.0079377295558	0.00231291660527	0.00388185666557	0.0370631968438	0.19451635095	0.0828343707779	0.192357786618	0.122114525754	0.104779005346	0.0747120812941	0.0883566825553	0.0587015893127	0.00205676559885
a20	0.0152154323064	0.00708457208527	0.00622421911509	0.00690696155519	0.0419957849479	0.135498292983	0.0768875072593	0.215732158873	0.132517597918	0.124205591782	0.109885461431	0.0753686591851	0.0501363581042	0.00234142589962
a28	0.0116001427688	0.0109704060284	0.0139743040384	0.0130652961851	0.0283688366493	0.138321319661	0.0609230774198	0.109647312958	0.0617649809727	0.204170703927	0.171521527144	0.104320809728	0.0700784793681	0.00127282389987
a27	0.0116439729229	0.0127059120095	0.0161823156795	0.014321052395	0.0236558675498	0.0947196485537	0.0613578458066	0.076594280986	0.0376913883242	0.237484367976	0.164709195715	0.144950199909	0.103004323123	0.000979657366623
a17	0.0115082339743	0.0103781551032	0.0118559757265	0.0104293489983	0.0181553813499	0.0704349561846	0.0495311986022	0.0585267103287	0.0277391617747	0.195865745992	0.146756371905	0.203472396636	0.183808501041	0.00153789628887
a4	0.0177454686581	0.0088701801344	0.00734509494217	0.00722994663277	0.0193945082833	0.0650506753949	0.0679120195341	0.0700676467762	0.0319781385916	0.186734725331	0.120014610635	0.207213248879	0.188360010347	0.00208375972962
a13	0.0242255492194	0.0136332500448	0.0101112495141	0.00987054297759	0.0275439467611	0.0668375051316	0.0734544865114	0.0737927555921	0.0386986848639	0.201239521777	0.113233373545	0.22381614296	0.122079426782	0.00146360234321
a31	0.0200051770731	0.0123540947483	0.0093555028247	0.00921916179253	0.0341473542537	0.0489406077105	0.0784447488371	0.186408575197	0.104912608955	0.135044313926	0.0800890097483	0.188823190987	0.0749725162607	0.0172831789144
a18	0.0145126993577	0.00825489564943	0.00733520492823	0.00671988906418	0.0286884177512	0.0485028835702	0.0788101239457	0.216515632399	0.118420662985	0.119970727975	0.100944448483	0.163553813662	0.0654425694202	0.0223280631115
a36	0.0139542861192	0.0192431195498	0.0249179869761	0.0180413823547	0.0220047042504	0.0579458235234	0.0433861566486	0.0845879217997	0.0462352473283	0.159203439325	0.162466786161	0.254933537887	0.0853232798067	0.00775634459383
a46	0.0172642037064	0.0250767775166	0.0314208453254	0.0229667144516	0.0221067744168	0.0630459851745	0.0348481632162	0.0443173532666	0.0249160261094	0.165972586442	0.158593765387	0.257673512629	0.128398849936	0.00339845631461
a31	0.0142397520688	0.0149642071722	0.0161369334751	0.0135267519172	0.0289000081389	0.0585303377248	0.0665474310721	0.176386140089	0.0759726693698	0.128762173481	0.105656785462	0.162576081876	0.122231480312	0.0155692434715
a20	0.0106368178563	0.0165281660574	0.023923886525	0.0185310347391	0.0358648750463	0.0488517929083	0.0836092703574	0.227637478363	0.0964086747899	0.112527485827	0.0803220554873	0.149446104959	0.0755376357707	0.0201746968905
a8	0.0100374125521	0.0340765506858	0.0797994788417	0.0639462905797	0.0494866883488	0.0443731353028	0.0628875087858	0.111959423121	0.0526847155966	0.118276678609	0.0918644751624	0.172878719986	0.0865409419236	0.0211879413635
a31	0.00672211201737	0.0318990480953	0.0863956446139	0.0738444535266	0.0651376627829	0.0440512617676	0.0640862582619	0.17106509304	0.0727309575322	0.0846602275363	0.0702683817208	0.112994602662	0.0784890379745	0.0376552521212
a24	0.00843963023912	0.0424112628984	0.102401713205	0.0753690711755	0.071457084261	0.0404701882559	0.074099972754	0.199699429347	0.0883320438441	0.0759420355121	0.0520177599069	0.084052638554	0.0529199199915	0.0323872493737
a46	0.0107669450797	0.0699584742995	0.186217437735	0.133962013725	0.086045868087	0.0257280004186	0.0644583542513	0.109710278116	0.0626020126147	0.064300933504	0.0404893546356	0.076996538518	0.0386922703305	0.0300715087912
</S>	0.00945162153985	0.0744785271498	0.219007688867	0.164702881862	0.0944009640435	0.0200659252093	0.0546247471257	0.079956004058	0.0509104313073	0.050806776752	0.0346785903178	0.069440567759	0.0373729936653	0.0401022923956
