 	ho	rotto	una	bottiglia	</S>
a31	1.0341324e-06	2.5312877e-06	0.00030165957	0.9773851	0.022309681
a21	0.00012993885	0.00080892316	0.13375147	0.70485157	0.16045804
a31	7.6671325e-10	5.4700026e-06	0.40222672	0.57134694	0.026420867
a35	1.1441283e-06	0.0007563348	0.7124878	0.25483406	0.0319207
a31	4.4779213e-07	0.00034684318	0.1957505	0.7747995	0.029102666
a24	2.1881901e-07	0.0011585366	0.18745737	0.76134056	0.05004326
a37	1.3752444e-09	2.4243552e-06	0.0001458203	0.09215208	0.90769964
a31	9.533098e-11	3.6658942e-06	0.00093230844	0.70511353	0.29395053
a33	9.244556e-13	1.0027066e-08	3.789949e-05	0.9350339	0.064928204
a31	1.228654e-12	2.8921325e-09	5.150494e-06	0.94656825	0.053426612
</S>	1.7840184e-13	3.9019482e-10	2.1301935e-07	0.46910214	0.5308977
