 	l	ha	scritta	</S>
a20	4.1620683e-06	6.5123063e-06	0.99094826	0.009041111
a31	0.061234895	0.09884541	0.7287257	0.111193985
a35	0.001005027	0.014576497	0.8043698	0.1800486
a31	1.3164348e-05	0.000110560206	0.35124958	0.64862674
a35	0.00075670885	0.0020590539	0.98685026	0.010334057
a31	0.001095904	0.00026663023	0.9537052	0.04493217
a41	1.0807876e-06	8.370901e-06	0.99307764	0.006912979
a31	1.3217617e-07	4.9727473e-06	0.8833105	0.116684444
a11	8.0978285e-10	2.3122618e-07	0.24729335	0.75270647
a18	3.687281e-12	2.0564337e-09	0.0012199851	0.9987801
a13	5.1662593e-12	1.9325195e-09	0.0008652325	0.99913484
</S>	1.7864602e-11	5.6762923e-09	0.00029033906	0.99970967
