 	deve	essere	bianco	</S>
a31	0.156888160115	0.78621515	0.0477168093	0.0091798776
a11	0.392996200038	0.515731923333	0.0519755821	0.0392962878667
a31	0.601759723346	0.326816424444	0.0253039053667	0.0461199852889
a37	0.483788881115	0.469260718148	0.0203897457889	0.0265606824296
a31	0.210173427005	0.754050906049	0.0172117774296	0.0185639122632
a37	0.0704213016263	0.89617073535	0.0251387779765	0.00826922804107
a31	0.0234976649654	0.940361945117	0.0311113799922	0.00502908561369
a20	0.00784306040455	0.862209081706	0.121098930664	0.00884899630456
a31	0.00261441092209	0.786245193902	0.184775110221	0.0263653261015
a0	0.000871477454199	0.612811271301	0.261655763407	0.124661497367
a31	0.000290492501951	0.324433263767	0.288530057802	0.386746165789
a20	9.68308414843e-05	0.166062653922	0.262322715934	0.571517805263
a18	3.22769522751e-05	0.0663355063073	0.441690048645	0.491942161754
</S>	1.61384828553e-05	0.0338921366536	0.562943074323	0.403148620877
