 	se	avessi	visto	il	tempo	avessi	visto	le	nuvole	e	non	avevo	uscito	per	bagnarmi	</S>
a20	5.95435768e-08	4.934849335e-06	4.907782175e-05	0.0015735846795	0.44481912204	0.000157161275	0.01223399755	0.01693978115	0.0063114913	0.00011248924	0.05260647	0.00080970675	0.4033649191	0.0120286345	0.04620579275	0.0027828466
a11	2.21042674667e-08	1.833973825e-06	6.12152284167e-05	0.000650957606167	0.1484256953	0.000151133465	0.0109058048833	0.0156657554833	0.00417104306667	9.68681128333e-05	0.0474909626667	0.000468130561733	0.4072766137	0.0211841655	0.340206737583	0.00324309093333
a38	1.04325994889e-08	7.27255454667e-07	6.48761594722e-05	0.000334243781522	0.0496181409383	0.000103952610633	0.00969577809443	0.0135048461811	0.00219361968889	3.246070736e-05	0.0199714865789	0.000156747945868	0.1415179984	0.0279712765	0.731645112528	0.00318869444444
a37	4.90911859163e-09	2.47866626789e-07	2.50247589241e-05	0.000116034473641	0.0165444374784	3.6561763311e-05	0.00391620923148	0.00525876258037	0.000963457296297	1.08323588082e-05	0.00963452554963	5.2468517546e-05	0.0491559628	0.0237974118333	0.887315337509	0.00317268361481
a11	1.66999424001e-09	8.4519285913e-08	1.05555297747e-05	4.3150444247e-05	0.0055203454064	1.39882953037e-05	0.00190728721383	0.00244002319012	0.000594385342099	3.62779206773e-06	0.00694105024988	1.7714374002e-05	0.0173617843	0.0185537119444	0.942943212503	0.00364903433827
a13	5.57837323623e-10	2.83259195253e-08	3.71214799157e-06	1.50905163557e-05	0.00184189751537	5.1519189479e-06	0.000729037719277	0.00090851544904	0.0002787368207	1.22815230891e-06	0.00377551654996	6.03238072733e-06	0.00656176456667	0.0160721073148	0.967519370834	0.00228174927942
a37	1.86000343597e-10	9.4571977323e-09	1.26512848252e-06	5.25405042523e-06	0.000615355153923	2.19397736263e-06	0.000282373351092	0.000335007320347	0.0001230670509	4.7102731697e-07	0.00203688824999	2.22741637578e-06	0.00339717392222	0.0179038884383	0.973635590278	0.00165917699314
a31	6.21528108887e-11	3.31461019697e-09	4.3514945284e-07	1.83332662108e-06	0.000206003626208	1.10004191754e-06	0.000114981765397	0.000127271348049	5.30231688433e-05	3.34700952323e-07	0.00103847980466	6.43669165193e-06	0.00613550710741	0.0346473578128	0.956253063426	0.00141413759771
a24	2.08676393866e-11	1.26641401581e-09	1.5550564438e-07	6.33560455027e-07	6.9259089636e-05	8.37993435847e-07	6.11309701657e-05	5.90496976163e-05	2.08643401578e-05	2.61293250774e-07	0.000436377552887	8.06194915064e-06	0.0071988680358	0.0528861026043	0.937796101142	0.00146228673257
a31	7.18896556587e-12	1.47357682209e-09	1.8218259156e-07	5.92208353676e-07	2.72753103787e-05	1.83423384528e-06	4.97122957219e-05	3.99655358721e-05	1.06648088193e-05	5.14194023591e-07	0.000248397037629	0.00013759685165	0.0349990083453	0.0596792708681	0.902893160381	0.00191180877752
a39	2.96052108862e-12	1.54272487732e-09	2.01447308187e-07	9.27051184559e-07	2.46714187929e-05	4.71943967151e-05	0.000383045770907	0.000267136213291	8.75535957064e-05	4.66340390786e-06	0.00139774750254	0.000631382073883	0.0553813977818	0.0721993002894	0.862353516794	0.00722121832584
a31	1.55575929621e-12	8.51160395727e-10	9.34980557062e-07	2.84653930949e-05	0.000875719008931	0.000579984172238	0.0013614249903	0.000851092391097	0.000220620951902	2.6385604636e-05	0.00221345356751	0.00162872755796	0.0550426942606	0.0608487034298	0.851156538931	0.0251652404419
a13	3.7673102654e-12	6.21173404642e-10	1.22158668569e-06	3.9384236465e-05	0.00120891615964	0.000925943624079	0.0025985700301	0.0018769037637	0.000745971493967	3.6252651212e-05	0.0040523897225	0.00166591642265	0.0470223507535	0.0428620811433	0.85762479631	0.039339349814
a41	4.7591649218e-12	2.07984394967e-10	4.92870431897e-07	1.64891194217e-05	0.00055801782988	0.000847166758026	0.0043459264767	0.00302087445457	0.000998426997989	2.08180845707e-05	0.00500002397417	0.00081223892755	0.0205795309178	0.0397330213811	0.853206732103	0.070860291938
