 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a31	0.31428513	0.6746611	6.755559e-05	0.00023359196	3.3934018e-07	0.000102342754	0.000104250874	0.00633634	0.0041344063	7.493171e-05
a37	0.06664299	0.9328688	0.0004358361	3.311174e-05	1.4924401e-09	1.6808403e-05	1.0921858e-06	9.859626e-07	2.7709012e-07	6.675542e-08
a31	0.5646168	0.43402153	1.2716319e-05	2.8588507e-05	9.541642e-09	4.9129332e-05	4.558695e-05	0.00010748449	0.00047452838	0.0006436689
a20	0.25081992	0.7488494	3.359983e-05	0.00011109903	1.6765127e-07	6.836099e-05	1.3955653e-05	1.3163029e-05	5.743385e-05	3.294414e-05
a31	0.8699852	0.12897713	1.0756731e-06	9.880463e-07	2.4263205e-09	3.4917814e-06	7.848103e-07	9.197417e-06	0.0006313563	0.0003907268
a13	0.93520933	0.06475132	1.1339836e-05	3.887255e-06	1.3671776e-07	2.6640082e-06	2.3163264e-07	1.8654518e-07	1.0424942e-05	1.04180135e-05
a31	0.9086652	0.0019618042	3.5618043e-06	2.652351e-06	3.7716404e-07	0.000540107	0.00029049508	0.0020032015	0.0859875	0.0005450901
a20	0.9719339	0.0057115364	4.302208e-05	4.3136704e-05	9.521496e-06	0.00037572673	0.00010856819	0.00024100713	0.017200794	0.0043328074
a17	0.034223475	0.0039629904	1.9588853e-05	0.00020127818	1.6590619e-05	0.00219782	0.0023899926	0.07479526	0.88197243	0.00022053778
a20	0.27637526	0.011476261	2.9232911e-05	0.000927034	6.7548367e-06	0.0075783567	0.0014377203	0.044811554	0.65505886	0.0022989279
a31	0.77306736	0.048011314	6.245444e-05	0.0031061324	1.7594039e-05	0.007243744	0.00086055347	0.010121658	0.15431358	0.0031956034
a20	0.016398977	0.0017097146	2.3370374e-05	0.00025123556	1.9232775e-06	0.06249837	0.008000813	0.13751216	0.765184	0.00841938
a31	0.85229516	0.05215402	1.9721838e-05	0.019489221	2.9681127e-05	0.0055933353	0.0006492777	0.004176585	0.06465584	0.00093707454
a3	0.019671759	0.027373359	0.0001301802	0.0025314179	9.2259485e-05	0.08760711	0.008448108	0.103222266	0.6862744	0.06464908
a8	0.13740225	0.016629407	0.00015039787	0.021284848	0.00016677704	0.08450218	0.008024495	0.041510805	0.67096424	0.019364677
</S>	0.0158667	0.003431225	7.4815296e-05	0.005760146	6.9186906e-05	0.4279271	0.024457062	0.065010555	0.44687256	0.010530555
