 	mi	si	gonfiò	il	dito	</S>
a31	0.9758497	0.011229824	0.00164348335	0.00728198094055	0.00196840293027	0.00202662193041
a11	0.875602566667	0.0145878653333	0.00185255391667	0.00551059227388	0.0600296522636	0.0424167920304
a31	0.777702188889	0.0222737667778	0.00445038710556	0.0122079234246	0.118774062421	0.0645916706768
a15	0.601605262963	0.0167288103593	0.00496875473185	0.0117231476415	0.120386335807	0.244587686892
a31	0.553808407654	0.00976288821977	0.00177313120728	0.00552566471383	0.101846203269	0.327283693631
a0	0.474354468551	0.00706645060659	0.00070602012576	0.00521244513794	0.369540705756	0.143119906544
a46	0.179300044517	0.00336671333553	0.000276067685253	0.00522869417931	0.758530668585	0.053297842848
a31	0.078755503839	0.00295229304518	0.000268517941751	0.00643848962644	0.832446289528	0.0791389409493
a18	0.047559659613	0.00285469648173	0.00054935732725	0.0366358228755	0.827254963176	0.0851455271498
a31	0.030918032871	0.00168094912724	0.00088537959575	0.0785027359585	0.814371367725	0.0736415425499
a24	0.043369408957	0.00129518534241	0.00110718383192	0.0988856169862	0.782202969242	0.0731396155166
a28	0.067184356319	0.00150072311414	0.00144225834397	0.126053817329	0.772822923081	0.0309958826722
a13	0.064513552773	0.00154174857138	0.00175596908132	0.16067555911	0.75525187436	0.0162613100574
a20	0.052063355591	0.00141986552379	0.00178763649377	0.186637493037	0.746381091453	0.0117106480191
a17	0.039703980197	0.00145670624126	0.00197650143126	0.219306217679	0.725668963818	0.011887707673
a39	0.0285795827323	0.00149735514709	0.00221414487709	0.243142825893	0.706102254606	0.0184638692243
a20	0.0176659159108	0.0011945184957	0.00190285205903	0.237537725298	0.714152998202	0.0275459954081
a31	0.00898494753693	0.000795157245233	0.00142242111968	0.218849195099	0.640033596067	0.129914687469
a41	0.00916985707898	0.00190967158174	0.00276273953989	0.206114758366	0.617548038689	0.162494937823
a8	0.0104542424597	0.00258531952725	0.00396507797996	0.187549489455	0.70569892623	0.0897469362743
a37	0.00573339288657	0.00143216934242	0.00261948292665	0.168773499818	0.748864498743	0.0725769360914
a8	0.00390025926219	0.00108516024747	0.00230345307555	0.159958669939	0.767466412914	0.0652860310305
</S>	0.00398134063109	0.00127696377373	0.00304335933777	0.153732064969	0.769384226457	0.0685820505153
