 	avete	cucinato	le	verdure	</S>
a29	0.850367905	0.00742135325	0.124854607	0.015145228835	0.00221084311
a38	0.922921778333	0.00612481483667	0.0640951083333	0.006039937835	0.000818340456667
a31	0.738988559444	0.0238728591989	0.225030477444	0.011765034945	0.000343099622222
a11	0.683736476481	0.0297411087796	0.270675462848	0.0155938826483	0.000253125064074
a37	0.87697618216	0.0103464403499	0.0916009576493	0.0203406362161	0.000735847421358
a11	0.887995904053	0.0058299704933	0.0332742098831	0.0656458054054	0.00725419557379
a31	0.834139834684	0.0192298744978	0.0245590416277	0.0856815544685	0.0363897908579
a20	0.540066294195	0.0216981234326	0.0214696038759	0.368254437489	0.0485115556193
a31	0.183934464532	0.0082447352442	0.0112717229586	0.476331062496	0.320217963873
a39	0.064971165432	0.00367709632973	0.0155664703195	0.512451137499	0.403334069291
a13	0.021709582192	0.00124411979924	0.0218434277732	0.816688479166	0.138514343097
a18	0.00730006345733	0.000446181480747	0.0211553475911	0.918275193055	0.052823168699
a39	0.00248318715578	0.000173882639916	0.0214816168637	0.952030197685	0.0238310709997
a31	0.00096979075526	8.06125963053e-05	0.0172338963879	0.905359499228	0.0763561694332
a46	0.000706965951753	7.66391654351e-05	0.0264098672293	0.880756766409	0.0920497438111
</S>	0.000753639325877	9.38917677175e-05	0.0408761551146	0.911673983204	0.0466023329055
