 	mia	mamma	e	mio	padre	non	andarono	mai	in	Grecia	</S>
a46	0.0011384645	0.0012492943	0.0039215605	0.009288488	0.007837252	0.06023287	0.002969773	0.020899853	0.0038921784	0.017623309	0.870947
a31	0.062123064	0.037579626	0.06817935	0.13250884	0.09064321	0.23446263	0.013690401	0.053099427	0.0036699653	0.029052822	0.27499068
a17	4.790237e-08	2.0724928e-08	3.619055e-08	8.011953e-08	5.595112e-08	4.6543943e-07	7.057643e-08	3.1299814e-07	6.305701e-05	0.0060300916	0.99390584
a41	0.0118617555	0.0061724624	0.009744902	0.017659878	0.01199171	0.029194113	0.0027912862	0.009191062	0.0021817305	0.04151577	0.85769534
a31	0.0016776054	0.0007248724	0.0012325334	0.0025534972	0.0015583899	0.0048160697	0.00033852365	0.0014554884	0.00073758344	0.022947207	0.96195817
a38	1.1174217e-07	3.7322287e-08	6.3861904e-08	1.4738914e-07	9.001369e-08	6.0688916e-07	6.049646e-08	2.9031875e-07	3.9190327e-05	0.007929948	0.9920294
a31	0.009534193	0.0049054376	0.0077933045	0.013944352	0.008780865	0.01595316	0.0010900005	0.0035557891	0.00070002314	0.02803942	0.9057034
a17	2.754051e-08	7.695821e-09	1.2568961e-08	2.988177e-08	1.7205934e-08	1.1520312e-07	1.1305578e-08	6.007466e-08	2.6629043e-05	0.008237485	0.99173564
a31	0.004932886	0.0024651284	0.003912103	0.00700522	0.004371628	0.007691535	0.00050906296	0.0015660406	0.00038854656	0.021557761	0.94560015
a39	3.495366e-08	8.317549e-09	1.3511948e-08	3.3754993e-08	1.8350102e-08	1.1811171e-07	9.354634e-09	5.5030227e-08	2.7380258e-05	0.009646734	0.9903257
a35	0.0007371867	0.0003019342	0.00048296503	0.0009054843	0.00051062525	0.0008414172	3.9936145e-05	0.00014229471	4.4322638e-05	0.0073516155	0.9886423
a31	0.0010867068	0.0004095562	0.0007110958	0.0014627973	0.00076357427	0.0013356031	4.057473e-05	0.00017686063	5.571284e-05	0.008099093	0.9858584
a46	1.6556055e-07	2.6158586e-08	4.379861e-08	1.2744913e-07	5.745087e-08	3.7299824e-07	1.2752592e-08	1.0289932e-07	2.133407e-05	0.011487688	0.98849005
a38	0.0017068909	0.00069644395	0.0011998831	0.0023376255	0.0012441016	0.0017058111	5.003975e-05	0.00018578091	4.6679776e-05	0.006756504	0.9840702
a13	0.00176967	0.0006003508	0.0011704465	0.0026600726	0.0012435484	0.0019513125	3.054304e-05	0.0001641479	5.1467043e-05	0.006106014	0.9842524
a11	0.0046704663	0.0013559897	0.002780028	0.0070311506	0.0030449834	0.0062380913	6.6168526e-05	0.00043949406	6.7971145e-05	0.0049165124	0.96938914
a13	0.002948105	0.00078547	0.0016361197	0.00430486	0.001770425	0.0038838796	3.6513484e-05	0.00027874947	4.787045e-05	0.0041632834	0.98014474
a31	0.020619314	0.0068850294	0.014826215	0.036780834	0.015887497	0.028098414	0.00026598407	0.0018452534	0.00021938361	0.0065110167	0.86806107
a49	4.2657623e-05	5.1448856e-06	9.549188e-06	3.316788e-05	1.2462579e-05	7.125199e-05	7.2290914e-07	7.948001e-06	3.6155612e-05	0.008389725	0.9913912
a13	0.001011968	0.00029079837	0.00058982644	0.0014269118	0.00060433	0.000911356	1.1010857e-05	6.9406895e-05	5.1868778e-05	0.0043698787	0.99066263
a20	0.0011976005	0.00030044527	0.0006480155	0.001810478	0.0006931752	0.0013850163	9.595122e-06	7.903395e-05	7.5280266e-05	0.004482485	0.9893189
a31	0.0007989008	0.0002213689	0.00047994815	0.0012976112	0.0005104697	0.0009917098	8.490931e-06	7.2003306e-05	0.00011270299	0.0048424117	0.99066436
a8	0.00014718364	1.8413535e-05	3.3034547e-05	0.00011495308	4.224667e-05	0.00018802575	1.4257774e-06	1.5079799e-05	4.7627847e-05	0.0076857046	0.9917064
a31	7.8973746e-05	2.1757895e-05	4.185593e-05	9.9943616e-05	4.3807864e-05	8.207038e-05	1.7155529e-06	1.1296182e-05	6.1848084e-05	0.004235162	0.9953216
a45	0.00064229046	8.8229666e-05	0.00014796712	0.0005159962	0.00019369187	0.00075104786	5.5980254e-06	5.4272492e-05	0.0001257955	0.0126518225	0.98482335
a31	1.8518323e-06	5.354533e-07	9.4245763e-07	2.1251476e-06	1.042229e-06	2.402859e-06	9.5265214e-08	5.450507e-07	1.13080205e-05	0.0025487514	0.9974304
</S>	0.00087649445	0.00013663701	0.00022798096	0.00076915807	0.00029437107	0.0009607575	7.225657e-06	6.5218104e-05	0.0001599987	0.01593722	0.9805649
