 	se	vieni	ogni	giorno	a	casa	mia	compra	il	pane	</S>
a31	3.2712123e-08	2.080622e-08	4.141536e-09	1.1837788e-08	2.1017616e-08	2.5980597e-07	2.2740596e-06	0.9906798	0.008507783	0.000450632	0.00035917238
a37	1.5629717e-05	8.280726e-06	2.1454032e-06	4.172751e-06	6.4912847e-06	3.7382168e-05	0.00016760222	0.3798817	0.5946298	0.021241684	0.004005075
a31	0.0026260477	0.0016623649	0.0006006897	0.00088676834	0.0012341948	0.003903828	0.006398777	0.17756239	0.18050772	0.47168216	0.15293509
a20	5.682365e-08	2.5289372e-08	5.4817324e-09	8.7397405e-09	1.4718952e-08	1.3238002e-07	1.2727361e-06	0.08338558	0.87266994	0.04023437	0.0037085924
a31	0.002495852	0.00166229	0.00064677926	0.00092561095	0.0012343857	0.0035979054	0.0051466175	0.1335923	0.0923116	0.5083004	0.25008628
a20	7.669625e-08	3.4534715e-08	8.138367e-09	1.2998849e-08	2.2105294e-08	1.9865303e-07	1.8755547e-06	0.10040544	0.8512783	0.04483476	0.0034792554
a31	0.0012544573	0.0008687374	0.00035508221	0.0005042231	0.0006622372	0.0019287093	0.0026455175	0.082816936	0.06119136	0.5310478	0.316725
a11	8.8731674e-08	4.013067e-08	1.0052482e-08	1.649833e-08	2.8503786e-08	2.613394e-07	2.478349e-06	0.12720305	0.8264518	0.043359827	0.0029824532
a31	0.00033162168	0.00022179066	8.805798e-05	0.0001327311	0.00017764671	0.0006026377	0.00097436964	0.10672485	0.09760866	0.54513437	0.24800332
a20	1.2660738e-07	5.6204776e-08	1.4871467e-08	2.6056364e-08	4.6082768e-08	4.3623987e-07	4.106649e-06	0.19216198	0.7685856	0.036840703	0.0024069445
a31	0.00034331132	0.00027082692	0.0001264675	0.00018053173	0.00022623365	0.00062502833	0.0007154308	0.027113756	0.025947355	0.52367735	0.42077366
a29	9.911498e-08	4.471605e-08	1.2568339e-08	2.2605349e-08	4.0904037e-08	4.0355562e-07	3.924265e-06	0.22292084	0.7389463	0.036070537	0.0020577803
a46	0.00012346746	9.531449e-05	4.315333e-05	6.5808694e-05	8.3820145e-05	0.0002651496	0.00032982058	0.034587406	0.036294896	0.553814	0.37429714
a18	3.9256247e-05	3.338396e-05	1.6195612e-05	2.5665742e-05	3.2495536e-05	0.00010378708	0.00011916986	0.013585743	0.034190346	0.6214657	0.33038825
a31	8.261712e-05	7.3828895e-05	3.4909706e-05	5.7752168e-05	7.095757e-05	0.00022917445	0.00021829274	0.01892274	0.050439917	0.5561944	0.3736754
a28	4.649131e-07	2.0620008e-07	6.718538e-08	1.4340168e-07	2.6780486e-07	2.6659156e-06	2.1198286e-05	0.6411728	0.34092098	0.016691325	0.0011897878
a20	2.2429427e-05	2.567202e-05	1.6259099e-05	2.4926161e-05	2.7435595e-05	6.573002e-05	4.5733428e-05	0.0052217315	0.013217698	0.56375855	0.41757378
a41	8.0284535e-06	9.333227e-06	5.5964106e-06	8.989761e-06	9.968102e-06	2.898426e-05	2.1851236e-05	0.0049029174	0.030352587	0.58364683	0.38100493
a28	4.170126e-05	4.6605313e-05	2.6379104e-05	4.455566e-05	4.99393e-05	0.00015118263	0.00011269869	0.019777954	0.07631917	0.53242004	0.37100983
a8	2.7230013e-05	3.1972424e-05	1.9051084e-05	3.2543692e-05	3.5262932e-05	0.0001056217	8.470803e-05	0.017078748	0.08942318	0.48389533	0.40926635
a23	4.827825e-06	5.4010115e-06	3.4995383e-06	6.0754282e-06	6.5556237e-06	1.9885105e-05	2.0978356e-05	0.005509263	0.05491139	0.45788267	0.48162943
a31	4.2692936e-06	4.343938e-06	2.7685558e-06	5.1470706e-06	5.7584784e-06	1.8470024e-05	2.176446e-05	0.005555916	0.062012415	0.43175903	0.50061005
a39	0.00013244178	0.00011074117	4.704884e-05	7.628802e-05	0.000101204685	0.0004145213	0.00050697214	0.48934725	0.15714425	0.24216528	0.10995395
a20	3.0723422e-07	3.8938254e-07	2.7896522e-07	3.9807324e-07	4.2476228e-07	1.3194821e-06	1.440958e-06	0.004629835	0.0416488	0.6167344	0.3369824
a39	3.5312783e-07	4.2517223e-07	3.11211e-07	4.781133e-07	5.121576e-07	1.5803936e-06	1.8543187e-06	0.0026405754	0.04332041	0.5925409	0.3614925
a8	7.146671e-07	7.8664607e-07	5.5091e-07	8.938998e-07	9.925028e-07	3.2414775e-06	4.0399896e-06	0.003934878	0.057929464	0.5639848	0.3741396
a31	2.473499e-07	2.639019e-07	1.9243632e-07	3.086082e-07	3.4324532e-07	1.110952e-06	1.694502e-06	0.0025685048	0.04861933	0.52911705	0.41969097
a28	2.1377773e-05	2.3157116e-05	1.180488e-05	1.5868547e-05	1.871065e-05	6.565254e-05	7.465555e-05	0.17476362	0.15556602	0.39652556	0.27291363
a20	2.5910506e-08	3.4041054e-08	2.738345e-08	3.600805e-08	3.783492e-08	1.12538956e-07	1.5590683e-07	0.0018645794	0.035420302	0.651999	0.3107157
a8	4.5549008e-08	5.1155602e-08	3.9841925e-08	5.9363614e-08	6.561885e-08	2.0950188e-07	3.3071106e-07	0.0015080979	0.03955851	0.62130696	0.33762574
a23	5.1117752e-08	5.2958843e-08	4.0815923e-08	6.279465e-08	7.085878e-08	2.2470137e-07	3.9752518e-07	0.0013562612	0.036890943	0.5801399	0.381612
