 	il	muro	vuole	uno	specchio	</S>
a23	9.009724e-06	0.00017300599	0.030537948	0.5204485	0.36444628	0.08438525
a20	0.05487768	0.090076216	0.08069899	0.43882468	0.30510497	0.03041749
a31	0.010156672	0.02983596	0.06622951	0.54704624	0.3201784	0.026553228
a24	2.041722e-08	3.619553e-07	0.00014116333	0.61240983	0.3727594	0.0146892425
a31	8.6899075e-07	4.9793534e-06	0.000104462844	0.07852131	0.8856107	0.035757642
a13	7.444695e-09	1.4123825e-07	8.024993e-05	0.6900562	0.30230734	0.007556065
a39	2.3355455e-05	6.220428e-05	0.0002307826	0.02498014	0.93410516	0.040598366
a20	1.7051527e-05	3.4940043e-05	6.9126945e-05	0.009795974	0.92811984	0.061963096
a31	8.5267755e-05	0.00010008906	8.515342e-05	0.0069483994	0.9086667	0.08411444
a24	4.6861524e-07	4.437156e-06	0.00021576705	0.1585659	0.8296331	0.011580281
a8	7.307241e-06	1.3088406e-05	2.7873803e-05	0.0049239923	0.93253297	0.06249478
a31	9.305488e-06	9.915782e-06	1.8532453e-05	0.0037488355	0.88884133	0.107372046
a20	4.126592e-06	4.098958e-05	0.0014722458	0.40632772	0.57837003	0.013784876
a31	3.487973e-07	4.1688997e-07	1.3627734e-06	0.00076164183	0.8536051	0.14563105
a29	6.3684315e-06	6.177469e-05	0.0017554341	0.40702072	0.5704493	0.020706372
a31	3.236315e-08	5.34346e-08	3.9224992e-07	0.0006759472	0.84512305	0.1542005
a8	1.1237375e-05	8.0469785e-05	0.0013181397	0.29071757	0.672199	0.035673603
a20	4.6706927e-09	1.055788e-08	1.3680467e-07	0.00045947323	0.77225	0.22729033
</S>	1.3520549e-09	4.5981547e-09	1.16116524e-07	0.0005690527	0.82141274	0.178018
