 	i	bambini	piccoli	non	si	vestono	da	soli	</S>
a8	8.742738e-08	8.203222e-09	5.4386436e-07	3.175484e-05	0.0068568448	0.016689714	0.32265255	0.65302587	0.00074269634
a13	0.00049495033	0.0001390227	0.00026043	0.0010286679	0.0011495907	0.00032376748	0.0013299885	0.99314886	0.0021246518
a0	5.779121e-05	1.217394e-05	7.183842e-05	0.0004378765	0.0011675019	0.00052193855	0.002650844	0.99413764	0.00094245345
a31	0.00018615188	4.837047e-05	0.00015511384	0.0007454111	0.0012632544	0.00043804687	0.0018959491	0.99308664	0.0021811784
a18	1.2614317e-09	1.5506815e-10	7.216079e-09	1.3079928e-07	7.068829e-06	3.35189e-05	0.006209321	0.99371594	3.4032237e-05
a31	8.566608e-05	2.4224624e-05	6.392591e-05	0.0002297115	0.0003194671	0.00010635015	0.00044420752	0.98629653	0.012429829
a28	1.7196211e-10	1.9714154e-11	9.828021e-10	2.654377e-08	2.8186125e-06	1.9200226e-05	0.0075579262	0.9923832	3.6888156e-05
a20	4.6706107e-05	1.3101056e-05	3.5818975e-05	0.00012835248	0.00019331783	6.868817e-05	0.0003272554	0.98055834	0.018628439
a31	1.7690476e-05	4.7525123e-06	1.34499915e-05	5.572326e-05	9.005873e-05	3.4709214e-05	0.00031518447	0.97282785	0.02664069
a7	9.922374e-10	1.2996221e-10	3.8081134e-09	7.5281065e-08	5.5826777e-06	2.8510252e-05	0.005182039	0.9946256	0.0001581172
a38	1.8259312e-05	4.517325e-06	1.3652645e-05	5.751877e-05	0.00013302117	5.6028875e-05	0.00034334353	0.932732	0.06664172
a24	2.3475664e-05	6.501312e-06	1.3703477e-05	5.234556e-05	7.57033e-05	2.6379754e-05	0.00020890296	0.8818959	0.11769708
a46	6.1083985e-05	1.6971133e-05	2.4586428e-05	0.00010250981	0.00019907214	9.124318e-05	0.0005573312	0.6882768	0.3106704
a31	5.6170018e-05	1.4789805e-05	2.7210348e-05	0.00011199159	0.00017272042	6.836038e-05	0.00045493836	0.9418864	0.0572074
a38	4.0761884e-06	6.476537e-07	1.2807491e-05	0.00013281353	0.002386648	0.0027755445	0.011684359	0.97946346	0.0035396495
a31	3.214939e-05	8.544385e-06	1.4281042e-05	5.762911e-05	9.901085e-05	4.537913e-05	0.00035626302	0.86118	0.13820685
a13	2.0599693e-07	2.2108118e-08	1.0319059e-06	2.6073978e-05	0.0015468164	0.0021582306	0.014271503	0.9811824	0.00081377436
a31	8.2434e-06	2.100609e-06	3.995054e-06	1.9347075e-05	4.8216927e-05	2.6684022e-05	0.0003111028	0.77523565	0.22434469
a8	9.0111335e-08	8.558343e-09	5.300675e-07	2.1883792e-05	0.0019709195	0.0024951256	0.019582866	0.97535276	0.0005757575
a20	5.1481203e-07	1.5114514e-07	2.5221206e-07	1.3589527e-06	4.7316585e-06	4.072267e-06	0.000110840585	0.6731746	0.32670343
a31	1.3526068e-07	2.7579825e-08	1.09661926e-07	8.161745e-07	4.432463e-06	4.717018e-06	0.00018066313	0.8297489	0.17006014
a15	1.6389603e-07	1.5871711e-08	7.436432e-07	3.5106157e-05	0.0028137953	0.0022957318	0.014799525	0.97907466	0.0009801714
a31	1.0736216e-07	2.9143383e-08	7.129049e-08	4.3189075e-07	2.4520605e-06	3.0809508e-06	0.00010983343	0.5166622	0.48322186
a20	1.4231256e-07	1.5102666e-08	5.3747914e-07	2.6926535e-05	0.0021914858	0.0014601194	0.011368385	0.9832313	0.0017211648
a39	2.4467848e-08	6.5803842e-09	1.9961773e-08	1.485352e-07	1.5305209e-06	2.457226e-06	0.00010897793	0.41982296	0.5800639
a31	7.1185484e-09	1.3192399e-09	9.716864e-09	1.4339197e-07	3.2400856e-06	5.9045155e-06	0.0003466711	0.8121766	0.18746753
a8	2.8769864e-07	3.210023e-08	7.391817e-07	3.6010722e-05	0.0023266785	0.001211832	0.007516246	0.9853526	0.00355555
a31	2.92498e-09	7.2251e-10	3.9831543e-09	3.5869693e-08	7.6237967e-07	1.724502e-06	0.0001024277	0.42343518	0.5764599
a37	1.4210345e-07	2.0385809e-08	2.5067405e-07	1.1273859e-05	0.0007318508	0.00038938387	0.00423477	0.9877679	0.0068644364
a20	1.1772306e-09	2.7944244e-10	1.9108046e-09	2.3142855e-08	9.857537e-07	2.510397e-06	0.00013510894	0.3388113	0.66105
a8	5.0160776e-10	1.0202857e-10	1.4147855e-09	2.583043e-08	1.4872874e-06	4.130231e-06	0.0002507079	0.5560562	0.44368744
a20	6.1101096e-10	1.1870048e-10	1.9037991e-09	2.4101016e-08	7.397223e-07	2.0259743e-06	0.0001443371	0.59368736	0.4061655
a31	1.631179e-09	2.71148e-10	6.4641e-09	9.994513e-08	3.1046447e-06	8.3810055e-06	0.00048374993	0.72240704	0.2770977
</S>	2.3580576e-07	3.6049972e-08	2.960043e-07	1.3111482e-05	0.0008238032	0.00044904044	0.003668131	0.9841203	0.010924923
