 	Marìa	però	sta	ora	sta	seduta	nel	giardino	e	non	può	rispondere	al	telefono	non	può	parlare	al	telefono	</S>
a46	0.71163955	0.01804770835	0.01501833958	0.16615314495	0.034147610585	0.04528400585	1.015135525e-09	2.13779805e-11	0.0045057866	0.0003015465325	9.1026682e-09	4.97658576e-07	1.02723286e-07	0.00121264095	0.000146835045	1.245253265e-08	3.56664485e-06	4.6474318e-06	0.00342353627	0.000110371058
a31	0.640707403333	0.01954271245	0.0160837606933	0.21149260165	0.0444218658617	0.0581964842833	6.57925025e-10	2.88795598333e-11	0.00589932973333	0.0004123518275	3.55466476333e-09	9.99586325333e-07	3.07686019333e-07	0.00127754198333	0.000504595831667	1.09329158333e-08	3.62353781667e-06	2.1116099e-06	0.00140305682	5.11813473333e-05
a20	0.718474281111	0.03083396115	0.0202292473978	0.15668288055	0.0256596259206	0.0381562014278	1.5652232175e-08	8.83870309444e-11	0.00564027661111	0.00106397764917	3.10176248444e-09	1.18049427511e-06	3.70545701078e-07	0.000945882897777	0.00177919674389	9.29477389443e-09	4.70934740556e-06	1.07243400453e-06	0.000508306275	1.88069058511e-05
a11	0.796726873704	0.03905789605	0.0241940117993	0.106208911517	0.0091604108502	0.0189161207093	2.06132427017e-08	9.28371594815e-11	0.00223224319037	0.00116899008639	2.98674387148e-09	7.50144741703e-07	1.23700091753e-07	0.000340636860592	0.0018070974713	8.78491893148e-09	2.97102737852e-06	3.58839944827e-07	0.00017621197732	6.39907025137e-06
a29	0.767811124568	0.0494275876833	0.0343600675998	0.127715068506	0.00368736942673	0.0130768884698	8.57312721057e-09	3.75955223272e-11	0.00105682759346	0.00152663586546	1.82221356716e-09	3.38385897234e-07	4.12392716372e-08	0.000127072328197	0.0011482183471	4.35021821049e-09	1.04838843951e-06	1.19655627511e-07	5.94789484933e-05	2.14653980946e-06
a31	0.759242041523	0.0467306930278	0.0343796502999	0.138900748169	0.00283562724224	0.0125645254899	4.31389375152e-09	1.69907469191e-11	0.00235943087449	0.00185054052182	1.38160326305e-09	1.85067537411e-07	1.38063376049e-08	0.000166661026066	0.0009470607007	2.61894133483e-09	5.97690016503e-07	4.10963209557e-08	2.14330058644e-05	7.61892604487e-07
a0	0.567085364674	0.0267710648093	0.0382916305333	0.302635094723	0.00745032461408	0.02934237883	4.88644326517e-09	1.78527691783e-10	0.00328368015816	0.0224430521739	3.08521312928e-07	4.61591918508e-05	4.6725655763e-09	0.000198729348689	0.0024407425519	1.84454182978e-06	8.17129872168e-07	1.49057857002e-08	8.45957526813e-06	3.08343698829e-07
a39	0.247096525725	0.0319662616031	0.0569945648444	0.526948794908	0.0299779398714	0.06943216961	2.39438711755e-07	1.16268473221e-07	0.00198721446939	0.0306600557246	7.98352483764e-06	0.000775469950617	1.18505200547e-06	0.000324494199563	0.0035683748173	6.55005924766e-05	0.000173254122024	5.55831302615e-07	1.7544265436e-05	1.75119822694e-06
a31	0.434566228575	0.0231621448344	0.0371192215815	0.392448708303	0.0325630827905	0.06220246287	3.14184609914e-07	1.54792876592e-07	0.00242807147313	0.0119464071849	1.02338662846e-05	0.000972598679506	1.57879308926e-06	0.000342565967854	0.00186313839343	8.48799503339e-05	0.000262255942008	7.36521787305e-07	2.29375941453e-05	2.28457548898e-06
a37	0.446291931292	0.0170162519115	0.0324962504938	0.401514276101	0.0366102870968	0.0530595639567	1.77211542633e-07	5.49677180489e-08	0.00267442301438	0.00778346867163	5.52482876687e-06	0.000892527289135	5.58806803853e-07	0.000241346507285	0.00123448588548	3.7583980953e-05	0.000128410646003	2.52563867202e-07	1.16162047151e-05	1.00519682966e-06
a31	0.323167565531	0.0166715348705	0.0337706618313	0.5024927587	0.0410860013656	0.0583462466522	1.32001627144e-07	2.17191875863e-08	0.0134976805281	0.00784283155721	3.97626364896e-06	0.000879238133712	2.25296589951e-07	0.000450194329095	0.00144360086183	2.25586609177e-05	0.000237738409334	9.55828884007e-08	8.39082972384e-05	3.02924106322e-06
a20	0.281668535177	0.0192920108568	0.0341971156104	0.484142269567	0.0727544527885	0.0740158408841	8.05223907986e-05	2.49953068371e-05	0.0170289708094	0.00753919151907	0.00018389271561	0.00391181231524	4.05338493987e-05	0.00101893697636	0.00265511605394	0.000810147996239	0.000390114606445	1.08494258105e-05	0.000204097779079	3.06058722211e-05
a17	0.180833591726	0.0348929969523	0.0521347702035	0.473825506522	0.113289042263	0.106722436961	0.000387356450266	0.000225777008946	0.0063233164698	0.00657673630636	0.000979378018537	0.0105992404384	0.000401397486466	0.00194161705879	0.00360761465131	0.00381544143208	0.000862775585482	0.000138044140937	0.00206586897969	0.000377099937407
a28	0.200559403909	0.0539770446508	0.0660134637345	0.450119638841	0.0902295330877	0.105213987654	0.000409979525855	0.000268811033615	0.00344894562327	0.00327821433545	0.00107887797285	0.0117520163128	0.000488808771489	0.00177758584293	0.0024486223971	0.00410903661069	0.00122170526183	0.000170774741079	0.0029346949599	0.000498863117802
a31	0.343133474636	0.0459868944169	0.0525529202448	0.38941154628	0.0542264496959	0.0750340068847	0.000137483644059	9.06985757186e-05	0.0217516681078	0.00265247314515	0.000376573147857	0.00647114515293	0.000170603407886	0.00130603523764	0.00158118117903	0.00146560822523	0.00178265582061	5.81593035163e-05	0.00160119800663	0.000209254582267
a16	0.340808444212	0.0267127486723	0.0320923094149	0.238625435427	0.051647164232	0.0579030012949	0.0168971370244	0.0188117782591	0.0284334981359	0.00796858964838	0.0154452959062	0.0294282552663	0.0114562995774	0.0161025710459	0.0120668652263	0.0432384672967	0.00674694860687	0.0086475833069	0.0300979494889	0.00686967919842
a8	0.264151490737	0.0314484788908	0.0387110154716	0.152593848476	0.0591095264107	0.0522843104316	0.0267461243415	0.0289813084197	0.0144012741453	0.00926385754946	0.0264076856354	0.0476839160888	0.0181062208591	0.023110084682	0.0166680939088	0.0747472624322	0.010090973869	0.013646897569	0.0722041098296	0.0196434980661
a31	0.381656143579	0.0295906222969	0.0324812758239	0.131562706159	0.0536672971369	0.0371492994772	0.0131778168574	0.0135896109553	0.0124901117151	0.00398446194982	0.0147426445385	0.0268296893963	0.0089819162197	0.0125692492273	0.0079826480696	0.0425280066707	0.090909561623	0.00674165886633	0.0619872376099	0.0173780033454
a0	0.31752070786	0.0343623374323	0.0342275992746	0.225867962053	0.074487782379	0.0913896158257	0.00439985975205	0.00453937761386	0.0111770555717	0.00382329261661	0.00494557676283	0.0116944231654	0.0031226094499	0.00791528454243	0.00487358815653	0.0143242259402	0.116004949874	0.00234392789378	0.0267391953033	0.0062406102518
a31	0.314834385953	0.0382479668108	0.0414556987582	0.334849560684	0.066602634793	0.102825831609	0.00147387961644	0.00152262955642	0.0167144508572	0.0052806430722	0.00168009128081	0.00640911371847	0.0011113147598	0.00444593422748	0.00372269918551	0.00492190914007	0.0406923158913	0.000821678939667	0.0101143387544	0.00227295012193
a24	0.274796393651	0.0302867199369	0.0364971179194	0.460565526895	0.064465608931	0.0836491668697	0.000491671931833	0.000507732001668	0.0160389336691	0.00399498059073	0.000566205360803	0.00261782606949	0.0003721999351	0.00189923962249	0.00216685168184	0.00169216416002	0.0147272969438	0.000274442706829	0.00361141829147	0.000778558701977
a46	0.238807006217	0.0300091623123	0.0363626239731	0.416726040298	0.0755197136437	0.0924463516232	0.00666592472721	0.00474891894496	0.00699559160637	0.00367318609691	0.00919943695093	0.00997773218983	0.00441624882703	0.00541807717416	0.00453843591395	0.02379333653	0.00828983802793	0.00477920904914	0.0125416629172	0.00509152700399
a14	0.286883115406	0.0805756907708	0.080909909991	0.291051124766	0.0560329505479	0.0624839025411	0.00872532646167	0.00616514821332	0.00528601300212	0.0031302576923	0.012107978239	0.0200582863966	0.00577010740168	0.00662059756472	0.00521119065465	0.0313174937967	0.00648024700931	0.00628333580171	0.0182002363057	0.00670707500133
a8	0.234341261802	0.0945186735903	0.0939227483303	0.235805706255	0.0495746778493	0.043280598847	0.0173345423732	0.0144694709694	0.00744671146737	0.00415488955743	0.0212453686683	0.0284524757989	0.0131055362599	0.0126775823616	0.00792333123488	0.0500404462189	0.00752319133644	0.0114765053859	0.0424526441019	0.0102536090004
a31	0.293399920601	0.0492798605301	0.0486908497768	0.176017020085	0.0578229882831	0.0334044586157	0.0202026294368	0.0172349100179	0.0102484404891	0.00489236571914	0.0242598218834	0.023861551033	0.0155933301433	0.0171831681205	0.0103914426116	0.0562759617063	0.0646123024455	0.0132463363753	0.0517645033673	0.0116181007335
a20	0.255879748534	0.0489580741767	0.0496049839256	0.244265720028	0.085333792761	0.0868642432052	0.00699040539136	0.00609784126739	0.00938450196303	0.00826950110638	0.00885148535513	0.021842343111	0.00637683740443	0.0131586750402	0.0111404060705	0.0214182595354	0.0825492424818	0.0048535230051	0.0234234267891	0.00473695091117
a31	0.213493147845	0.0632600093922	0.0694757579752	0.346401160009	0.0787269942537	0.100294739068	0.00258633095133	0.00238547082335	0.00853781745434	0.0101258868021	0.00371377541038	0.0206735440703	0.00325521154034	0.0093855555934	0.0103470484235	0.0097287320018	0.0333298252606	0.0020143707119	0.010169974163	0.00209463289039
a7	0.183970295615	0.0605486504641	0.0676346773251	0.48715602667	0.0649743364179	0.0828619410227	0.000863498171652	0.00079631714567	0.00618750838478	0.0049986536007	0.00125633979113	0.0083376369901	0.00108944348998	0.00341918896113	0.0042850321845	0.00342031846727	0.0130838076635	0.000672382706967	0.00371005518767	0.00073387442013
a31	0.128264818205	0.119370547488	0.111985079108	0.486629475557	0.055732500806	0.0740831748742	0.000289358550267	0.00026662227967	0.00294208586159	0.00251028940023	0.00044009055271	0.0044762703967	0.000367180014293	0.00128722622038	0.0018561482715	0.00149368942242	0.00591523469783	0.000225053648856	0.00155952012922	0.000305584060043
a35	0.108613840068	0.159204127829	0.149323926369	0.385355738519	0.0573860919353	0.0717543561581	0.000730616209472	0.00139715562067	0.00204824355386	0.00245768876674	0.00104174037757	0.0403174462656	0.000501186751398	0.00148039279013	0.00206628732383	0.00409771543081	0.00441121299928	0.000229466780019	0.00635511487641	0.00122761700335
a20	0.0985708640227	0.119600902943	0.126216867456	0.290451556173	0.0643867139784	0.0740954407194	0.00639198723649	0.00503903787356	0.00319495508462	0.00238207192225	0.0227729947925	0.0725366840885	0.00189701185047	0.00330240083004	0.00292031624128	0.0573484324769	0.00436012899976	0.00190274263667	0.0291189202921	0.0135099715344
a31	0.148573938008	0.0962099193143	0.103574994485	0.260276298724	0.0611142066595	0.0351715965731	0.0076458332698	0.00494531254762	0.00832044616154	0.00281160064075	0.0292539497108	0.0516502210295	0.00210074385682	0.00901502751001	0.00715552121376	0.0749195584923	0.0317485452333	0.00237956553556	0.0442090150974	0.0189236819781
a10	0.105856186003	0.0978600264381	0.114719594828	0.366664016241	0.0790750588865	0.0298708815244	0.00276208366423	0.00178606598897	0.00797809277051	0.00418407188025	0.0119347704836	0.0437891170098	0.000885167925607	0.00954002507	0.00908484850459	0.0369594128308	0.0392191167111	0.00088826474852	0.0281065173325	0.0088366411927
a31	0.057226422001	0.165232618813	0.174444578276	0.409203138747	0.0604773249622	0.0226024656081	0.0011337292569	0.000732481362797	0.00324598700684	0.00343185316008	0.00607307279787	0.0347387535366	0.000364119931302	0.00369957923667	0.0049074554682	0.0226557382103	0.016458085537	0.00031869690954	0.0098685141775	0.00318540681423
a37	0.040796992567	0.195257176271	0.201503692759	0.422946432916	0.0428932469874	0.0203755019694	0.00048408077779	0.000342915727406	0.00179510830228	0.00185881928669	0.00269216913596	0.0366947550455	0.000129909893867	0.00163634216889	0.0021983374994	0.0110704360034	0.00863522771233	0.000125171567547	0.00661732715917	0.00194639275474
a24	0.0151139717557	0.20966117209	0.21382247092	0.309076276639	0.0346977706625	0.0189169506731	0.00084723656593	0.000391507765802	0.000819229004093	0.0012820192289	0.0243776157453	0.0846703533485	8.59930319557e-05	0.0011119918663	0.00134959327647	0.0733822770011	0.00334114183744	0.000140775873516	0.00532671246306	0.00158493995158
a28	0.0076426644519	0.231283780697	0.232682910307	0.15594553788	0.0213313212208	0.0074522032077	0.00144705765531	0.000520032688601	0.000334087188031	0.00163578470963	0.0539151332484	0.107624831116	0.000134759443985	0.000903946855433	0.00209167622549	0.170106752334	0.00207334217915	0.000172267634505	0.00191294532435	0.000788962467193
