 	i	bambini	piccoli	non	si	vestono	da	soli	</S>
a8	0.00985839395	0.7905904	0.04230651915	0.14087791707	0.015538223795	1.991462679e-06	2.48057195e-05	9.79063159e-05	0.000703893552
a13	0.0108651364833	0.613522773333	0.21824756805	0.141070886423	0.0154902430247	1.98619647178e-06	1.51507706333e-05	9.78252555333e-05	0.00068845180794
a0	0.00605300702777	0.364141895611	0.575464056017	0.0484596934077	0.0056122259679	6.65343143037e-07	5.11614582057e-06	3.37842385444e-05	0.00022953224384
a31	0.00330170729592	0.131832469704	0.825773605339	0.0353806293359	0.00362064885597	2.25217630632e-07	1.77303727299e-06	1.20195876805e-05	7.68695012333e-05
a18	0.00355418291864	0.0532306379013	0.872424355113	0.038620329112	0.031943941952	2.49529742528e-05	7.47140947663e-07	0.000174135170926	2.67028489444e-05
a31	0.00343235012621	0.266486853967	0.661304658371	0.0266638453707	0.041840566184	3.31960994071e-05	3.80634289221e-07	0.000228180101889	9.99352208147e-06
a28	0.00212348686207	0.335201542989	0.60232039279	0.0215685291236	0.038673760928	1.50084134586e-05	1.72007198074e-07	9.33073898763e-05	3.77854964382e-06
a20	0.00931705252069	0.115090442463	0.722091917597	0.0547167597079	0.0827674536427	0.00246079803015	8.26429591944e-05	0.0132975993076	0.000175300198898
a31	0.0109514824136	0.298131037288	0.532755629199	0.0600921899026	0.0765782874142	0.00327431990945	0.000110504326098	0.0178676450692	0.000238888377966
a7	0.0058247648112	0.359756175096	0.515874179733	0.0563371833009	0.0544981520047	0.00124687516922	3.87732944993e-05	0.00632731718973	9.65976786553e-05
a38	0.0169093170371	0.153777137699	0.574431159911	0.0976660444336	0.0703191106682	0.0158625993564	0.00406118459093	0.0624723625966	0.00450109343389
a24	0.0200668763457	0.1144031659	0.60573659997	0.0844805068112	0.0581965112227	0.0209814348855	0.00540516277664	0.0847487841989	0.00598093943463
a46	0.0247951861152	0.0759210899667	0.49140827999	0.0550845676037	0.0401122947409	0.0534838900618	0.0357957695052	0.1841341514	0.0392647637682
a31	0.0255936869051	0.332704724656	0.201385976663	0.0402535373346	0.025700053247	0.0639376979659	0.0459228197164	0.214156135167	0.0503453506571
a38	0.0782044495017	0.440282251552	0.235299028888	0.0738109272449	0.0327876194157	0.028373951934	0.0161551090535	0.0773304254223	0.0177562066867
a31	0.0962908889672	0.461849883851	0.260281182963	0.0846117481816	0.0348623247052	0.016549808128	0.00623266693283	0.0324218532408	0.00689965072557
a13	0.0918966421224	0.48026248595	0.320813014321	0.0602601518272	0.0206864034684	0.00728279075933	0.00215296761261	0.0142086658469	0.00243693512519
a31	0.0917941317075	0.43570050665	0.38718333144	0.0513462906091	0.0155769612228	0.00437453748644	0.000794633478537	0.012220663949	0.00100899312173
a8	0.154079064903	0.438467652217	0.285918237147	0.058001320203	0.0117099201409	0.0208282888288	0.00100772798051	0.0248453433163	0.00514246533391
a20	0.179852344968	0.457609904072	0.203904859049	0.061272088901	0.010440506547	0.0313356646096	0.0016487280935	0.0351848107721	0.0187510821113
a31	0.083782782656	0.702351058024	0.11233226635	0.0317486371337	0.00487457988233	0.0182961458699	0.00145681063117	0.0259155232574	0.0192422022704
a15	0.142858851885	0.546135577675	0.100353208783	0.0496899023779	0.0223070758274	0.07855629229	0.00328157124372	0.0484419534191	0.00837558179013
a31	0.150904815295	0.353371557558	0.224802512928	0.0487101444593	0.0281245708758	0.0973910137633	0.00358280345991	0.0885592311397	0.00455335663004
a20	0.179660376432	0.289834856853	0.289886054309	0.0310800838198	0.0147796525586	0.100186874254	0.0020020481653	0.0849869990466	0.00758308577668
a39	0.208261318811	0.240486006618	0.203138270103	0.0280587046066	0.0106669736195	0.136653984751	0.00320433582177	0.121009655016	0.0485208095922
a31	0.109451073937	0.332093085539	0.142379638701	0.0204866758689	0.00761376097317	0.098658668917	0.00306413774059	0.223251655005	0.0630013531974
a8	0.110973945646	0.262069026513	0.144538126234	0.022074761623	0.00897666232439	0.125078113639	0.00254903091353	0.272882885002	0.0508574543991
a31	0.120122778549	0.263620713504	0.170220992078	0.017937563341	0.0071521090748	0.123719233546	0.00229900053784	0.243803011667	0.051124578133
a37	0.24327254285	0.251655164501	0.222909534026	0.015262833247	0.00502099732493	0.072491112182	0.00133103267928	0.151684083222	0.036372700711
a20	0.29590108095	0.147897794834	0.189612716009	0.017966471749	0.00559374067498	0.111822072727	0.00280453782643	0.159223297074	0.0691783149037
a8	0.147613001317	0.357002944945	0.11459513667	0.0137661822497	0.00435962762499	0.110632414242	0.00351852787548	0.166060344691	0.0824518496346
a20	0.0942653967723	0.521347401648	0.09440679889	0.0120910330832	0.003454512775	0.0756151480807	0.00400369399183	0.0910256592303	0.103790344545
a31	0.116872930924	0.380976977216	0.0695391249633	0.0118305676944	0.00346998165833	0.0879616693602	0.00417000019728	0.191987645077	0.133191066515
</S>	0.137457030462	0.282565373608	0.0508886754817	0.0101971888472	0.00326882982916	0.0963437946801	0.00303086674864	0.299808952539	0.116439265758
