 	ha	che	sono	usciti	</S>
a31	0.263276454794	0.129993048415	0.21644446354	0.38746293623	0.00282311394355
a13	0.256033386277	0.0876001280026	0.4077781328	0.245372367833	0.00321600162101
a8	0.164501191834	0.395399553848	0.06184801196	0.377344310553	0.000906946461455
a24	0.288982586304	0.107514412036	0.029796547326	0.552616521848	0.0210899073561
a31	0.314241842726	0.263267461728	0.026572865168	0.392777995753	0.0031398355781
a0	0.24328885926	0.162161633811	0.20405934064	0.345302656483	0.0451875086213
a31	0.222093617081	0.036360984556	0.120838613958	0.56422121651	0.056485548522
a8	0.198034596812	0.0991263368731	0.241295967575	0.399897327145	0.061645766702
a23	0.158349278104	0.0712578121688	0.127380706965	0.552816556892	0.090195612206
a8	0.0626353540642	0.0874025182261	0.114568758326	0.533382251396	0.202011114
a23	0.065399136734	0.0849964382913	0.102943482126	0.487194056854	0.2594669284
</S>	0.0200561816518	0.0917175304252	0.0481301300889	0.547069686492	0.2930264492
