 	io	non	so	cosa	è	da	scrivere	</S>
a48	0.0472129866384	0.00282855903432	0.379363950326	0.172623249813	0.00998535026259	0.0113066354978	0.263035131327	0.113644147742
a31	0.342967280107	0.0628220318362	0.0785042040254	0.0817225393005	0.06614880966	0.112377327012	0.234110844459	0.0213469771706
a14	0.153870997303	0.0932480835097	0.11458283916	0.0698521306663	0.00605028184159	0.203213570535	0.223575349045	0.135606765646
a37	0.285660270835	0.200824190668	0.086040001903	0.0173717292756	0.00832643635486	0.113588952324	0.228579775246	0.0596086721548
a10	0.274158429921	0.164475148563	0.0212445037225	0.0516179950508	0.0871750052576	0.0986013649582	0.26978517244	0.032942383166
a31	0.279744187188	0.100710611124	0.0487820290367	0.111524597413	0.10641744643	0.135118625548	0.19949433484	0.018208184394
a28	0.312817185987	0.0370211161865	0.117724704393	0.035199028437	0.00916573690136	0.0827386080257	0.33257545016	0.072758215486
a31	0.28825939009	0.0603591383577	0.026355980302	0.0996513590512	0.091284589684	0.161538454828	0.19013269976	0.082418378624
a42	0.442626047103	0.023648952016	0.0343354082607	0.0385032014162	0.0131438440634	0.0424712300076	0.20530761528	0.199963729
a23	0.193572056734	0.0396776154457	0.018879775478	0.0458590940721	0.157247365519	0.07046729828	0.2488973398	0.2253994874
a8	0.0884272956838	0.0522638826421	0.0799580596642	0.0621449427976	0.0915574212976	0.033586687156	0.2266239724	0.36543773354
</S>	0.043950912343	0.056924916582	0.0375735620599	0.0549494130568	0.152606688592	0.031540711264	0.2889504332	0.3335033765
