 	voi	avete	mai	mangiato	il	pasticciotto	</S>
a8	0.376793874487	0.0158555952553	0.023056938101	0.148588896656	0.0506934414448	0.382425137433	0.00258608129527
a31	0.154765035963	0.12696596902	0.04895458362	0.03724668232	0.148399560336	0.4173546846	0.06631345488
a21	0.0705929275024	0.0720405224186	0.0313948912171	0.060579439841	0.238533712429	0.524692759146	0.0021657485107
a37	0.1948637292	0.1717770748	0.0645167700504	0.0300904195986	0.0201416501556	0.515571263	0.00303914775139
a8	0.211711749853	0.084979584764	0.0261633740483	0.0590499597682	0.070492709636	0.54696045396	0.0006422104766
a31	0.200986364259	0.043537650732	0.0120035889017	0.0378503356667	0.176792973731	0.528122415156	0.000706653391895
a13	0.330634011713	0.18351319559	0.0448137759469	0.0196133743468	0.135513654875	0.285842569539	6.9440229884e-05
a20	0.390713476477	0.11311741611	0.023887649607	0.00943481418416	0.0417879747084	0.420464608754	0.0005940876322
a3	0.346256849787	0.0421341862023	0.0276244756481	0.065886444894	0.0932199018144	0.422147787	0.002730364334
a31	0.243556246971	0.062294953064	0.0688464182223	0.01797035881	0.140066400373	0.4400193122	0.027246331458
a29	0.235568412251	0.0447575677728	0.0879574713274	0.0057496264974	0.0673979137792	0.5242914646	0.03427756219
a31	0.0376010759256	0.0953348956077	0.0838669346315	0.035816286	0.121650294026	0.6123272384	0.013403295148
a3	0.150655065818	0.0465662708373	0.037081730218	0.0045637058726	0.12345147782	0.605039998	0.032641767554
a31	0.0126304694925	0.0660348832364	0.0967349420324	0.0620174717494	0.108160979346	0.6477190132	0.006702231588
a24	0.0346385587874	0.0664133491038	0.103810115199	0.0127553939555	0.133013764807	0.5898059552	0.059562887468
a31	0.011159211044	0.0778638595587	0.0876249852211	0.085065368318	0.07147391211	0.6540725772	0.012740061154
a39	0.0208994891479	0.0454508642424	0.112763907915	0.033065111053	0.138604188798	0.500492546	0.14872385636
a31	0.0245753085463	0.079189274425	0.0504643541117	0.13057686881	0.0572185291806	0.57897191682	0.07900373424
a33	0.0183674985326	0.0340306365855	0.0640829770828	0.0546820911367	0.094887138435	0.527997098	0.20595256504
a31	0.00757423242511	0.0506892407676	0.0295914378871	0.0468566549291	0.120612232846	0.54230896566	0.2023672278
a23	0.0149630529751	0.0164435502666	0.0150128759298	0.0295834746282	0.0807765490836	0.550671852	0.2925486372
</S>	0.00670832318232	0.0378616824803	0.0214484848946	0.0415075689853	0.126953988876	0.5106450907	0.2548748282
