 	sapeva	che	fa	freddo	e	non	aveva	di	nuotare	</S>
a31	0.0489304619601	0.154788369429	0.00069686164809	0.0287521115297	0.174823650262	0.197912321011	0.0417098417916	0.18336440679	0.143610731362	0.0254112391889
a20	0.195385199413	0.00556147694714	0.0219406326894	0.182127791493	0.0949671487836	0.0918904639974	0.0212298620683	0.218008770304	0.159758512755	0.00913015747299
a31	0.0122198033974	0.189155153574	0.0100967652737	0.195140721464	0.034428765626	0.29073199933	0.014143355776	0.0423160159163	0.186612832164	0.0251545594494
a29	0.0172492721492	0.178499625381	0.00105994722115	0.0598510894665	0.00875192989277	0.204254503046	0.0377226987884	0.185305037593	0.30551736727	0.00178853569305
a15	0.0468076784796	0.247851717036	0.0475310384078	0.193849240938	0.0206619574696	0.0462939952946	0.0547048597847	0.110763734485	0.198364333506	0.0331714271961
a31	0.106701812715	0.254817617484	0.019175234531	0.198663402608	0.004386387529	0.02634740957	0.0371552583261	0.123424533175	0.191957126768	0.0373711934495
a18	0.250046629026	0.107775758362	0.0307209236809	0.157225685762	0.0328065672902	0.017814708644	0.00208409768442	0.035857020734	0.364411726613	0.00125689838382
a46	0.135142212932	0.171789471101	0.006041641579	0.152449854241	0.033748503712	0.0501239546748	0.0244699544024	0.0787847067992	0.276429487121	0.071020187847
a31	0.134806544577	0.126268959907	0.0182834816454	0.148383595719	0.0183680539502	0.0684673559868	0.0297698337351	0.061236103674	0.343726646508	0.0506894002055
a37	0.258734682066	0.0305767890286	0.023751044352	0.10088339535	0.0518145759183	0.119169481648	0.00316159720055	0.030698583128	0.367312794708	0.0138970662468
a31	0.0743471222197	0.126052666324	0.0162526437021	0.138871558637	0.0111019662693	0.062075495074	0.0174584058632	0.0339553142	0.42519855186	0.094686261384
a41	0.175181268088	0.0433278326507	0.0127282043342	0.12562724006	0.0398338839254	0.0903178214816	0.00850089311624	0.04672573572	0.34402189774	0.113735226168
a31	0.0457271868245	0.0945795555729	0.0293440153294	0.103080829098	0.00857305737489	0.0716132233097	0.0143463443359	0.067967368408	0.432653317362	0.132115090024
a3	0.0404971045744	0.0745872931889	0.0128835901978	0.154796912816	0.0522298355725	0.0803862687355	0.00946167531672	0.060921252975	0.3042457468	0.209990292764
a31	0.0211104008836	0.0866221569397	0.0469882187365	0.0702225171439	0.00903076665443	0.063062777139	0.00722786385102	0.088105752498	0.422095998298	0.185533551422
a23	0.0230843647735	0.138269098282	0.0296132832943	0.140902206033	0.0399914969878	0.0337249265285	0.00591259000386	0.0614229398192	0.30775360396	0.219325482144
a29	0.0737804435243	0.0888842038804	0.0449857201813	0.0376319351768	0.0222248397445	0.0492071516229	0.0156515625799	0.0712620868908	0.22584315952	0.3705288802
a46	0.0260389333566	0.194029173419	0.048480356821	0.0266581227385	0.0397977703003	0.0519594702154	0.00341039802087	0.0624268061128	0.31676212906	0.23043682936
a23	0.0643474806366	0.0461535456418	0.0447299794238	0.0345662103231	0.0476977760532	0.077775167719	0.0722028299573	0.053784748112	0.2039731072	0.354769162
</S>	0.0228473481587	0.0806346626761	0.0521723347638	0.0436828323549	0.113743102125	0.0345074578094	0.00490664616461	0.0508218567	0.218710652	0.377973113
