 	questa	la	costruirono	mastri	che	erano	i	muratori	</S>
a23	0.028553925461	0.194326942547	0.129144374363	0.0146161136017	0.129681771314	0.100319411964	0.242081185484	0.141108078316	0.0201681814711
a31	0.0319851876525	0.182508359246	0.171985746654	0.0191734636472	0.154366704043	0.110537145786	0.194932851231	0.0943664753994	0.0401440585166
a38	0.0272689344072	0.173435753633	0.195744005787	0.0336146642497	0.132367443703	0.138893837122	0.158134381006	0.0986711770969	0.0418698009489
a17	0.0133769233905	0.200043458338	0.195655698751	0.0333162761369	0.126305846376	0.153695899282	0.115253952117	0.134822377033	0.0275295816714
a31	0.0336722504003	0.225237724183	0.197231494374	0.0132702567618	0.115766127317	0.0994651202007	0.157179907246	0.129851325981	0.0283258029963
a41	0.0841841314399	0.198845079822	0.231546388176	0.00832532037309	0.0700891023675	0.0643066004981	0.157891337845	0.151116447926	0.0336955885023
a17	0.116730727419	0.136826504872	0.294363531875	0.0117832237984	0.0399238999798	0.0587345879212	0.109821082133	0.184917224	0.0468992134089
a31	0.147644909155	0.100642609144	0.316628021853	0.0139222116621	0.0261040681122	0.0500424507721	0.119931154303	0.181527105193	0.0435574669272
a0	0.128913729397	0.113818213195	0.298503192134	0.0281023015447	0.0328594706403	0.0743560364678	0.120107778165	0.174559394863	0.0287798770843
a31	0.0713093608936	0.14454099703	0.261736278266	0.0383829835817	0.0664185776951	0.0866827505113	0.129796737401	0.169552789344	0.0315795039652
a37	0.045889284685	0.160902087259	0.220149122445	0.0519144203107	0.0824058760207	0.0970648188931	0.136297109254	0.169487006374	0.0358902513395
a10	0.0265201144141	0.185541150456	0.173891592205	0.0805866751692	0.0707276617622	0.124089447863	0.107997536242	0.190330807789	0.040314998858
a31	0.0330418345722	0.177354606923	0.160738380861	0.0717117780246	0.0883013745191	0.0966389623357	0.116746287658	0.185853455767	0.0696133169749
a16	0.0382476036217	0.158858341563	0.150388395494	0.0514389272814	0.0818290674294	0.108150225767	0.148792959986	0.175341135722	0.086953347971
a17	0.0275942371781	0.175022543115	0.134814834794	0.0478429522442	0.0480770552095	0.126025163626	0.146476697082	0.202234595049	0.0919119354343
a20	0.0232862817014	0.194900271879	0.143525177153	0.0472696367785	0.0400384094962	0.097976141182	0.121971178514	0.230496098652	0.100536823071
a31	0.0212708090443	0.198599900517	0.136978339028	0.0490260663282	0.047018904211	0.0706119028093	0.118848462371	0.201823671659	0.155821944084
a39	0.03097673925	0.178787916274	0.129422900891	0.0519756535421	0.0475678361439	0.0683503732591	0.12881639139	0.188737742634	0.17536445229
a20	0.0416521547535	0.149333440777	0.105043641862	0.0456934577295	0.0382333453414	0.091071467393	0.15287017729	0.241384301537	0.134718020121
a31	0.0309584540104	0.151339555774	0.102041045766	0.0410759517872	0.0545697037488	0.0799293793017	0.153960175923	0.224575252009	0.161550480224
a33	0.0211164377516	0.124688403403	0.0890103318569	0.0466510175753	0.0607670549882	0.0871234726756	0.188977368443	0.212315401303	0.169350523725
a48	0.024653610975	0.0783129190609	0.160928701461	0.035274972979	0.0341188656509	0.0852905260757	0.18620446933	0.247237078375	0.147978879226
a31	0.0208628526672	0.0659334575403	0.207184330155	0.0373375975471	0.0375153888739	0.0692209442474	0.151560106757	0.197091580736	0.213293769619
a19	0.0342688600342	0.0733526532056	0.163761586658	0.0489952333177	0.0447746569382	0.0686626419285	0.131763536186	0.174039194093	0.260381651082
a31	0.0388481452665	0.0757273455677	0.17162592272	0.0412599337428	0.0409588023474	0.0647941723355	0.130809062169	0.172981590757	0.26299502527
a37	0.0389605553157	0.0668025508454	0.145942846407	0.0455472778724	0.047364234694	0.0867870651335	0.153557796721	0.169241801853	0.245795877797
a31	0.0390856995026	0.0948969079193	0.105743542726	0.0430470623622	0.0472765262633	0.0942199009995	0.162642779385	0.204123351948	0.208964230366
a8	0.032353198968	0.0945230182999	0.0724742425623	0.0420507673622	0.0491768480775	0.0890297703648	0.176405920736	0.234661168531	0.209325062969
</S>	0.0413055233407	0.0670291909312	0.0571119399675	0.0530839346482	0.0538784220814	0.0968216246499	0.1704884558	0.255980019315	0.204300896414
