 	aveva	lavorato	tutta	la	settimana	</S>
a31	0.0985033576551	0.190412220104	0.0586510344144	0.4888240498	0.131304321971	0.0323050099651
a20	0.117285652187	0.241275632879	0.0564935078154	0.349296614267	0.213343530474	0.0223050547212
a31	0.0717185740679	0.263073412	0.120774210709	0.283791474556	0.245996875067	0.0146454465037
a28	0.123901660605	0.213047824542	0.151135807301	0.271307935099	0.231751551916	0.00885520723493
a31	0.195324192993	0.169588352702	0.137765725972	0.25850325228	0.232984119567	0.00583434110697
a13	0.209433655854	0.130188470615	0.104353009079	0.313554456313	0.237660052157	0.00481034358098
a18	0.227160323456	0.0963129082554	0.0530571334865	0.305860656927	0.311713804286	0.00589518666519
a31	0.198909220181	0.0584383415829	0.0214148375808	0.222110256112	0.459319222362	0.0398081379731
a27	0.123189726641	0.0389126793639	0.0148113705096	0.198358450814	0.569368582321	0.0553591792157
a31	0.0682099879117	0.035450800018	0.0140004687786	0.182805717381	0.59341708164	0.106115926412
a20	0.0470506322453	0.0288094931513	0.0120938690099	0.170130662277	0.602373289347	0.139542031697
a31	0.0298555440758	0.0407251176523	0.0126239549253	0.155514523009	0.595526283916	0.165754543566
a39	0.0232804345346	0.0458497097329	0.0101097911855	0.122559836561	0.599859123305	0.198341089722
a31	0.0202578606253	0.0378500464662	0.00882605531766	0.10675293329	0.603756796702	0.222556311947
a33	0.0218672883876	0.0398579043646	0.0156132562777	0.0686465348693	0.583857527834	0.270157484156
</S>	0.015730213285	0.0404132257472	0.0234446354414	0.0636152383267	0.592164938917	0.264631735078
