 	se	avevo	visto	nuvole	avevo	capito	che	stava	per	piovere	</S>
a31	0.0367295573691	0.134306066425	0.185493263852	0.079590760053	0.133472660032	0.239175416696	0.0314930746249	0.0332178452825	0.00725016591459	0.00105368111223	0.118217510231
a17	0.0237233947834	0.0919021779615	0.198141207565	0.0866847332032	0.0934314626832	0.212173005412	0.0332319663909	0.0994378713061	0.00778960097208	0.00116190931715	0.152322666048
a31	0.00935642986678	0.100028937336	0.146767636905	0.0530873009053	0.072604328171	0.153844331988	0.0969568453644	0.185608748846	0.00814540760401	0.00449624321406	0.16910380492
a17	0.00462698802664	0.126236174178	0.0977068798097	0.0307280944392	0.0434980639489	0.123443381792	0.149263682193	0.21474676712	0.00890009201436	0.00680221162967	0.194047684019
a20	0.014212828735	0.162864831368	0.0503212278566	0.0186431443205	0.0341085771163	0.14727795718	0.14077096441	0.209126522873	0.0046587731653	0.00616864444798	0.211846542487
a8	0.0725472736053	0.143606686858	0.0338818851789	0.0297344354982	0.0526307001088	0.139469949841	0.0971457570385	0.164267496055	0.00794225406255	0.00985809613373	0.248915486099
a20	0.175223688728	0.0952393128246	0.0629757079033	0.0388216383114	0.0597911278649	0.10189819129	0.0596521849207	0.0911577251276	0.0202655696012	0.0183860230837	0.27658885483
a31	0.15851170319	0.0579606263471	0.102164343805	0.0355499098965	0.130265030557	0.0658867925372	0.0457625816659	0.0737882923703	0.0458957901439	0.02307686712	0.261138082446
a46	0.0968027657132	0.0489353335365	0.108290331269	0.0379417199322	0.152698380811	0.100645685378	0.0475489692914	0.0750122851206	0.0723594023945	0.0339898148157	0.225775319953
a31	0.0803107755036	0.0520139909549	0.117506737326	0.0319211326099	0.14247829509	0.113797089131	0.0410701481457	0.0542240576691	0.0982840910139	0.0462882179012	0.222105459656
a35	0.0854116517307	0.056226769594	0.120714655024	0.0374927464685	0.146879067371	0.0978779822489	0.0359427873196	0.048873103313	0.116932181127	0.0322142660199	0.221434780928
a33	0.0905491905012	0.0984366384162	0.127501288613	0.0434437697217	0.0784855236158	0.0921058751996	0.0421435410031	0.0450811618235	0.136427366625	0.025084470104	0.220741172435
a8	0.0550440501127	0.125544544582	0.143183561428	0.0391791178509	0.0544170912684	0.0821260275332	0.034859509821	0.0319113962778	0.153844299434	0.034168615364	0.245721780428
a24	0.0500911929986	0.142663005501	0.144854835529	0.0351544752013	0.0538757721941	0.0793547033468	0.0284221318837	0.0242654120739	0.112733856355	0.0286482663453	0.299936337467
a27	0.0815021746929	0.1671354764	0.153934797732	0.0403919105522	0.059977041896	0.0626994383424	0.0215315723695	0.018726513216	0.100452006838	0.0159545026741	0.277694558419
a31	0.0762994408659	0.178917922652	0.144513560914	0.0371712763425	0.0635369656224	0.0413551321361	0.013548942864	0.0158876843193	0.098649476783	0.0410980624728	0.289021535738
a10	0.0858013215439	0.152363136002	0.116632609975	0.0414303807152	0.069026536938	0.0315299673842	0.0151117897213	0.0159662549338	0.109045091522	0.0503072751988	0.312785633349
a11	0.142854337858	0.132260686767	0.0914227323075	0.0551101351897	0.0685277479876	0.0303378984431	0.0170379301911	0.0136859975786	0.134868689102	0.0228865773007	0.291007262317
a24	0.15193933566	0.133802897566	0.0833161467965	0.0527852792283	0.0656084760631	0.0279606536836	0.0137328343741	0.0146717551075	0.111643741566	0.0166927757157	0.327846105424
a28	0.138223414645	0.154838334132	0.0802653667564	0.0478115654233	0.0587598946212	0.0298333667817	0.0122457097999	0.0148791881232	0.103151084655	0.01629462831	0.34369745044
a31	0.107327741666	0.210538097789	0.0641725952064	0.036246049885	0.0439265276748	0.0361329808941	0.009448310034	0.00960150018107	0.0800207623168	0.0203281507885	0.382257279925
a46	0.0986376802026	0.196257213111	0.0574903689618	0.0325142572931	0.0395727487309	0.0491596172246	0.012565944035	0.010749620271	0.0675039225514	0.0343584705586	0.401190154324
a31	0.102476498994	0.18451713361	0.0507696269446	0.0310585493253	0.0342514367412	0.0443276489212	0.0130855118249	0.0113452538916	0.0550694617925	0.036987326874	0.436111559093
a26	0.108653843298	0.210325645458	0.0470278101738	0.0301467299372	0.0305102118256	0.0294800183125	0.0143965541558	0.012970445885	0.0263659738278	0.0333517379079	0.456771045284
a31	0.121417484421	0.179009109654	0.0434637955329	0.0325971266502	0.0315414740698	0.0248464059471	0.0167059243271	0.0159927859225	0.0156724919139	0.0414804470769	0.477272959555
a46	0.114408778322	0.132250408201	0.0405453386024	0.0381033779583	0.0350892473426	0.0431230522461	0.0139331419514	0.0167922078992	0.0194606163429	0.0574483223357	0.488845495078
a20	0.0947548035261	0.137986535022	0.0521123376969	0.0492326153964	0.0406574603924	0.0452618035658	0.0123797445124	0.0174574534135	0.0361165152916	0.0817716987752	0.432269009113
a35	0.059738043039	0.15922765679	0.0566176130247	0.0528655068691	0.0439728882058	0.0268849396677	0.00983536715321	0.0152692170167	0.0324665562759	0.122218980134	0.420903222371
</S>	0.0419586834914	0.155005103237	0.0573261422099	0.0516993352268	0.0446473827641	0.0256952210438	0.00855218008136	0.0136916509319	0.0217905301319	0.149723493889	0.429910288985
