 	io	non	ho	cosa	da	mangiare	</S>
a31	0.312585461751	0.0886547621591	0.0115162155253	0.0307811257499	0.154772996383	0.381652237648	0.0200371859017
a37	0.224229887758	0.193126538328	0.027813767352	0.0722246727939	0.152773657403	0.315220982053	0.0146104957812
a31	0.177124516642	0.212785717531	0.0407275648102	0.136893777962	0.103641315957	0.317391808347	0.0114353213899
a18	0.152111391729	0.237836920389	0.0482519967425	0.18044176324	0.0712540555752	0.29034457849	0.0197593099081
a31	0.252970687095	0.228806820048	0.0445272832279	0.168851370222	0.0391455912171	0.242314220194	0.0233840403333
a11	0.352975467008	0.186240881267	0.0387194344553	0.143368125118	0.0268039042949	0.229535647232	0.0223565653145
a37	0.288903333837	0.219426560334	0.0631659651564	0.124599131667	0.0536282113999	0.196639867926	0.0536369379211
a15	0.277058613891	0.170611109461	0.0771960168728	0.0817094202293	0.0772597204929	0.205970589507	0.110194521667
a39	0.279872526887	0.110013951282	0.0744658525397	0.0683307536793	0.0634765963132	0.242943638302	0.160896671096
a31	0.315982023217	0.0623651910904	0.0542233671674	0.0583960381698	0.0424015403673	0.285281887485	0.181349947403
a39	0.31124228446	0.0492118634447	0.0552634407382	0.0574187680147	0.0438630350394	0.293068172879	0.189932428362
a20	0.239042911824	0.0693935421189	0.0719076215016	0.0721095422242	0.0684768596569	0.271559093226	0.207510426061
a24	0.201711574043	0.0790585181781	0.0849795147981	0.0609840813865	0.0734718298846	0.245872307229	0.253922181587
a31	0.188867498118	0.0738795794718	0.0735965374937	0.059819790214	0.0541325086262	0.219591564363	0.330112527429
a46	0.152162078882	0.0607888565688	0.0690015850455	0.0648382088208	0.0610001559172	0.242306227921	0.34990289361
a31	0.095287266946	0.0607958614516	0.0694655179118	0.0601512051037	0.0695607280322	0.246748439374	0.397990984137
a3	0.0590021991528	0.0554595896083	0.0849504978066	0.0492483372264	0.0665937163274	0.246667395325	0.438078261846
a31	0.0361814795534	0.0530796607801	0.0914013501246	0.0515129013588	0.0693755825421	0.257905692708	0.440543340615
</S>	0.0343158614843	0.0611831298537	0.0562748220469	0.0639035604874	0.0681191533554	0.243570419754	0.472633073307
