 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a31	0.0526781155315	0.164007355542	0.0853162353136	0.0365058649338	0.082541651234	0.0258981747721	0.0428477219083	0.298777855997	0.190598010599	0.0208290058378
a37	0.070544031577	0.17668054501	0.0892073408138	0.0181619701496	0.149099829885	0.0389614014182	0.0595534676903	0.258574930632	0.120198963507	0.0190175224998
a31	0.0841238297461	0.16673181546	0.107247763637	0.0264713277716	0.150033660676	0.0678451096191	0.0572959086131	0.206765592802	0.116526589193	0.0169584238139
a20	0.116939612045	0.150586405717	0.103361785906	0.027474031013	0.141198112399	0.0944913593016	0.0459996025026	0.179221458051	0.117182110359	0.023545523629
a31	0.178484306734	0.1152555612	0.0757117744567	0.0359778721062	0.177742397672	0.0889729504723	0.0362676864046	0.166314130988	0.0997760563415	0.0254972424255
a13	0.208104089213	0.0924263419827	0.0552349136707	0.0393087892242	0.198892704146	0.0751382838072	0.0347829366317	0.162771619762	0.104313422426	0.0290268769321
a31	0.221252946362	0.0686050753376	0.0623667063635	0.0190145743509	0.182476519985	0.0603955167597	0.0284877398447	0.163678410126	0.161806626164	0.031915870291
a20	0.155693121903	0.0506870841993	0.0700442126152	0.0183879397017	0.137297102635	0.0313288521589	0.0354576124205	0.192252094524	0.264831075641	0.0440209029063
a17	0.0848018969565	0.0570467216811	0.0745200889625	0.0217136581102	0.112592004826	0.0246938761803	0.039769945582	0.155363824341	0.346424434467	0.0830735408914
a20	0.108204767666	0.0725675710833	0.0903018935103	0.0190549192841	0.0679071699164	0.0164138327039	0.0198847796672	0.11033672198	0.378821146356	0.116507181684
a31	0.0976329161324	0.0641809706019	0.126918443586	0.0146450248318	0.0356774010365	0.019040142238	0.0160302632053	0.12739767014	0.330394497025	0.168082673618
a20	0.100491591883	0.0623345139384	0.133212391795	0.0121182971473	0.0291169367495	0.0218867669772	0.0161949816784	0.124137353393	0.319890139435	0.180617043311
a31	0.100592874131	0.0620727426727	0.124449763935	0.0114508169016	0.031447834233	0.0323821590183	0.0215389162476	0.119102550795	0.307648273045	0.189314081419
a3	0.0500938987725	0.0723326972728	0.115015026069	0.00939622437951	0.0250940001931	0.043894246818	0.0237096173476	0.115935724796	0.346665196762	0.197863381606
a8	0.0381368058654	0.0966208388331	0.074204965395	0.0193628626329	0.0241743101238	0.0869158333353	0.0231492114565	0.057022458312	0.398911432221	0.181501295212
</S>	0.0301070891051	0.0840329150484	0.0662117162762	0.0297183446824	0.0277798061313	0.130596996661	0.0284730139362	0.043327522726	0.37358411381	0.186168494006
