 	avete	cucinato	le	verdure	</S>
a20	0.6762556	6.275288e-05	0.3156941	0.007244502	0.0007431422
a31	0.9250655	0.0005824275	0.03277202	0.021373412	0.02020653
a37	0.30932578	9.7904585e-06	0.6590054	0.028047971	0.0036110517
a10	0.40594143	0.0001301269	0.33190644	0.16334927	0.09867275
a20	0.08612659	0.00029713105	0.095831096	0.7534699	0.06427531
a28	0.16490318	0.00019027555	0.119707845	0.61106	0.10413871
a20	0.05567275	0.00039354266	0.09792015	0.7509691	0.09504442
a33	0.6171999	0.00348564	0.1400239	0.09154312	0.1477474
a8	0.77495956	0.014088016	0.07508466	0.06873187	0.06713592
</S>	0.30284393	0.18169743	0.15297285	0.11829436	0.2441914
