 	ha	potuto	entrare	dalla	finestra	</S>
a46	0.9630549	0.025846336	0.008944267	0.0012064826	0.00030101565	0.0006470752
a31	0.94163084	0.013686184	0.011716382	0.018460955	0.01085905	0.0036464848
a8	0.32705522	0.07456629	0.55449504	0.037364524	0.0044921804	0.0020268015
a31	0.85127795	0.03686188	0.06162351	0.0114752	0.018027347	0.020734128
a15	0.95543617	0.006208402	0.0012338659	0.0007672266	0.0053463117	0.03100808
a13	0.8819391	0.010638662	0.0022552751	0.0021364246	0.013713705	0.089316756
a24	0.8902308	0.03570058	0.006230375	0.0038681072	0.010112317	0.053857807
a31	0.9383565	0.019799372	0.0058230325	0.004108456	0.0035560366	0.028356625
a18	0.9695188	0.006835163	0.007347592	0.0028758028	0.0025493952	0.0108733475
a31	0.9352028	0.011089641	0.0050315266	0.004921158	0.005119962	0.038634937
a20	0.30951247	0.12452155	0.14410836	0.12911348	0.13025488	0.1624893
a11	0.78184193	0.045014296	0.036995314	0.03554179	0.03579808	0.06480866
a8	0.46145746	0.103914656	0.1018253	0.10038814	0.100630164	0.13178429
a31	0.447068	0.10736735	0.10812971	0.10348328	0.103749886	0.13020177
a8	0.17795716	0.11552032	0.3497249	0.12556186	0.11755635	0.113679454
a31	0.5146514	0.09532259	0.09305923	0.09256338	0.092600636	0.11180278
</S>	0.16044655	0.15706557	0.20852426	0.15854736	0.15789008	0.15752625
