 	i	genitori	non	è	che	li	dimentichiamo	mai	</S>
a31	0.6383018	0.005807382	0.0011793643	0.0069140135	0.11695148	0.07497683	0.0916574	0.059008427	0.005203376
a18	0.91871196	0.00016121312	8.70008e-05	0.00018662636	0.023916619	0.0056507783	0.033008132	0.017833216	0.00044440027
a24	0.90993017	0.011086777	0.0007821726	0.00208916	0.0026861466	0.0087966155	0.028030908	0.032564685	0.004033386
a31	0.13932285	0.06459527	0.0026516407	0.008411235	0.1098711	0.14434572	0.50894487	0.018469775	0.0033875853
a37	0.27527583	0.09037489	0.02917753	0.06669828	0.1445561	0.074957214	0.29969406	0.018465605	0.0008004083
a0	0.724615	0.044545926	0.0027107343	0.0061625843	0.08825127	0.024410684	0.08534116	0.016438648	0.007524154
a28	0.17911078	0.028777309	0.006128907	0.012238337	0.5825633	0.07695356	0.09217613	0.014618303	0.0074334247
a18	0.36894628	0.010153548	0.0058402824	0.012124071	0.42589045	0.08571282	0.064412475	0.017210338	0.0097097615
a31	0.32510486	0.007183351	0.0029875704	0.00647604	0.3683255	0.16352016	0.093272395	0.022878334	0.01025176
a37	0.21577254	0.0600298	0.008617109	0.008136254	0.6279169	0.0318553	0.02554865	0.01476357	0.0073599056
a20	0.37820852	0.015255333	0.012250969	0.018376473	0.28587976	0.09537303	0.07209897	0.06702381	0.055533197
a31	0.26226467	0.039242744	0.028234642	0.026326543	0.51052105	0.060360983	0.027781876	0.025006944	0.02026063
a24	0.5238243	0.12871116	0.039258167	0.03926558	0.08738026	0.044858184	0.046823896	0.049046133	0.04083243
a31	0.1889853	0.055615492	0.05377658	0.05825742	0.22184101	0.11872481	0.083483964	0.11603164	0.10328378
a20	0.15592098	0.10974325	0.10452697	0.10461473	0.10658817	0.10505994	0.105159484	0.10416991	0.10421661
a31	0.15777189	0.0938299	0.09262591	0.09442955	0.121491514	0.10384616	0.101178646	0.11883176	0.1159947
a18	0.119170055	0.1106771	0.10992394	0.109972484	0.110524684	0.11008802	0.11020188	0.109679736	0.1097622
a41	0.20723307	0.0905595	0.08838672	0.08984182	0.10740452	0.09544715	0.09517301	0.11179311	0.11416111
a35	0.270229	0.09011959	0.08671661	0.08688068	0.09204028	0.08811094	0.08844221	0.09375515	0.10370556
a24	0.61567247	0.058029477	0.043510925	0.041210208	0.05975796	0.03941309	0.03973873	0.04855059	0.05411661
a28	0.626117	0.06396896	0.037812945	0.034895536	0.13809627	0.02411711	0.02332091	0.024842268	0.02682897
a31	0.4305878	0.06425171	0.011134437	0.012481745	0.32444572	0.057418983	0.05037832	0.037474353	0.011826893
a11	0.64485765	0.0989726	0.027569726	0.027583558	0.04459879	0.029118823	0.03546585	0.058065362	0.033767603
a31	0.44456807	0.06038475	0.035924792	0.03700805	0.07126974	0.046111368	0.04721968	0.107646026	0.14986761
a20	0.17605413	0.107738346	0.10053558	0.100573175	0.1019732	0.100751445	0.10169991	0.10926469	0.101409554
</S>	0.27136707	0.08151119	0.0683777	0.06978314	0.09079348	0.07670987	0.0773301	0.11293216	0.15119532
