 	e	che	cucino	</S>
a31	0.675285565	0.033200559	0.28993802	0.00157576995
a24	0.383997680667	0.0212674715133	0.593746836667	0.0009879886
a31	0.312705025889	0.0108974890178	0.675493438889	0.000904064216667
a11	0.318290420296	0.0153155373393	0.662464726296	0.00392930757222
a46	0.315826948432	0.0520750594464	0.610545195432	0.0215527618574
a41	0.495875396144	0.0927116684821	0.368966391811	0.0424465286191
a20	0.665755778715	0.0808479381607	0.208328995937	0.045067294873
a36	0.637740306238	0.0693299060536	0.170333627312	0.122596186958
a31	0.519596602079	0.0873207953512	0.220762835771	0.172319798986
a46	0.57719106736	0.0946277151171	0.197722995257	0.130458262995
</S>	0.62828678368	0.0927244825586	0.159296937629	0.119691851498
