 	se	vieni	alle	sette	io	sto	cucinando	</S>
a31	0.08677197	0.08649701	0.0009208111	0.0068107285	0.017050471	0.5001761	0.21712251	0.08465043
a21	0.039966792	0.17954323	8.9701e-05	0.012387407	0.028256822	0.6099055	0.06548715	0.064363435
a31	0.5901275	0.042652123	6.136086e-05	0.29888132	0.0025895205	0.0036961562	0.019615905	0.042376056
a21	0.010323352	0.12793353	0.00020034653	0.0045181825	0.008356715	0.7985699	0.027402386	0.02269555
a31	0.1034779	0.0057242764	3.4475986e-05	0.88510144	0.0004945772	0.0007179724	0.0018497242	0.0025996123
a13	0.049658943	0.8492788	3.1027677e-05	0.008902245	0.0154191	0.04631974	0.011086644	0.019303557
a35	0.22038415	0.020441778	0.00012234441	0.08445445	0.009467804	0.16582629	0.26603997	0.23326316
a37	0.7029111	0.0090303905	9.339967e-05	0.033942938	0.007913792	0.04751557	0.09625483	0.10233798
a31	0.049551517	0.22670907	0.008395971	0.011477859	0.15763727	0.37267524	0.13537648	0.038176537
a37	0.67502415	0.03398463	0.00078648014	0.023265012	0.0070443074	0.04966408	0.18293487	0.027296534
a31	0.038343087	0.22643045	0.094300285	0.051880863	0.3664018	0.10858617	0.050404686	0.063652754
a24	0.9042888	0.015255705	0.0056353863	0.003188074	0.012738403	0.02011592	0.024575936	0.014201827
a31	0.061101083	0.16318627	0.22204107	0.04727428	0.25678438	0.09598351	0.061478905	0.092150584
a13	0.7716992	0.04154333	0.04894515	0.013806878	0.044534393	0.028335007	0.020911623	0.030224368
a31	0.07132223	0.13180967	0.31958553	0.06325564	0.15714619	0.08936961	0.069710985	0.09780011
a27	0.41320944	0.07975002	0.11113748	0.078490846	0.08763471	0.07784794	0.07689757	0.07503204
a31	0.10106749	0.11127862	0.2541011	0.09839765	0.12370773	0.10475055	0.101578854	0.10511802
a35	0.2885456	0.09888004	0.10590085	0.110170305	0.10284682	0.09854378	0.09844947	0.09666321
</S>	0.12148118	0.12382285	0.12493834	0.118126675	0.14320262	0.12375391	0.12280865	0.121865734
