 	Marika	non	ha	mangiato	mai	un	rustico	</S>
a8	0.78482664	0.05687532	0.0025729167	0.00049801264	0.0006723693	0.016434513	0.072858095	0.065262124
a31	0.93702525	0.026629372	0.013304522	3.312032e-05	7.182194e-07	0.006453784	0.0047344407	0.011818761
a20	0.7486564	0.065184765	0.0075757736	3.93162e-05	2.0421792e-05	0.16894908	0.004332477	0.005241688
a31	0.7780722	0.11069746	0.045669194	0.00094570214	3.890553e-06	0.0055631027	0.0033190446	0.05572932
a37	0.41030812	0.48169568	0.06824643	5.0108865e-05	9.580753e-06	0.023536466	0.0016512196	0.014502373
a14	0.8067032	0.011421833	0.0073367986	0.00021064801	7.518091e-06	0.0012047924	0.005184249	0.16793096
a10	0.9151611	0.00939008	0.0024659052	3.9188624e-05	7.1381095e-05	0.0029336375	0.027220335	0.042718373
a31	0.6584897	0.02298756	0.0021971047	0.0002563936	0.0009171901	0.016528934	0.14041491	0.15820822
a37	0.93812627	0.03679976	0.0030533466	2.6000823e-06	9.59267e-06	0.004778618	0.0038643181	0.013365423
a10	0.31961018	0.029146569	0.008977796	0.0011282667	0.0070007355	0.058473006	0.28282455	0.29283887
a14	0.6730851	0.026022688	0.0068364353	0.00219223	0.012652389	0.03177063	0.16738522	0.0800553
a0	0.48832893	0.11597943	0.102042735	0.011109169	0.047640733	0.05291121	0.07907798	0.10290978
a20	0.48244196	0.13002594	0.107483834	0.01535786	0.047951616	0.079097606	0.046723925	0.09091724
a33	0.43884784	0.13225828	0.079656854	0.020263476	0.04405501	0.12136192	0.042093504	0.12146312
a20	0.3035655	0.11469774	0.08326925	0.044988904	0.071512274	0.12873867	0.07551833	0.17770934
a31	0.30026376	0.111250594	0.079878554	0.051592756	0.07576451	0.055782728	0.10422102	0.22124611
a0	0.6802021	0.044860087	0.039427478	0.03563491	0.037927736	0.039722465	0.059373874	0.062851295
a41	0.1557813	0.13504139	0.11794345	0.10204936	0.11201561	0.11665434	0.11159912	0.14891544
a31	0.16915812	0.13115455	0.11551104	0.100942865	0.10917067	0.117804125	0.11378464	0.14247395
a37	0.43099135	0.08085509	0.075554214	0.07363429	0.07453907	0.081078865	0.098106734	0.08524035
a31	0.14897184	0.12904936	0.12353804	0.113216	0.11456759	0.13463825	0.11686356	0.11915531
a18	0.28130487	0.102600284	0.100176156	0.09888319	0.09923972	0.10429833	0.109345	0.10415242
a8	0.16053194	0.121924244	0.11981256	0.116584815	0.11716576	0.12586485	0.1186292	0.11948667
a20	0.17363425	0.11822322	0.116889566	0.11494114	0.11591845	0.124535374	0.1171934	0.11866465
</S>	0.16829084	0.11912731	0.11813534	0.11721332	0.117376424	0.12008088	0.11986074	0.119915165
