 	vuole	vuole	mangiato	caldo	</S>
a37	0.09301805	0.7199702	0.083562665	0.043631457	0.05981758
a31	0.56255794	0.43342635	4.7658054e-05	0.0018192967	0.002148759
a41	0.64669025	0.35299435	8.97825e-05	0.0001168225	0.00010874328
a31	0.15982316	0.7377001	0.0033797987	0.051964108	0.047132775
a11	0.17723225	0.8213887	0.0009395285	0.00021184991	0.00022764254
a20	0.758548	0.16358633	0.042503823	0.021253685	0.014108055
a31	0.54538363	0.26658803	0.13500711	0.042322468	0.010698714
a18	0.3932147	0.16108315	0.045188237	0.37790933	0.022604585
a31	0.29632178	0.1771904	0.1442145	0.20899925	0.17327406
a20	0.26991168	0.093316354	0.10475163	0.48020142	0.05181884
a21	0.16048878	0.1151655	0.077944055	0.35709032	0.28931132
</S>	0.18876195	0.17394209	0.17602403	0.25586247	0.20540941
