 	che	impara	una	cosa	che	studia	una	cosa	</S>
a31	0.4789944	0.0011959521	0.00012379627	0.00019743535	0.018424124	0.0008313242	0.08420073	0.34811878	0.06791344
a24	0.3238707	0.0011757907	0.0019884044	0.09136569	0.048576456	8.076245e-06	0.007098192	0.37419868	0.15171807
a31	0.123100296	1.2774705e-05	0.00027408713	0.084180556	0.016300673	1.2421158e-05	0.0015063642	0.2956734	0.47893938
a20	0.8931433	0.00020569688	0.0021285121	0.008667917	0.013385667	1.4524101e-06	0.0123529835	0.028369535	0.04174493
a0	0.32867113	0.0024843821	0.0006734345	0.07682112	0.008488313	0.00036684988	0.009224378	0.10657188	0.46669856
a31	0.10950477	0.008320556	0.0026412818	0.2916217	0.009743249	0.0017611467	0.017599203	0.06405016	0.49475795
a20	0.607835	0.0032798243	0.0016329604	0.32572037	0.01597283	0.0019254705	0.016425041	0.018024968	0.009183506
a11	0.91879404	0.01320949	0.00998532	0.013847283	0.0031522189	0.00091963954	0.0029429977	0.009408939	0.027740045
a20	0.92390555	0.009362746	0.008463491	0.010075846	0.008324207	0.0056371363	0.010674477	0.005550821	0.018005665
a39	0.9055642	0.008453828	0.011693763	0.0041302484	0.033486087	0.0067236605	0.0046872688	0.012126053	0.013134868
a10	0.7392565	0.017217118	0.021989089	0.011073946	0.101312	0.017993929	0.02217284	0.029459413	0.039525174
a31	0.15574035	0.19038191	0.1720305	0.05760333	0.24344273	0.06561051	0.03644351	0.03340776	0.045339454
a20	0.40151227	0.08724483	0.087279454	0.043294977	0.18479457	0.049364697	0.048384883	0.043679927	0.054444287
a31	0.07677033	0.26670912	0.2746547	0.08587053	0.11312253	0.057131663	0.038590033	0.04473304	0.04241812
a11	0.2510553	0.13171826	0.13578932	0.083619244	0.09715111	0.07958394	0.0771507	0.07301027	0.07092181
a20	0.06722608	0.25698334	0.27585226	0.09989583	0.0722693	0.065754645	0.056310873	0.05413216	0.051575493
a39	0.06638205	0.26646602	0.29020545	0.1019026	0.058662903	0.05780411	0.05592808	0.052825343	0.049823415
a20	0.063062236	0.26697916	0.29016653	0.10254008	0.05934633	0.05910887	0.057394404	0.051659815	0.04974258
a31	0.052894738	0.30759642	0.33571336	0.10319218	0.040756647	0.04217941	0.043804046	0.03824908	0.03561407
a46	0.1393718	0.124083556	0.12604432	0.105061375	0.10322679	0.100350894	0.10263839	0.09990878	0.09931409
a31	0.104452685	0.14833182	0.15417275	0.10954651	0.0975731	0.096079424	0.09762783	0.09652983	0.09568604
</S>	0.14408161	0.1102811	0.11026048	0.10696724	0.10574825	0.10495073	0.106530905	0.10563193	0.105547756
