 	non	vieni	alle	sette	perchè	io	non	sono	pronta	</S>
a8	0.0851540428	0.06987923678	0.00237257358325	0.15480038	0.603699565	0.01020162585	0.0374636035	0.0246234969577	0.006494592595	0.00531093087
a31	0.0980095761333	0.0569031051133	0.00147818478325	0.0976648473333	0.667039871667	0.02181301785	0.0353191735	0.00849659449107	0.002277556405	0.0109981102033
a7	0.125662602044	0.0541299329044	0.00191396012775	0.0645275131111	0.650451163889	0.02954144395	0.0473004338333	0.00312876757802	0.000929993018333	0.0224141997344
a24	0.0659814566147	0.0197697169881	0.00157881939258	0.047942702037	0.77524035463	0.0209315643167	0.0422587512778	0.00107351230367	0.000523213779444	0.0246998902448
a38	0.0235179872382	0.00672439824937	0.00074188603086	0.0897672783457	0.818204094877	0.0139417984389	0.0276780725259	0.00046849524789	0.00112363309315	0.0178323366483
a31	0.00908272803607	0.00491326684979	0.000292877956953	0.117627951449	0.833549408292	0.0123900231463	0.0126254976086	0.000253253042963	0.00117714315118	0.00808781604277
a10	0.00448289453536	0.00485509368326	0.000162575238984	0.0763750258163	0.885330169431	0.0152886620488	0.0079388557362	0.000168517764654	0.000465723620527	0.00493242877426
a11	0.0132549188451	0.00731687362775	0.000567776502995	0.215711895272	0.69813917981	0.0295040526829	0.00974851611207	0.000447682418218	0.000742364356842	0.0245667430914
a31	0.0203199352817	0.00808720587592	0.000714016967665	0.425112165091	0.47108099327	0.0343802078943	0.00983508207069	0.000490484922739	0.000817615225614	0.0291623069638
a20	0.0153030140939	0.00736701829197	0.000881498489222	0.324763537864	0.58158528109	0.0309988336314	0.0121200770569	0.00135681486758	0.00169704228187	0.0239268702546
a10	0.0357760353646	0.0417816554307	0.00460563242974	0.113052451455	0.58753001703	0.0483195602105	0.0368340916856	0.00695147518919	0.0172870164273	0.107862050085
a31	0.0610429004549	0.0507047801436	0.00571191580991	0.046355696485	0.577051612343	0.0605315767368	0.0456734022285	0.00825016482973	0.0217449765758	0.122932972528
a21	0.0497141121516	0.0327415757145	0.00628585226997	0.0215821008283	0.658649504114	0.104599768912	0.0503230107428	0.0158625620432	0.0126600952919	0.0475814130093
a31	0.0627335827172	0.0268118725715	0.00676099542332	0.0105968351428	0.659328814705	0.121439059637	0.0586687319143	0.0192757867477	0.011129878864	0.0232544056031
a20	0.0661344049057	0.0216897755238	0.00877506747444	0.00711593438093	0.599006218235	0.160887016546	0.0769475573048	0.0334364293159	0.012812179388	0.0131953901344
a13	0.0600838856352	0.0729617385079	0.0425451424915	0.0131528442603	0.399396116078	0.189437882182	0.0955609957683	0.055246873772	0.0452439254627	0.0263706027115
a31	0.0949100552117	0.0866538715026	0.0552173331638	0.0185411770868	0.380087215359	0.145381657394	0.0820043685894	0.0447681295907	0.0604590194876	0.0319771822372
a41	0.0931191670706	0.0617151308342	0.0392008157213	0.0172241200289	0.374022168453	0.192480305798	0.10281672953	0.0530752008636	0.0472828564959	0.0190634957457
a35	0.0974149143569	0.121508845278	0.0447579582404	0.0332258666763	0.251792932818	0.202615778599	0.11284476851	0.0684326399545	0.0481305261653	0.0192757262486
a31	0.188373791452	0.128934361759	0.0419429887468	0.0436055122254	0.275601857606	0.123637397866	0.0757056575033	0.0545752433182	0.0428176040551	0.0248055427495
a24	0.187527041484	0.0785063889197	0.0375169915823	0.0315698844085	0.285591035869	0.151235397622	0.0988037151678	0.0646331531061	0.0427586540184	0.0218577222498
a37	0.116310923161	0.0944991113066	0.0422977605274	0.0333265211362	0.206354351956	0.206860689207	0.139214131723	0.090547062702	0.0512093336728	0.0193801247499
a27	0.118373626054	0.128862927102	0.0447494425091	0.0511220113787	0.161019337319	0.183586103069	0.134189330574	0.101321495901	0.0524872438909	0.0242884949166
a20	0.130602668685	0.152381505701	0.0436020321697	0.0641187004596	0.14097002244	0.154998034356	0.127386436858	0.110561431967	0.0467420399636	0.0286371329722
a31	0.165039019562	0.134908135234	0.0486232543899	0.0670176651532	0.153538430813	0.129203121452	0.109999848953	0.102665043989	0.0488755359879	0.0401299363241
a37	0.156410909854	0.110749951745	0.05190926713	0.0589401540511	0.173207363604	0.140016510484	0.107835052984	0.100766274663	0.053156441996	0.0470080347747
a31	0.126783833285	0.104888018582	0.0604767633767	0.0646863986837	0.173653451201	0.139135060161	0.108848834328	0.102331291554	0.0621695539987	0.0570267522582
</S>	0.133786276643	0.095709851291	0.0727343716883	0.0778245193419	0.170453355601	0.11397926508	0.097454807164	0.093782085777	0.0737231719993	0.0705522611291
