 	la	casa	la	costruirono	i	muratori	</S>
a31	0.2901802403	0.0329965749	0.00034878771	0.172113349	0.018933545	0.208090035	0.27733749
a17	0.0974690167667	0.0329706491333	0.0001461641882	0.187612513	0.013621014	0.137856624	0.530324003333
a39	0.0327454099756	0.0141610985444	5.14009257e-05	0.10487625	0.00489253108333	0.073154366	0.770118891111
a3	0.0119876846785	0.00897076904813	0.000210044293333	0.0919747656667	0.0232921924444	0.094067001	0.769497483704
a35	0.00721104832617	0.00738004354938	0.000888972664444	0.0858211575556	0.0392204908148	0.174602030333	0.684876231235
a31	0.00967607777539	0.00895059384979	0.00216183878815	0.0757685448519	0.0325115109383	0.212128943444	0.658802527078
a24	0.00992901012513	0.0133892426166	0.00425040019605	0.0544940099506	0.0300530689794	0.255332221148	0.632552109026
a31	0.00710098590838	0.0117666153389	0.00408544006535	0.0354114469835	0.0231783146598	0.317553607049	0.600903623009
a39	0.00805742363613	0.0545558785796	0.0128442703551	0.0313634366612	0.0275840735533	0.32734338235	0.538251534336
a31	0.016029586212	0.0716166928599	0.017136067785	0.0550256945537	0.0382211671844	0.362604400783	0.439366364779
a24	0.0221486597373	0.12097126762	0.0237555752617	0.0634149988512	0.0385070033948	0.356945820261	0.37425665826
a31	0.0345425792458	0.143529055207	0.0309425077539	0.0910930936171	0.0560522661316	0.342354876754	0.301485622753
a28	0.0392769614153	0.159068601069	0.034863171918	0.102593092539	0.0632418403772	0.338465775585	0.262490537584
a45	0.0408177771384	0.23859482369	0.0586064039727	0.048260081513	0.0567226934591	0.295996791862	0.261001399195
a31	0.132317039046	0.198975677897	0.0834582979909	0.0711389998377	0.0757006944864	0.235994537287	0.202414763065
a20	0.185924399682	0.151180099299	0.10745707933	0.113330856613	0.104189828162	0.171705502429	0.166212241022
a31	0.188057253227	0.139854646433	0.120259719777	0.124363748871	0.118967126054	0.152572714143	0.155924757007
a8	0.190072931076	0.136785075478	0.125861539926	0.128447789624	0.125005125351	0.143843808048	0.149983685669
a31	0.213115903692	0.133287538493	0.125238943309	0.124383889875	0.123767820117	0.135925327683	0.144280555223
a20	0.223046681231	0.130321749498	0.126142941103	0.126629066625	0.125566621706	0.131903444228	0.136389488408
a18	0.16835624041	0.140133509833	0.136866840368	0.135698828875	0.135776260569	0.140115694743	0.143052599469
a31	0.19170841347	0.135436596611	0.133482402123	0.133653299625	0.13304610019	0.135683864914	0.136989279823
a11	0.19973720449	0.13350996887	0.132417789374	0.133451533208	0.132343243397	0.133862854971	0.134677376608
a27	0.16143414483	0.140298402957	0.139279273125	0.139195744403	0.138900137799	0.140163481657	0.140728808869
a31	0.15915366161	0.140343110986	0.139587387708	0.140256094801	0.139426769266	0.140514727219	0.140718229623
a0	0.158352840537	0.140299140329	0.139643589236	0.1406394816	0.139544516422	0.140600409073	0.140920023208
a31	0.153041210179	0.141137176776	0.140498123079	0.141309310533	0.140494308807	0.141630026358	0.141889861069
a18	0.151297406726	0.141506038925	0.140844007693	0.141588796844	0.140812506269	0.141867122119	0.142084120356
a31	0.149231838909	0.141902259642	0.141194412564	0.141770905615	0.14119188209	0.142262657373	0.142446066785
a46	0.148606059636	0.141922913214	0.141323130855	0.142051251872	0.141401980697	0.142327589124	0.142367108928
a14	0.144554086545	0.142816814405	0.142264653618	0.142518503957	0.142158996899	0.142838426375	0.142848532976
a8	0.143212228848	0.142977491468	0.142452627873	0.142411327986	0.142377608966	0.143197135458	0.143371574325
a31	0.153477496283	0.141101320489	0.140653419291	0.140871655995	0.140635396322	0.141400828486	0.141859881442
</S>	0.164109628141	0.139167310245	0.138853774645	0.139455847997	0.138977948161	0.139547929243	0.139887580721
