 	qui	nella	casa	ha	la	luce	accesa	significa	che	ancora	stanno	svegli	non	sono	addormentati	</S>
a31	0.0816211285265	0.104805518	0.0050384109	0.00133823925	0.000123737794905	0.023226679	0.427985435	1.2271369035e-05	0.00027572054	0.0003893836875	0.00039066981	0.0001055797725	0.0003447965315	0.000576524305585	0.3489683975	0.0047975478
a37	0.0273596421932	0.0816582713333	0.00485252316667	0.000954117856667	4.13580371317e-05	0.0246395623333	0.562453505	1.4188924035e-05	0.000926000873333	0.00321341472917	0.00472339582333	0.000118253665833	0.000223652054833	0.000219187158918	0.258931870833	0.0296710649333
a31	0.00929553135773	0.0372175129111	0.00276539108889	0.00103813105889	1.46033937039e-05	0.0152638364444	0.378575288333	1.4879602235e-05	0.00106809827111	0.00396875445306	0.00601450762111	0.000161315455278	0.000216046818278	0.000100274641973	0.508408176944	0.0358776610778
a46	0.00330919891258	0.0244519387704	0.00184046056296	0.00114137556296	6.53134833463e-06	0.0102773662481	0.384929569444	0.000700073475968	0.0125289242037	0.0179072010277	0.0367595060537	0.00322141723509	0.00201637227276	0.000756058282991	0.477503900981	0.0226501621259
a24	0.00136329939753	0.0575673615901	0.00208466008765	0.000569349160987	5.10626864488e-06	0.00620476031603	0.509219626481	0.00119937469199	0.0192160940679	0.0277672466759	0.0592879900179	0.0059472584117	0.00448624322425	0.003065312061	0.183654656994	0.118361711709
a31	0.00054807212851	0.382175423863	0.00227818359588	0.000259106573662	3.77365595496e-06	0.00322707557868	0.324567124494	0.000671341291063	0.00934409999797	0.0145319752053	0.0321262286143	0.0037365777539	0.00341387290728	0.00311409413353	0.079541283778	0.140461814036
a13	0.000213401470503	0.460864461288	0.00166508419863	0.000154779294554	1.27344038583e-05	0.00149244512289	0.395371533831	0.000249912300754	0.00480165277466	0.00581531504843	0.0114332723131	0.00160995786797	0.00141117310163	0.00111467807771	0.0425644460393	0.0712252414787
a24	0.000263269548501	0.168841618429	0.00173659013288	0.000177533288185	4.82247546194e-05	0.00186320563096	0.448453727944	0.000280246176918	0.00663096772489	0.00812166568281	0.0108935716044	0.00722569762266	0.00862986133388	0.00157460377924	0.0974049366798	0.23785433716
a31	0.000552428902834	0.138790234143	0.00211507681096	0.000612504172728	7.63086215398e-05	0.00511438221032	0.385828505981	0.000643617258973	0.021056082575	0.0228780932276	0.0226689568681	0.0109735821076	0.0123874481113	0.00183509585975	0.101238736127	0.27322896772
a13	0.000668716354278	0.140954740381	0.00323260560365	0.00123888852424	0.00025092810718	0.00644620017011	0.58104824866	0.000674727676324	0.024212888425	0.0269642247425	0.0225743896227	0.00708241010253	0.00621086500377	0.000947241146583	0.0492162559423	0.12827667324
