 	ho	cosa	a	fare	</S>
a23	0.9569871	0.036119	0.0055590156	0.0011502284	0.00018483069
a17	0.76447535	0.23254281	0.0008415072	0.0012115012	0.0009288176
a31	0.6866277	0.101792775	0.093842104	0.1054904	0.012247041
a8	0.18730173	0.8075792	0.0010778613	0.0035500813	0.0004911703
a31	0.821672	0.1683631	0.008048347	0.00153102	0.00038561612
a13	0.629017	0.31664196	0.0011632037	0.0027402593	0.050437625
a24	0.45016137	0.458275	0.0403075	0.04446992	0.006786326
a31	0.4089226	0.21523596	0.045742236	0.27309656	0.0570026
a13	0.7597303	0.12102933	0.040058527	0.057378437	0.02180333
a31	0.1358076	0.06344096	0.14024198	0.27825093	0.38225845
a18	0.33897775	0.36624894	0.0824553	0.070554495	0.14176351
a0	0.68265676	0.09264394	0.09291328	0.05963521	0.072150834
a39	0.40783143	0.1147729	0.26247236	0.11314178	0.10178153
</S>	0.20165342	0.19136494	0.35955876	0.13804653	0.10937639
