 	mia	sorella	non	è	venuta	mai	qui	come	io	</S>
a31	0.0256190235	0.016835218865	0.0309055457	0.01591225549	0.807772985	0.0132135399	0.0103786285	0.001852837575	0.067888027407	0.0096219506765
a24	0.0333110445	0.0165897295353	0.0300304499333	0.01582813487	0.707893285	0.0150706173667	0.0101190592	0.00282043259167	0.155797312469	0.0125399425588
a31	0.0385671931667	0.00553720687177	0.0108805085778	0.00531605578667	0.768822038333	0.0145617331889	0.0039235841	0.00197800749722	0.143162654156	0.00725099497627
a13	0.0246954777222	0.00184871942059	0.0042639901426	0.00179703933356	0.898170876111	0.012035949983	0.00139975491833	0.000693778412407	0.0524977038853	0.00259667877042
a18	0.0155710769074	0.000617166014397	0.00146126379753	0.00061408582252	0.94293784537	0.00407589992433	0.000496945967777	0.000406229294136	0.0328956871284	0.000923723941807
a20	0.0111886869691	0.000207028158832	0.00110618749918	0.000257580349507	0.903697865123	0.00163657568478	0.000716337499259	0.00269990024138	0.0780886723761	0.000401083017269
a31	0.00816493632303	7.24320201107e-05	0.00114850116639	0.000747785495169	0.814117105041	0.00270508946159	0.00104362409975	0.00545203321379	0.164294327459	0.00225412034576
a37	0.0340232231077	3.49725293702e-05	0.0026625449888	0.00088042118439	0.669776835014	0.0038496570872	0.00135174456658	0.0111943285379	0.273260332486	0.00296595118192
a31	0.0430938523692	2.61007727901e-05	0.0059188711296	0.000872458680797	0.637949998338	0.0068826307624	0.00168391025553	0.019374498846	0.280835684162	0.00336203846064
a11	0.111146535456	0.000104068011597	0.00942157237653	0.000931134456932	0.550306719446	0.0148218862541	0.00609475781851	0.050727187282	0.252090288054	0.00435587915355
a31	0.140647418152	0.000226493853866	0.0400843781255	0.00205806471564	0.515795073149	0.036098376418	0.00804085500617	0.0634116107607	0.189880767018	0.00375697391785
a11	0.119367359051	0.000644686924622	0.0516319550418	0.00268378630521	0.527692744383	0.051567298806	0.0175790897354	0.0992386769202	0.125901396673	0.00369300750595
a31	0.11556900235	0.00170367277487	0.0694011923473	0.0097105851684	0.502592501461	0.0584794462687	0.0214424983785	0.114451954973	0.102337745324	0.00431143283532
a11	0.08392753345	0.00267017972496	0.0813029364491	0.0125712010561	0.488251820487	0.0635482537562	0.0322424125928	0.169242564324	0.062176588208	0.00406658071177
a31	0.06367944365	0.00824579604165	0.10188646115	0.0356193296854	0.403769193496	0.0612555945854	0.0423231268643	0.222340384775	0.0510754020693	0.00980534800392
a13	0.0513961003833	0.0112621364806	0.122099611717	0.0445099228951	0.368138584499	0.0650623098618	0.0507596666214	0.247066304925	0.0282843326898	0.011421069668
a31	0.0442211712278	0.0168641936269	0.094774825239	0.0448144006317	0.3013254715	0.0550019986206	0.0649127465405	0.305572648308	0.0344794435633	0.038033107556
a18	0.0397851281759	0.021107037209	0.0965645550797	0.0474407775439	0.2898415905	0.0596278915402	0.0752096815135	0.286488679436	0.0366277998544	0.047306867852
a31	0.038019792272	0.0215094107363	0.0787927393599	0.0396602665146	0.2761284835	0.0559470241801	0.0738151605045	0.266878316479	0.0589508139515	0.0902979779507
a10	0.041494260304	0.0235765589121	0.0787629274533	0.0388775688382	0.3129381145	0.0581854897267	0.0727906101682	0.206793445493	0.0621962383172	0.104384758517
a7	0.075799194768	0.0342718826374	0.0923533924844	0.0399318046127	0.276963142833	0.0773403812422	0.0844311533894	0.188864091831	0.0743010644391	0.0557438687057
a31	0.0587037039893	0.0381984895458	0.0612887681615	0.0516163212042	0.199613152278	0.0518845754141	0.0615794114631	0.23301835061	0.116691878146	0.127405339569
a20	0.0455137673964	0.0430000785153	0.0510006720538	0.0600706684014	0.225588797426	0.0441717568047	0.0519892074877	0.199527495203	0.133029172715	0.14610839319
a31	0.0411126068988	0.0416192305051	0.0449365651846	0.0625240918005	0.188686109142	0.0408975616016	0.0548712024959	0.146633230068	0.215970990905	0.162748414397
</S>	0.0208155525994	0.0266993217525	0.0280503013423	0.0572877844003	0.145482314571	0.0243266948008	0.0467395612479	0.134030360034	0.286910415452	0.229657687198
