 	se	aveva	visto	le	nuvole	le	nuvole	avrebbe	capito	che	stava	per	piovere	</S>
a46	0.143392734	0.00396934375	0.10732492225	0.0324743114	0.0538479157	0.013028289	0.0213153745	0.404809955	0.077099929	0.0116691247	0.00898074065	0.00433544655	0.11527864985	0.00247331215
a31	0.141574691976	0.003555638643	0.117172404083	0.0336627612667	0.0561854339	0.0120480477667	0.0256951605	0.142068814143	0.0291872412	0.0104161859333	0.00403272624	0.00402852438333	0.41519057995	0.00518182521667
a27	0.0590202546343	0.001226286094	0.0572237330277	0.0170661732222	0.0837882766333	0.0359483903556	0.0247124088333	0.0518376748577	0.0151186672667	0.00709205734443	0.0134101253367	0.00519409289444	0.623389693317	0.00497217497222
a17	0.0397836292114	0.000455475300333	0.0343983726759	0.0109435270074	0.0937352155444	0.0458088114519	0.0344308886111	0.0468237392859	0.0249204150889	0.0121130184481	0.0254930967789	0.00460665763148	0.624524597772	0.00196255392407
a31	0.0215865084205	0.000163586533928	0.0205047160586	0.0069333890358	0.117254201848	0.0351034851506	0.102141425537	0.0445877254286	0.0862510796963	0.0273121504827	0.029324156593	0.00484835054383	0.502930499257	0.00105872962802
a24	0.00787274569017	5.89379317927e-05	0.00905761615287	0.00475248447193	0.120238969116	0.0292584665835	0.111664964846	0.0197840752429	0.0932770878988	0.0291822641609	0.0231215273643	0.00402113184794	0.546914099752	0.000795637946007
a29	0.00960986743006	0.000150124446264	0.00504109001762	0.00268110968398	0.0421933325387	0.0107031264945	0.0517430626153	0.038887016181	0.0525348619663	0.015354825187	0.0101254336214	0.00190176921598	0.758605766584	0.000468631958669
a38	0.161503709477	0.000433453005421	0.0209346156725	0.00664432806133	0.0247415185129	0.0093163869315	0.0503054922051	0.0667484070603	0.0878644253221	0.030466607529	0.0113597482071	0.00323804743866	0.526239043861	0.000204239347223
a31	0.206280155292	0.000429092271807	0.0294949762242	0.0203221546871	0.143696299504	0.0268342793105	0.0522798274017	0.0617663846868	0.0951807471074	0.0417486305097	0.0155598034024	0.00403059531289	0.30224826962	0.000128777836741
a37	0.0872636538973	0.000231221310602	0.0201032764081	0.0233348228957	0.196280999835	0.0603285081035	0.110996735801	0.0755349955623	0.0886417043691	0.0404422335032	0.0157637341341	0.00368952517096	0.277251573207	0.000136993842247
