 	io	al	mio	fratello	non	gli	lo	scrissi	mai	una	lettera	al	mio	fratello	</S>
a31	0.0010051504	0.012144085	0.005846483	0.0007016198	0.0029289105	0.0030610296	0.0023403703	0.011681937	0.32702696	0.6035978	0.02872163	0.00046874856	0.00015847544	6.578708e-05	0.0002510124
a1	0.00022863988	0.00034738364	0.0012526169	0.00048361305	0.0005926278	0.003864883	0.003004247	0.013247701	0.31699145	0.22932945	0.29109973	0.10758546	0.025686631	0.0060271434	0.00025850913
a31	2.943595e-05	0.00021685478	2.7870567e-05	1.141551e-05	1.0556856e-05	1.9003175e-05	9.64926e-06	0.042762265	0.5049674	0.4364664	0.010802451	0.0018752912	0.00050887716	0.0018651854	0.00042726105
a20	8.635998e-06	4.715385e-05	4.498182e-05	7.7138924e-05	2.077166e-05	0.00026225368	7.935384e-05	0.029273344	0.24991739	0.55760837	0.15441975	0.0063775075	0.00065137475	0.001068869	0.00014309051
a31	4.8094524e-05	7.0471695e-05	1.4459694e-05	0.00022379955	2.9544735e-05	0.00021888161	0.00038353787	0.06273574	0.42711306	0.41803867	0.055563077	0.023384932	0.002629611	0.009279839	0.00026638742
a46	0.0001124124	9.4950876e-05	8.1421684e-05	0.001174821	0.0001019406	0.0020909782	0.0013080504	0.0423346	0.21910194	0.39023215	0.30490333	0.0262476	0.0038420078	0.007712241	0.0006616245
a31	0.00014837798	0.000182092	0.00013213634	0.0013555869	0.0002310859	0.0011093138	0.003561934	0.039673377	0.30141428	0.4301433	0.112866834	0.06525793	0.009169199	0.033741523	0.0010131018
a20	0.000564047	0.00023173912	0.0003993217	0.005071396	0.0003649473	0.005664634	0.0032489202	0.048748657	0.2638896	0.36184096	0.2713079	0.0248511	0.0036573003	0.008364389	0.0017951877
a31	0.00036372934	0.0004035123	0.00043948798	0.0020901356	0.00078089186	0.0016915494	0.006831027	0.027984595	0.21224616	0.3974723	0.2086346	0.08987668	0.010879077	0.038380858	0.0019253598
a32	0.0018673348	0.00054855057	0.00075012376	0.007759251	0.0008670111	0.0050237672	0.004037049	0.050996426	0.2968368	0.39792585	0.20182735	0.019887488	0.0025457367	0.0067686946	0.0023585972
a11	0.0010140346	0.000972626	0.0014635655	0.0014911045	0.0022836004	0.007507715	0.017329073	0.023697829	0.09913309	0.19063954	0.28407103	0.20207378	0.062381063	0.097407594	0.0085344
a31	0.00089050684	0.0012676996	0.0020220857	0.0013871507	0.001850105	0.007382889	0.01155197	0.023159232	0.099642016	0.11983823	0.3627436	0.22493811	0.07343246	0.064337395	0.005556572
a20	0.0066220094	0.002573276	0.000700957	0.0055558598	0.0034407813	0.002275554	0.0064402586	0.029875573	0.190049	0.49942476	0.18787535	0.04241885	0.0040793475	0.015645688	0.0030227778
a4	0.0049877525	0.004195777	0.0032927378	0.0020479457	0.005232606	0.013178603	0.017288486	0.02348771	0.06547408	0.10778165	0.3102077	0.2499883	0.08493104	0.09393803	0.013967596
a31	0.0066155954	0.005903829	0.007585295	0.0026431119	0.008377121	0.025181923	0.025742345	0.037300896	0.09948025	0.11122533	0.25900844	0.24352206	0.08898543	0.06806983	0.010358599
a28	0.016264724	0.006233464	0.004163199	0.0043658842	0.010913476	0.0077317907	0.016309021	0.020165283	0.06674969	0.17311208	0.378746	0.19954248	0.03739458	0.05253493	0.0057733743
a31	0.050113667	0.054976672	0.033475928	0.0075215716	0.049511977	0.0681813	0.07476477	0.040865168	0.052196812	0.05350193	0.10853299	0.18044801	0.089921765	0.07026515	0.065722324
a18	0.049530014	0.02915398	0.019316522	0.01125256	0.035032388	0.02953919	0.034206115	0.0156196235	0.048440825	0.09579446	0.2205626	0.22967014	0.1046273	0.05551544	0.021738831
a8	0.054132517	0.091737166	0.046352807	0.013840655	0.06589935	0.08464598	0.11065319	0.027856264	0.057336524	0.046934992	0.084177785	0.13004082	0.07813392	0.054542623	0.053715356
a31	0.01566447	0.020878302	0.010962147	0.005497089	0.022276912	0.033886697	0.10175917	0.04506493	0.13119778	0.106487416	0.13142669	0.14394012	0.08394816	0.07975083	0.06725922
a8	0.033540584	0.056950077	0.015766308	0.015320132	0.035782166	0.029493008	0.07570997	0.023539856	0.075184	0.101014756	0.12846045	0.18417755	0.07655333	0.06396014	0.08454761
a23	0.024698516	0.030604538	0.008958032	0.0072224736	0.036495775	0.026855024	0.1441983	0.08530765	0.10309753	0.100930035	0.0778359	0.10951171	0.042116612	0.061573263	0.14059463
</S>	0.0916269	0.061784193	0.016997023	0.028358605	0.10713577	0.04918458	0.17181256	0.059732825	0.062299423	0.058251042	0.048078585	0.07411303	0.027608158	0.03960113	0.103416175
