 	dove	aveva	per	stare	non	aveva	</S>
a24	0.016189724	0.00063448225	0.41062006	0.5585434	0.0048031625	0.0030042976	0.0062049096
a20	0.036586806	0.07258005	0.11244549	0.12561308	0.23460875	0.08148838	0.33667743
a13	0.061737835	0.24183354	0.20271766	0.32456964	0.094534636	0.019148521	0.05545825
a37	0.03956848	0.1279621	0.33647257	0.27505076	0.15844262	0.0181128	0.04439073
a24	0.06168747	0.13547456	0.2956622	0.2329922	0.23515303	0.01439122	0.02463935
a31	0.040756103	0.06682557	0.08209501	0.076738305	0.46035782	0.13009208	0.14313515
a20	0.025476547	0.03329569	0.041053727	0.041348655	0.41523734	0.3618402	0.08174793
a0	0.0501156	0.049914125	0.054850798	0.058256995	0.36028767	0.23409244	0.19248244
a20	0.05515032	0.056405324	0.048626468	0.059053786	0.33036652	0.23715392	0.21324372
a31	0.08720582	0.06325141	0.054024152	0.0678269	0.33430555	0.23674093	0.15664522
a8	0.0787901	0.056994013	0.030193238	0.038409773	0.31261864	0.36315826	0.11983594
a23	0.07008143	0.08214473	0.05653273	0.067689605	0.33337697	0.18498507	0.20518947
a38	0.10033844	0.086958	0.03866938	0.06351701	0.2566164	0.22786222	0.22603855
a33	0.09302153	0.10215753	0.055389322	0.06478633	0.30314758	0.19141902	0.1900787
a31	0.10985656	0.14285263	0.06314659	0.07918257	0.29522875	0.13975069	0.16998212
a24	0.15784574	0.06326695	0.0772649	0.08617237	0.27282453	0.23567173	0.1069538
a18	0.08448276	0.05312582	0.06896966	0.06372692	0.25226945	0.24485189	0.23257355
a31	0.088814676	0.055705413	0.06249715	0.064832985	0.2692681	0.24247456	0.21640715
a33	0.15361434	0.05709705	0.11027976	0.09710276	0.24630843	0.21450606	0.121091604
</S>	0.09579574	0.07151189	0.061063033	0.061581172	0.23839591	0.2302096	0.24144265
