 	è	pericoloso	di	nuotare	di	notte	</S>
a37	0.003067974	4.003889e-05	6.511767e-06	0.9594651	0.026865939	0.0010750936	0.009479352
a31	0.02745919	0.5677846	0.28570214	0.09941214	0.006700117	0.0012593194	0.011682415
a7	0.0027659752	0.032016564	0.008783208	0.8713785	0.075655855	0.009248119	0.00015174155
a31	0.008626182	0.49617597	0.19288608	0.21461698	0.07377565	0.01355684	0.0003623484
a20	0.016544305	0.5471698	0.26465863	0.09003432	0.054792985	0.026632883	0.00016710263
a2	0.039874993	0.305526	0.17967524	0.21376842	0.15290357	0.10571975	0.0025320225
a41	0.05810686	0.35190913	0.4153429	0.09124264	0.048575103	0.03398477	0.0008385989
a20	0.18290167	0.29957065	0.3528391	0.115685366	0.022763815	0.018876113	0.007363405
a46	0.5907993	0.19871373	0.14796501	0.038867526	0.0023457177	0.0019457333	0.019362973
a31	0.2197914	0.37060544	0.20505615	0.096830085	0.009778121	0.0070089577	0.09092996
a11	0.13159299	0.503443	0.17010862	0.099048756	0.039555565	0.02971902	0.026532046
a35	0.3138924	0.28901023	0.11151224	0.07360085	0.069244936	0.058964014	0.08377536
a31	0.38080403	0.25067657	0.09998173	0.06748001	0.06793135	0.059686672	0.07343967
a11	0.13777016	0.37363124	0.11487527	0.069996655	0.114154056	0.11194462	0.077628046
a28	0.32674766	0.25445044	0.08891036	0.04939507	0.095681	0.10360531	0.08121022
a20	0.32171825	0.22433223	0.080632545	0.054876186	0.09919656	0.11507177	0.10417246
a10	0.22488247	0.18186995	0.068379685	0.062042527	0.13223739	0.17135164	0.15923639
a31	0.20611195	0.16162243	0.06143817	0.06131279	0.14199993	0.19250628	0.17500837
</S>	0.19541311	0.1655842	0.061401103	0.052246187	0.14741331	0.20866708	0.16927505
