 	è	che	è	entrato	da	qui	</S>
a31	0.008594232	0.00014392093	7.4068635e-06	0.00013621105	0.0051814155	0.81172156	0.1742152
a7	0.0017291253	0.016193878	0.011033791	0.021977745	0.032608658	0.82457745	0.09187932
a18	0.0011532924	0.0010799373	0.013555794	0.49264592	0.4843834	0.0056314	0.0015501599
a31	0.00018654068	0.0009795158	0.04921268	0.8106293	0.1375817	0.00042301608	0.0009872505
a46	0.00011147779	0.0009932042	0.047202468	0.4821838	0.4680096	0.0010143622	0.00048514528
a31	0.0008324537	0.011687852	0.15753643	0.6410544	0.18196392	0.0065358835	0.00038906487
a39	0.035693396	0.04339023	0.13041218	0.2947102	0.32584754	0.16357884	0.006367622
a28	0.071554564	0.118501015	0.19430412	0.2196264	0.2164723	0.1647227	0.014818923
a31	0.06355076	0.21962358	0.17265731	0.11281774	0.110243216	0.19258744	0.1285199
</S>	0.12541701	0.18233107	0.20269628	0.07348247	0.0684403	0.14707212	0.20056075
