 	è	che	sono	ancora	svegli	che	ha	la	luce	accesa	</S>
a8	0.00082228135	0.0008831447	0.002084307	0.025770582	0.43527403	0.26316544	0.24104643	0.03050914	0.00040096242	1.1331985e-05	3.2350144e-05
a31	0.01178694	0.051134545	0.10201276	0.35279173	0.3268608	0.03606167	0.030394323	0.040804967	0.037289586	0.005331234	0.005531486
a20	0.002513146	0.010075235	0.0955773	0.19260848	0.22406444	0.095326655	0.21752101	0.1259522	0.0026448795	0.002264879	0.031451765
a46	0.0024638185	0.028030382	0.1482253	0.23792945	0.21741296	0.02194152	0.028765684	0.037432395	0.2446345	0.0012735386	0.031890426
a10	0.0042610215	0.011206603	0.021344988	0.039742075	0.03215435	0.021233443	0.017052034	0.018895611	0.70184	0.014404294	0.11786557
a17	0.0030074252	0.0061511826	0.008913546	0.024135388	0.01901288	0.038570892	0.046731755	0.060976673	0.7375733	0.030851414	0.02407555
a31	0.0031918457	0.0046504326	0.00531725	0.041612945	0.030633843	0.096671835	0.15712531	0.31707147	0.26247522	0.06316177	0.018088005
a20	0.019714521	0.025200065	0.026764462	0.16814333	0.13077943	0.07453762	0.1225575	0.16922921	0.21167839	0.04800171	0.0033937488
a8	0.01620806	0.020085644	0.019359365	0.07593817	0.06608277	0.07178527	0.11403583	0.30579218	0.12231693	0.16024037	0.02815541
a20	0.0013393917	0.0037817147	0.00644929	0.026795348	0.0205336	0.070728555	0.07912155	0.16927673	0.36780152	0.11561783	0.13855442
a31	0.017641854	0.036065586	0.043161478	0.08523923	0.075250335	0.08109419	0.14167012	0.308202	0.1311307	0.06505645	0.015488025
a39	0.019517709	0.05066633	0.06918691	0.10444272	0.11148022	0.050392043	0.08486195	0.31843042	0.066954225	0.117171265	0.0068961983
a31	0.031496454	0.037977844	0.03546771	0.055438805	0.053905282	0.057140615	0.07473338	0.15525053	0.14478838	0.21914265	0.1346583
a33	0.05356019	0.083183795	0.11153389	0.07469345	0.09638564	0.03775596	0.047199856	0.1519822	0.064434126	0.26021144	0.019059375
a31	0.008076026	0.009314937	0.0076960195	0.04594725	0.04156859	0.1036105	0.10377446	0.1627754	0.1597894	0.23744562	0.12000176
a18	0.10363664	0.12981579	0.12995006	0.049065158	0.07227528	0.022503464	0.027760522	0.07660483	0.040592823	0.26635504	0.081440344
a31	0.07542451	0.060856197	0.048236523	0.046452716	0.049208175	0.0467627	0.051958628	0.0779801	0.112985484	0.23017232	0.19996268
a23	0.08079977	0.10221317	0.10322687	0.04618053	0.06321275	0.020790119	0.028719572	0.08819666	0.041486464	0.30028486	0.12488927
a31	0.09689111	0.067067936	0.04375112	0.04691796	0.048108518	0.0470715	0.05035089	0.070481926	0.09035242	0.23490053	0.20410614
a39	0.11052776	0.14890224	0.11726234	0.04476138	0.055574942	0.017053394	0.02281931	0.056576125	0.016620997	0.25557062	0.15433083
a31	0.14478612	0.09391236	0.05884131	0.04181285	0.04359283	0.038291547	0.04102383	0.0578734	0.077023774	0.21319744	0.18964452
a24	0.11694573	0.14332151	0.10322629	0.044242546	0.0512701	0.01860727	0.025362588	0.0591472	0.018087076	0.25392562	0.16586408
a20	0.21391621	0.16512077	0.09817775	0.048747454	0.050040435	0.03401213	0.033842072	0.04499812	0.03166496	0.16647932	0.113000825
</S>	0.16499098	0.10698453	0.06279132	0.04030704	0.041036148	0.035067488	0.037693534	0.056108274	0.068698235	0.21019234	0.17613015
