 	qui	nella	casa	ha	la	luce	accesa	significa	che	ancora	stanno	svegli	non	sono	addormentati	</S>
a31	0.00024884788	0.00031226684	0.00022676014	0.00024009967	0.0004555422	0.0009518702	0.011484557	0.48360208	0.02116891	0.00880659	0.0029993504	0.44899648	0.011014633	0.00013978762	0.007983605	0.0013685902
a37	0.0074907797	0.0012677356	0.0004968668	0.0013392892	0.002110767	0.026327893	0.21217744	0.047387455	0.11562982	0.08055721	0.082955986	0.14618596	0.16330321	0.0569186	0.053470846	0.002380155
a31	0.00023655957	0.0027051957	0.0006867362	0.00017569608	0.0011914121	0.00035251107	0.09683425	0.6450069	0.10145472	0.03611905	0.006280322	0.03717951	0.008130705	0.0008544866	0.062279996	0.0005119091
a46	0.006125727	0.0015717907	0.002858165	0.0014534324	0.0035171423	0.008214627	0.1584818	0.4014849	0.10027718	0.027498817	0.043655794	0.07895821	0.1474654	0.014425673	0.003155998	0.0008553896
a24	0.0012169312	0.002431321	0.0019191154	0.0017301722	0.004376394	0.0020514703	0.013221176	0.019540062	0.026051067	0.018136866	0.03929353	0.023754492	0.31888694	0.013572593	0.5113402	0.002477679
a31	0.0005065676	0.00082360674	0.00024791027	0.0004834891	0.00077632186	0.01804038	0.006620186	0.0012960873	0.08060701	0.034532364	0.13165015	0.048208624	0.3389393	0.12709764	0.19586766	0.014302617
a13	0.0022710322	0.001835313	0.0031257742	0.0031264778	0.0046115	0.1479323	0.1092096	0.038561277	0.11936383	0.029644925	0.09479928	0.18263127	0.19399603	0.026643908	0.04197071	0.00027683965
a24	0.00029303343	0.00051270594	0.00033166868	0.00035262608	0.00079797074	0.007797271	0.0074179186	0.003478035	0.07663018	0.032247238	0.16601111	0.059407193	0.47603664	0.12048977	0.046352312	0.0018443101
a31	0.0016351154	0.0028450096	0.0004787224	0.00165193	0.0026633877	0.012809021	0.025267879	0.0019352328	0.07543365	0.06862027	0.14307913	0.070103265	0.32230958	0.1836738	0.07647015	0.011023864
a13	0.00189741	0.0035571181	0.0010531329	0.0025336624	0.005148142	0.042651255	0.19279702	0.008902982	0.11407451	0.11214221	0.093530655	0.28060094	0.08689827	0.019215189	0.0347832	0.00021426016
a17	0.00071941805	0.0012597409	0.00033373194	0.0007213891	0.0014469306	0.00889752	0.019467395	0.0021192818	0.07511053	0.06861234	0.16243522	0.08258503	0.354982	0.18242994	0.03592704	0.0029524646
a31	0.0008399445	0.0014052626	0.00024757022	0.00075600675	0.0011300998	0.008652253	0.016172186	0.0015690824	0.10712047	0.06605558	0.17156045	0.057618327	0.34381875	0.11453484	0.10321244	0.0053067
a28	0.0055624824	0.009673159	0.0021443542	0.0047776857	0.010432122	0.022758313	0.21255493	0.008374519	0.07426977	0.11490738	0.10058134	0.33804283	0.06728285	0.013479455	0.015048911	0.00010990987
a31	0.003358598	0.0048931204	0.00071378273	0.0027586475	0.0038211595	0.014890172	0.027166314	0.0020314471	0.06910393	0.070759684	0.15474656	0.085092075	0.2815062	0.16308403	0.10788905	0.00818525
a20	0.010822664	0.017118972	0.0038813138	0.008361744	0.01759611	0.029418802	0.22230601	0.010279825	0.06120083	0.10004973	0.08309916	0.3292885	0.06594582	0.019897481	0.020561032	0.00017197909
a24	0.0064422484	0.008686801	0.0015235863	0.004880649	0.007908247	0.016304944	0.041299276	0.0036544683	0.0571787	0.08010542	0.12404083	0.10413656	0.24944636	0.23389734	0.054162763	0.0063317344
a27	0.03309724	0.04014601	0.011998189	0.022114057	0.03178229	0.020909632	0.04492489	0.01503705	0.043521933	0.056865603	0.0810205	0.06915539	0.17388846	0.20532727	0.10319582	0.047015727
a24	0.010066648	0.0141183995	0.0022329437	0.007576678	0.010270973	0.0166763	0.035355076	0.004194867	0.059665475	0.05965546	0.10216738	0.0629369	0.2256597	0.17477854	0.18167715	0.032967504
a37	0.03184136	0.03790715	0.015107009	0.021550326	0.027530553	0.017748976	0.035272546	0.016825529	0.036011342	0.046121977	0.084122345	0.066751175	0.16427374	0.16518648	0.16110285	0.0726466
a31	0.01922942	0.026669057	0.009000245	0.014617702	0.019139403	0.009936856	0.04119302	0.012012365	0.041363157	0.066260085	0.13327612	0.09793633	0.18842217	0.13379724	0.15030637	0.036840413
a46	0.027371798	0.04136106	0.02506905	0.016361102	0.03819061	0.0071672676	0.090842806	0.029448384	0.02214337	0.071204804	0.10566873	0.1952794	0.13987702	0.14700536	0.035993278	0.007015889
a20	0.038064115	0.044747524	0.019577852	0.023843417	0.030427864	0.017969517	0.03402946	0.020387273	0.033808723	0.042588826	0.076766044	0.061022088	0.15578435	0.16014561	0.15925008	0.0815873
a13	0.036286436	0.04501619	0.022189535	0.02317942	0.030400736	0.012837028	0.037841186	0.02563375	0.0349901	0.0506714	0.10042443	0.07864819	0.16740032	0.13934869	0.14265133	0.0524813
a0	0.033024836	0.040361363	0.021251468	0.022104817	0.027744696	0.013827275	0.034868874	0.023295827	0.03215741	0.04788407	0.097139105	0.077347584	0.15826681	0.14396648	0.15228617	0.07447317
