 	non	ha	da	mangiare	</S>
a31	0.15669915	0.0024350372	0.0041705323	0.09577731	0.740918
a20	0.35254768	0.16816582	0.042878047	0.12523079	0.31117773
a31	0.07568637	0.07560917	0.022914384	0.7101575	0.115632564
a41	0.023319013	0.1037884	0.4465018	0.39942202	0.026968693
a10	0.044018086	0.50216544	0.31485185	0.12027135	0.018693276
a31	0.014402418	0.20915774	0.59048307	0.18153492	0.0044218726
a15	0.04013359	0.13882549	0.4577265	0.33206347	0.031250976
a31	0.08476492	0.21552376	0.3595958	0.26119345	0.078922085
a39	0.080135904	0.19293396	0.33411875	0.1917896	0.20102175
a37	0.053049024	0.17206909	0.34651345	0.25759485	0.17077367
</S>	0.2815901	0.29612783	0.24790874	0.11621997	0.058153313
