 	il	ladro	è	entrato	da	qui	</S>
a31	0.1023475039	0.00698890005	0.013065349435	0.185785553	0.1592651	0.466616525	0.065931113
a17	0.0371587673667	0.01190169485	0.018785498145	0.325158147667	0.270386866667	0.289568555	0.047040558
a37	0.0148618427556	0.0148488196167	0.0330519293817	0.502630592556	0.286846828889	0.122627114667	0.0251329051
a35	0.0050551594152	0.0103421608722	0.0861756764606	0.563825260852	0.274949926296	0.048777809889	0.0108739188667
a18	0.00206105623507	0.0076880049574	0.12391558882	0.418053920284	0.383317368765	0.057489231963	0.00747475302223
a31	0.00222855834502	0.0178149286525	0.124878666273	0.260455108428	0.475497392922	0.110733367321	0.00839195367408
a24	0.00649138228167	0.0370477715508	0.105331532091	0.154641834476	0.403951780974	0.221050045774	0.0714856568914
a31	0.0177480860939	0.10268199485	0.073779182697	0.0957968788253	0.237457498658	0.338797565258	0.133738772297
a16	0.0237812993646	0.141568433617	0.0649259245657	0.0760056736084	0.161359847886	0.368544081753	0.163814710766
a31	0.0345544207882	0.253932993206	0.0673368648552	0.0737691445361	0.126659742629	0.299334927251	0.144411922255
a46	0.0470795005961	0.328952244402	0.0726403566184	0.0761775881787	0.105202875543	0.239809422417	0.130138059418
a31	0.0630247561987	0.384732948134	0.0683264745395	0.0685598383929	0.088360611181	0.198786520806	0.128208884473
a46	0.0960840287329	0.438439426045	0.0658614588465	0.060984845131	0.0726850230603	0.155143406935	0.110801806158
a31	0.112659602911	0.440629018682	0.0607254412822	0.052709420377	0.0632314323534	0.143655805645	0.126389287386
a35	0.14327182097	0.442686446227	0.0554383887607	0.045340336459	0.0545280174511	0.132503431882	0.126231577795
a31	0.147923673657	0.426162545409	0.0532796955869	0.0407559888197	0.052214096817	0.141561417294	0.138102579265
a8	0.149165301219	0.431151065136	0.056067729529	0.0379867752732	0.050452969939	0.142069219098	0.133106926422
a31	0.144184752073	0.402550528379	0.0645181331763	0.0387364564244	0.0566494766463	0.156766423033	0.136594212141
</S>	0.111373073537	0.40940313419	0.0617067965881	0.0305169652122	0.0551831633232	0.178971236516	0.15284560107
