 	quando	divento	vecchia	vendo	la	casa	in	in	Trieste	e	vengo	qui	da	vivere	al	mare	</S>
a31	0.0295445352	0.01738352275	0.07429247	0.11243154	0.272408785	0.294807385	0.0545929	0.0304046815	0.01203125783	0.022518587	0.0169882175	0.034005003	0.010469468	0.0007611349115	0.0094640573375	0.001636775575	0.0062596861
a8	0.0325626140667	0.06717324425	0.14325364	0.113411276667	0.182855071333	0.1946386988	0.0297967018667	0.0217674545	0.0178348984967	0.0148907023333	0.0274172645	0.0266358463333	0.0257115703333	0.0316863835038	0.0164804144458	0.00623518395833	0.0476490174333
a31	0.0177504276889	0.0879826180833	0.172429216667	0.121775342222	0.130366256778	0.1177936534	0.0191030691556	0.0192601678333	0.0487819374989	0.0122554601111	0.0551161665	0.0237508004444	0.0427876884444	0.0477456078346	0.0139653859153	0.00794019965278	0.0611959602111
a41	0.013350427563	0.0526993370278	0.122787150889	0.0930890554073	0.109094376593	0.0911182343	0.0152968056385	0.0184727161444	0.0506657151663	0.0110964897037	0.0521041765	0.0162012241481	0.0500897544815	0.229818652612	0.0358913964051	0.0100890202176	0.0281353744704
a10	0.0122631991877	0.0314577840093	0.071307498963	0.0480186504691	0.044047347531	0.0324747320667	0.00612646366617	0.0114964589148	0.0445683917221	0.0114395062346	0.0311368888333	0.0146446163827	0.0618711548272	0.396785590871	0.106104868802	0.0414295614059	0.0348271961568
a20	0.00810345416257	0.0162651420031	0.048305176321	0.0281592454897	0.0250788338437	0.0141624774889	0.00410952608872	0.0216324399716	0.0422967604074	0.0210439360782	0.0245029586111	0.0265248901276	0.0888978982757	0.332651256957	0.168416556267	0.098019383802	0.0318300240523
a31	0.0111541178209	0.0174244456677	0.130411748774	0.0342402864966	0.0342030432812	0.030447647163	0.0287658776962	0.0543779409905	0.0331282319691	0.0282781716927	0.027413149537	0.0347913093759	0.0841590527586	0.211784990319	0.132925645422	0.093354580934	0.0131397381174
a37	0.0133350302736	0.0179881762226	0.162147360591	0.0383850371655	0.0618457127604	0.0464905823877	0.0386520705654	0.0718203603302	0.0276576686564	0.0301915028976	0.028255246179	0.0522470304586	0.0774489275862	0.146038878106	0.110751088474	0.066619059978	0.0101262561391
a31	0.0141971804245	0.0237221514075	0.229899917864	0.0421107373885	0.0685936659201	0.0505041237959	0.0402649381885	0.0575138987767	0.0198264335521	0.0262071919659	0.0236385687263	0.0546647668195	0.0705398548621	0.118507356369	0.0984494518247	0.0524152059927	0.0089445510797
a18	0.0183445974748	0.0281639884692	0.264909359288	0.0478529857962	0.0749233749734	0.0532059595986	0.0399514623962	0.0475190882589	0.0150232971507	0.0223308796553	0.0186568385754	0.0466995656065	0.0568103872874	0.0855669757897	0.116788609608	0.0532763146642	0.00997633039323
a31	0.0225014568249	0.0384690041564	0.276721646429	0.0702970952654	0.0825648363245	0.0497580998662	0.0310665991321	0.038182206753	0.00843529335023	0.0186991378851	0.0125444825251	0.0415700752022	0.0501702847625	0.0730880645966	0.122873355369	0.0526765518881	0.0103818006644
a46	0.033320876275	0.0484127647188	0.303411415476	0.0872994270885	0.0871912587748	0.0445920436221	0.0276099693774	0.028892525251	0.00598835480674	0.013631921295	0.0095042389417	0.0289930217341	0.0351438015875	0.0577050175322	0.126236850623	0.0499753809627	0.0120910697548
a20	0.0341844497583	0.0313854452396	0.171184358492	0.0605384020295	0.100622347925	0.050666699874	0.0142715581258	0.036350127417	0.00326603089225	0.024256026765	0.00913152308057	0.0561900172447	0.0578812015292	0.0794431138441	0.184531256874	0.0674292736542	0.0186681205849
a31	0.0366783389194	0.0598134554132	0.217460856164	0.0889413516765	0.0942690876417	0.0553198862913	0.0150800560419	0.0349226504723	0.00273058206408	0.025047555755	0.00968130636019	0.0571139824149	0.0525067815097	0.066354116948	0.125937059958	0.0451739877181	0.0129689476616
a20	0.0490079653065	0.0762473671377	0.249808908721	0.103726550559	0.0851974792139	0.0419053074304	0.012806408014	0.0273368104908	0.00156706247469	0.016848407085	0.0070117464534	0.0442241741383	0.0456298861699	0.0561005766493	0.128993944319	0.043417062406	0.0101703723539
a29	0.0505556134355	0.0479344497126	0.144217417574	0.0644495415197	0.080340829738	0.0531929964768	0.0109502460047	0.0349184358303	0.00144269097823	0.034803505695	0.0109090858178	0.0751894880461	0.0696755367233	0.0696404568831	0.179446624773	0.0569834031353	0.015349685118
a8	0.0329142499452	0.0278043935042	0.0733257971913	0.0365669416066	0.0548146589127	0.0484569028256	0.00978051266823	0.0387385992768	0.00452322502608	0.0448287618983	0.0238871552726	0.0924016093487	0.0948791722411	0.111767796961	0.203114794924	0.0725729100451	0.0296225050393
a20	0.0216194751151	0.0185888637681	0.0484430690638	0.0307645529689	0.0779575486376	0.0529295536085	0.0102946372227	0.0476690050923	0.00687741670869	0.0421035756328	0.0260057104242	0.0917853081162	0.103516757414	0.128188148987	0.191227851641	0.072439179015	0.0295893309131
