 	sono	stato	sempre	poveretti	</S>
a20	0.012701781345	0.0085084432	0.2164718499	0.40904981	0.353268155
a4	0.108101197782	0.0799607637333	0.222482656967	0.292763213333	0.296692198333
a31	0.135877885094	0.200373517911	0.133659002656	0.182945064444	0.347144556111
a38	0.122761030865	0.26504960597	0.159686017552	0.164991811481	0.287511532037
a31	0.125139286955	0.197946535323	0.167522269184	0.32793607716	0.181455811346
a7	0.0858203523183	0.097912196441	0.166415563061	0.448453612387	0.201398261115
a31	0.0830831424394	0.0618770444803	0.17132116102	0.458119544129	0.225599088705
a21	0.0669077258131	0.0381315364934	0.17689672034	0.44791574471	0.270148251235
a20	0.0714197486044	0.0253121131645	0.22876932678	0.32224095157	0.352257843745
a8	0.0675527275348	0.0176938003882	0.26274072226	0.315417270523	0.336595484582
a31	0.109324553845	0.112729942463	0.20616533742	0.268842396841	0.302937761527
a33	0.207381961282	0.160783533154	0.167804322473	0.195024478947	0.269005690509
a20	0.291947007094	0.153374690051	0.140212350824	0.153446532982	0.261019426836
a31	0.331235925698	0.240540876684	0.0925130202747	0.113142362327	0.222567812279
a7	0.353187785233	0.300004472228	0.0780122834249	0.086836238109	0.181959197426
a31	0.307986501744	0.385955837409	0.076754944475	0.0634297253697	0.165872965809
a11	0.279239333915	0.432694205803	0.094680574825	0.0531444174566	0.140241441936
a31	0.263548167972	0.459922561934	0.110465343275	0.0490327824855	0.117031103979
a13	0.243354019324	0.474325647311	0.126241422758	0.0477869918285	0.10829187466
a18	0.317486839775	0.41535353577	0.141574874253	0.0440891306095	0.0814955648867
a31	0.297105406592	0.40876198859	0.154237551418	0.0525729918698	0.0873220269622
</S>	0.240730893296	0.424218569295	0.170438700709	0.0626111534349	0.102000676481
