 	se	aveva	vestito	la	figlia	l	avessi	portato	alla	chiesa	</S>
a23	0.088351	0.0925485	0.0940634	0.0939593	0.0938248	0.0936626	0.089068	0.0926703	0.0910719	0.0876162	0.0831641
a31	0.0285133	0.0533003	0.116498	0.119792	0.118269	0.1168	0.117937	0.122414	0.117706	0.0721366	0.0166339
a20	0.0500353	0.0878314	0.150684	0.136978	0.106857	0.09029	0.0895945	0.142223	0.113461	0.0247414	0.00730353
a13	0.107065	0.121162	0.128319	0.0921345	0.0589334	0.0547349	0.078529	0.128152	0.120748	0.0830507	0.0271723
a37	0.106467	0.11536	0.118842	0.08447	0.0539287	0.050945	0.0761668	0.119377	0.114499	0.100989	0.0589556
a31	0.107896	0.118989	0.123347	0.0829182	0.0520946	0.0488245	0.0719879	0.12381	0.117408	0.0994625	0.0532622
a43	0.121785	0.137841	0.143771	0.0870318	0.0537497	0.0460423	0.054254	0.140495	0.12328	0.0684257	0.0233238
a31	0.100557	0.105793	0.108692	0.0891735	0.0628366	0.0604633	0.0854036	0.108749	0.104893	0.0950541	0.0783853
a24	0.120265	0.128699	0.13282	0.110268	0.0778439	0.0660474	0.065362	0.123924	0.106693	0.04966	0.0184188
a7	0.109597	0.121342	0.127781	0.101802	0.0694065	0.0635736	0.0823525	0.124372	0.113585	0.0639902	0.022198
a31	0.108302	0.117757	0.121276	0.0830871	0.0524863	0.0495913	0.0741289	0.121344	0.114868	0.0971793	0.0599795
a13	0.121324	0.130707	0.134344	0.100268	0.0650127	0.0568978	0.0656239	0.127836	0.112771	0.0601005	0.0251148
a28	0.104382	0.110387	0.113504	0.0917346	0.0636761	0.0607133	0.0842591	0.112942	0.107785	0.0900832	0.0605338
a20	0.103526	0.110725	0.113599	0.0851691	0.0558625	0.0534179	0.0799073	0.113663	0.109098	0.098549	0.0764839
a31	0.103548	0.111757	0.115066	0.0843835	0.0547243	0.0523122	0.0787568	0.11512	0.109963	0.0987383	0.0756308
a37	0.117258	0.127348	0.131016	0.0969079	0.0627081	0.0564807	0.0696359	0.126011	0.113526	0.0676468	0.0314623
a1	0.105969	0.114269	0.118796	0.0942537	0.0644689	0.0611309	0.0837768	0.117292	0.109489	0.0818562	0.0486988
a28	0.0978049	0.106898	0.113099	0.0884592	0.0601694	0.0580145	0.0834428	0.112622	0.104356	0.0874662	0.0876691
a1	0.100026	0.110003	0.11424	0.0822255	0.0529836	0.0510316	0.0784928	0.114319	0.108273	0.0985594	0.0898461
a28	0.0986023	0.110297	0.116221	0.0807219	0.0514751	0.049732	0.0772908	0.116397	0.108219	0.0955535	0.0954911
a31	0.0993256	0.112265	0.11765	0.078661	0.0496192	0.0478677	0.0747493	0.11788	0.110243	0.0997524	0.091987
a20	0.103969	0.119128	0.124683	0.0933284	0.0611249	0.0573906	0.0762467	0.121146	0.111447	0.0819602	0.0495763
a31	0.0939562	0.106647	0.116146	0.0977014	0.072053	0.0695764	0.088175	0.114093	0.101949	0.074547	0.0651562
a20	0.0986696	0.125928	0.139313	0.115753	0.0836049	0.0754069	0.0664134	0.123304	0.0991324	0.0452971	0.0271773
a31	0.0808634	0.103599	0.132992	0.115279	0.0942217	0.0903919	0.0858801	0.124994	0.0910711	0.044018	0.0366894
a8	0.0752699	0.128303	0.172519	0.153178	0.12941	0.105081	0.0341123	0.114158	0.0620762	0.0147288	0.0111643
</S>	0.0506104	0.0711368	0.17442	0.134254	0.13738	0.12407	0.0590621	0.13268	0.057603	0.0311366	0.0276476
