 	mi	sono	vestito	</S>
a39	0.0194448	0.0565796	0.493229	0.430746
a11	0.180948	0.198123	0.290222	0.330707
a13	0.0301957	0.0736667	0.426312	0.469825
a18	0.00778898	0.0300423	0.544888	0.417281
a31	0.00855183	0.0360005	0.529013	0.426435
a37	0.00238605	0.006651	0.615689	0.375274
a15	0.00673075	0.034258	0.539229	0.419782
a31	0.0330653	0.112561	0.437636	0.416737
a46	0.00111366	0.00363143	0.574239	0.421016
a31	0.0223474	0.0535856	0.472567	0.4515
a20	0.00116725	0.00202646	0.481542	0.515264
a31	0.00135195	0.00378603	0.540028	0.454834
</S>	0.00158103	0.00227082	0.452903	0.543246
