 	se	aveva	visto	le	nuvole	le	nuvole	avrebbe	capito	che	stava	per	piovere	</S>
a46	0.0604415	0.0691534	0.0740994	0.0746323	0.0752735	0.0752941	0.0753756	0.0752773	0.0747997	0.0728369	0.0692776	0.065879	0.0679485	0.0697112
a31	0.0138382	0.0266482	0.0941453	0.107003	0.120186	0.114977	0.118454	0.115736	0.103633	0.0722402	0.0442598	0.0306069	0.0245767	0.0136954
a27	0.0277262	0.0602991	0.12469	0.130242	0.134874	0.129872	0.124155	0.104097	0.0690758	0.0409455	0.0240479	0.0150277	0.00768729	0.00726089
a17	0.0771209	0.0854956	0.089393	0.0893248	0.0895938	0.0890847	0.0889339	0.0865291	0.0826802	0.0656496	0.0493789	0.0382369	0.0317377	0.0368409
a31	0.0751435	0.0800974	0.0823629	0.0822885	0.0824776	0.0821599	0.0821252	0.0806893	0.0789392	0.0689056	0.0581382	0.0494017	0.0437969	0.0534742
a24	0.0892057	0.103304	0.109377	0.10902	0.10917	0.107035	0.103953	0.0911821	0.0671394	0.0363735	0.0258916	0.0212439	0.0107726	0.0163326
a29	0.0796937	0.0971139	0.106033	0.106042	0.10644	0.10497	0.10289	0.093766	0.0733455	0.0423909	0.0296887	0.023861	0.0151923	0.0185721
a38	0.081951	0.0896206	0.0928481	0.0926348	0.0929663	0.0921644	0.0918366	0.0878284	0.0815042	0.0577733	0.041357	0.0330352	0.0262349	0.0382453
a31	0.0733676	0.0766861	0.0784046	0.0782559	0.0784908	0.0781991	0.0782544	0.0770121	0.076355	0.0697984	0.0640067	0.0593331	0.0477399	0.0640963
a37	0.0920492	0.100456	0.103942	0.103724	0.103783	0.102323	0.0998353	0.0901225	0.0686563	0.0396006	0.0291796	0.0252257	0.0175335	0.023569
a28	0.0838579	0.0916425	0.0951084	0.0949171	0.0952498	0.0944315	0.0938636	0.089335	0.0803605	0.053925	0.0377689	0.0304732	0.0246569	0.0344097
a39	0.0798738	0.0869094	0.0899775	0.0898151	0.0901395	0.0894992	0.0892797	0.086107	0.0812087	0.0609929	0.0452293	0.0364843	0.0309053	0.0435783
a18	0.0740611	0.0777925	0.0796405	0.0795186	0.0797547	0.0794709	0.0794959	0.0782348	0.0771721	0.0694519	0.0616676	0.055224	0.0472168	0.0612987
a46	0.0755062	0.0796223	0.0814356	0.0813421	0.0815535	0.0812295	0.0812031	0.0797099	0.0780656	0.0681776	0.058169	0.0503938	0.0449095	0.0586825
