 	mi	sono	vestito	</S>
a39	0.928687435	0.001692485468	0.063891565	0.0057285116
a11	0.855144951667	0.0108139254013	0.121711631667	0.0123294750333
a13	0.630354867222	0.0200274928004	0.259971537222	0.0896460893444
a18	0.348762359074	0.0277360239335	0.397268042407	0.226233563115
a31	0.174069767691	0.0423979723112	0.444509600802	0.339022654372
a37	0.293990433897	0.0540757564371	0.348335133601	0.303598678124
a15	0.437574394632	0.071098825479	0.195634527867	0.295692269375
a31	0.523659848211	0.084255338493	0.121583639289	0.270501214458
a46	0.545342989404	0.163258522831	0.0907987914297	0.200599729486
a31	0.387823119801	0.240583724277	0.135666235477	0.235926923162
a20	0.296672883267	0.244946398092	0.193353841826	0.265026864387
a31	0.260441494422	0.249095922697	0.215148937275	0.275313664796
</S>	0.254667907211	0.248779186348	0.233850668638	0.262702282398
