 	ho	scritto	una	lettera	al	mio	fratello	</S>
a10	0.450075396	0.00083244949	0.0529002515	0.01005760805	0.069938787	0.117238921	0.00453416525	0.294422412
a31	0.192260139333	0.00034844766	0.028521128	0.00389599015	0.0902060476667	0.224548710333	0.0141287014167	0.446090820667
a37	0.111882609778	0.00102095275667	0.0108444278667	0.00372706081667	0.118133077889	0.259924106778	0.153509642139	0.340958110222
a31	0.086392891926	0.00176716958556	0.00508515072223	0.00572490327222	0.102290579963	0.177678930593	0.390854470713	0.230205903407
a20	0.058577666642	0.0117176066285	0.0122473943074	0.0364563700907	0.110536157321	0.109699725198	0.491243923571	0.169521153469
a31	0.060492016214	0.0269718378762	0.0189947181025	0.0839622400302	0.163129035774	0.104958935066	0.463848907857	0.0776423291563
a20	0.0559059036713	0.0349251432921	0.0186120613675	0.105100213343	0.168711825258	0.142933495022	0.423187555952	0.0506238167188
a13	0.0206388478238	0.0377001450974	0.0224841894558	0.107135917781	0.173058561753	0.202134751674	0.387119505317	0.0497280785729
a20	0.00906082070793	0.0477053150325	0.0280736954853	0.11909794926	0.179965547251	0.220792280558	0.341334408439	0.0539699935243
a24	0.0144007210026	0.0536269916775	0.0328019734951	0.12233924642	0.18230144575	0.225851246853	0.307884526146	0.0607938515081
a31	0.0311619913342	0.0461829685592	0.032873112165	0.09189541214	0.170950531917	0.255753262284	0.283095968715	0.0880867385027
a0	0.0938120071114	0.0629355641864	0.066997410055	0.06055867738	0.128496637306	0.212369404095	0.223138909572	0.151691346168
a35	0.211823565704	0.0691397013955	0.101443056685	0.0476485381267	0.083275829102	0.132123176365	0.170748269857	0.183797828723
a0	0.287367381901	0.0450678624652	0.115339018895	0.0418345350422	0.071043703034	0.118750153788	0.170214959952	0.150382402908
a31	0.3553039673	0.0479038608217	0.111817302965	0.0479130783474	0.0729473310113	0.107365441263	0.147399686651	0.109349374303
a11	0.3704817891	0.0650966516072	0.0941164309883	0.0508198117825	0.0655219790038	0.082791034421	0.105214742217	0.165957608101
a20	0.3892577497	0.0623021738691	0.108279240329	0.0453734929275	0.0569148973346	0.068478658807	0.087562500739	0.181831319367
a41	0.477843983233	0.0493146512897	0.124727463443	0.0449609843092	0.0593378147782	0.0598688546023	0.0705087435797	0.113437498456
a10	0.518613907744	0.0354197460966	0.106637062814	0.0361237451031	0.0739174435927	0.0664690332008	0.0605608045266	0.102258218152
</S>	0.531140673872	0.0274155965483	0.085001953907	0.0298386280515	0.0874411997963	0.0775334066004	0.0577313622633	0.103897134076
