 	non	ho	cosa	è	da	mangiare	</S>
a31	0.186828349	0.11887714928	0.138586119052	0.005857201834	0.03012590334	0.271141735074	0.248583548234
a8	0.01679348604	0.0525642396	0.2603096774	0.0041828902472	0.015386384923	0.60435452964	0.04640883142
a31	0.146225823514	0.05445712064	0.2045444056	0.0507202987036	0.144875953871	0.3959198736	0.003256570046
a37	0.152290666364	0.166969833526	0.0906817716	0.154781575205	0.083425537854	0.341295992518	0.0105546415
a20	0.0709600703042	0.05200608536	0.2144227472	0.156776712968	0.047312037688	0.4432357899	0.01528654724
a31	0.175340189737	0.13918590584	0.11069468974	0.143910891076	0.121609047681	0.2735449236	0.03571433486
a17	0.09258782718	0.0495649534	0.1554509012	0.124245037728	0.157347555728	0.40959641098	0.01120727819
a20	0.27113487	0.124723129	0.0814605424	0.119126906068	0.2044651661	0.150057088	0.049032306874
a31	0.1632300834	0.1058208708	0.091234838	0.08622426494	0.2185682342	0.1884550406	0.1464666666
a39	0.1159714626	0.1099942932	0.1093996486	0.1008428535	0.1130320627	0.28112147	0.169638196
a35	0.2562597	0.123053944	0.113898496	0.0815398992	0.1571031502	0.1304702454	0.1376745466
a39	0.246007742	0.159830946	0.118682022	0.1034355792	0.132666653	0.1130034806	0.126373547
a46	0.217812268	0.151526244	0.118940449	0.0876346276	0.1276179432	0.1262125492	0.17025596
a35	0.220996252	0.1487242404	0.115542468	0.111631532	0.145742968	0.1312038786	0.1261586704
a31	0.226043672	0.1391308896	0.10593076	0.1047272224	0.1534965208	0.1627372482	0.1079336672
</S>	0.201446658	0.179329208	0.14307807	0.1063835324	0.098487266	0.120993339	0.1502819332
