 	vado	cercando	un	forno	che	fa	rustici	</S>
a29	0.29887474872	0.00891482454	0.01319280983	0.291122866314	0.03389605294	0.0385431324	0.1570780174	0.158377582334
a31	0.0107120874912	0.0193191085	0.06431461492	0.1372063742	0.0973653054	0.3158721904	0.3027042354	0.0525060644
a8	0.001680514166	0.0145346278842	0.067747356068	0.0794901396	0.045128384	0.378559734	0.39846530624	0.01439394236
a31	0.0017079239908	0.0181449664204	0.07541738334	0.2223948538	0.1353014282	0.16782476684	0.34240806296	0.03680060632
a23	0.0157123039022	0.0113478972024	0.07426813224	0.1727640176	0.0532041038	0.2427948308	0.416657069666	0.01325162448
a31	0.004569088274	0.0285189785978	0.10893155584	0.182647148	0.1185420716	0.1646257014	0.339521024	0.05264441649
a10	0.0556894472722	0.137286172145	0.1246153308	0.2372043366	0.1266785814	0.1811056466	0.1203646264	0.017055815668
a31	0.004003600326	0.0625931531989	0.1352020642	0.1132428388	0.096984377	0.2783380174	0.27381592232	0.03582002458
a24	0.028235464144	0.16764098046	0.094473516	0.17799378	0.105613074	0.2735848288	0.1313877716	0.0210705811
a31	0.007552473688	0.064790811494	0.09226428616	0.0601012636	0.0881681994	0.353602446	0.2351373382	0.0983831736
a18	0.03326260952	0.18255189764	0.1696440512	0.1167594536	0.10073599734	0.2140048944	0.1557560636	0.027285037
a31	0.01197703194	0.0585833261608	0.03130389948	0.0262758026	0.0622813416	0.41950021	0.322203392	0.0678750326
a8	0.0407699969	0.09138998702	0.17194092072	0.0826409176	0.09226210154	0.2316246328	0.2403824638	0.048988981
a31	0.02812491288	0.02503123674	0.0534320912	0.045748836	0.08112466	0.3475669	0.373145866	0.04582545208
a29	0.02392424384	0.0649674482	0.14071929344	0.0598041858	0.0467389882	0.2013033236	0.3855645324	0.0769780228
a31	0.0324411656	0.0792887178	0.0253054642	0.0423208676	0.0593053846	0.268199134	0.383419992	0.1097192728
a21	0.041020078	0.096708578	0.0899027234	0.1102920964	0.076945685	0.222892774	0.3000028466	0.0622351815
a31	0.0735358768	0.09727679	0.0734948142	0.099386188	0.0703175326	0.1470474528	0.32261983	0.1163214958
a38	0.050993632	0.09201689	0.085845821	0.1539916214	0.0783542076	0.188225972	0.2735138572	0.0770580294
a10	0.066039052	0.1294596204	0.092277825	0.1354035207	0.0731454264	0.1154307534	0.27030148	0.1179423206
a39	0.0581454818	0.1151172798	0.0761636172	0.1471767954	0.0864379294	0.157589774	0.1973284624	0.162040644
a8	0.0734212876	0.10117239	0.0678447026	0.1358818674	0.0853702808	0.163674181	0.279983464	0.092651796
a31	0.0560407028	0.0805571132	0.0496063892	0.1128915406	0.0988744206	0.2155701332	0.304684508	0.0817752112
a20	0.07074087388	0.0812292358	0.0602418608	0.2055533372	0.1167293048	0.1710094752	0.161173888	0.1333219728
a31	0.1085718688	0.123029355	0.0789834336	0.120338018	0.0750740888	0.1255882872	0.24660616	0.121808788
a20	0.0675847686	0.08335200164	0.0621102452	0.1030769426	0.107357907	0.1885998	0.189360732	0.198557562
a3	0.110576905	0.161173798	0.123515894	0.149855344	0.0736695036	0.104454768	0.186319494	0.0904342976
a41	0.1027303894	0.146898061	0.1061444146	0.113975269	0.082064927	0.1199646364	0.22826468	0.099957618
a37	0.114131824	0.153922344	0.1084701408	0.1314385706	0.075644898	0.1226379986	0.203316018	0.0904382328
a31	0.0775625616	0.099739493	0.063297286	0.1418556562	0.0791920802	0.163989218	0.282644224	0.0917194768
a8	0.074567469	0.0958670152	0.0543840447	0.0990357046	0.125481538	0.2413114212	0.158721072	0.150631727
a31	0.1085590004	0.147030214	0.1011472482	0.133951352	0.0782226394	0.1155500708	0.227391096	0.08814838
a23	0.0910367068	0.1022111244	0.0674619044	0.0805862834	0.1035640414	0.220763024	0.16876176	0.165615104
a31	0.120487584	0.1677338712	0.124978068	0.1199956692	0.078650936	0.1063512912	0.19244735	0.0893552354
a8	0.0925924572	0.097253809	0.0710535358	0.0816059692	0.10448728	0.199623307	0.1620687652	0.191314908
a31	0.121062792	0.1333815164	0.1006716028	0.1539000702	0.0874391468	0.119162098	0.196118774	0.0882640138
a24	0.09607672134	0.09474722482	0.0770834758	0.0928265566	0.0984137152	0.178357114	0.1595089908	0.202986214
a31	0.099893048	0.1475142228	0.1182715718	0.1517157744	0.085378586	0.109235715	0.201483164	0.086507896
a24	0.07831414672	0.09428521454	0.0758544112	0.0975979734	0.0982490904	0.18236938	0.1743096604	0.1990200856
a46	0.085908194	0.1390949906	0.11895476	0.1841771148	0.0853976918	0.112261873	0.191093594	0.083111756
a24	0.132786908	0.146281809	0.1131370134	0.1286547658	0.093279289	0.1299476756	0.163743566	0.092168979
a18	0.1039746488	0.149204249	0.1015320144	0.1090014954	0.0861453772	0.1161603546	0.228822518	0.105159332
a21	0.105116936	0.14674437	0.1030332132	0.1229836626	0.0904156324	0.1401008532	0.191367006	0.1002382876
a28	0.116322548	0.159231154	0.114076854	0.1276120878	0.0832390236	0.1293143672	0.177430332	0.0927736212
a20	0.087489794	0.1195465558	0.083232326	0.1335867136	0.0837639672	0.156694784	0.241546232	0.094139628
a31	0.1020473188	0.122644448	0.0833593948	0.1883800036	0.0770131398	0.1326716998	0.21124336	0.082640627
a46	0.07861706028	0.091609572	0.0604659902	0.0802894034	0.1165181652	0.2451992048	0.178017634	0.149282989
</S>	0.120255068	0.1652556012	0.1261250236	0.1027116462	0.0849113126	0.1141192986	0.1925308	0.09409127
