 	possono	essere	ancora	svegli	</S>
a31	0.268760785897	0.06743209114	0.1077133737	0.4738587316	0.0822350076
a20	0.260775874424	0.0566652440873	0.1607147293	0.41445086956	0.107393248727
a23	0.25848265958	0.0260712784263	0.156099966433	0.36813385386	0.191212212516
a31	0.282992853773	0.0309427363949	0.186371730571	0.330704139032	0.168988517559
a20	0.390412910038	0.0457240592745	0.194556032484	0.268886058136	0.100420925473
a11	0.504735902413	0.0555619105335	0.140519301561	0.194119581805	0.105063311504
a20	0.499009088804	0.0660540027932	0.125837162387	0.179477577268	0.129622175701
a31	0.434399035335	0.0698196280511	0.144500991729	0.206614130089	0.144666215434
a37	0.381110454178	0.104216407384	0.15930359831	0.199617673896	0.155751866945
a31	0.356932522726	0.137068570408	0.16714483717	0.170765937165	0.168088136782
a11	0.326995232242	0.143493253603	0.189409631723	0.173903952388	0.166197937594
a46	0.302369858747	0.156920590334	0.206561197241	0.180221521463	0.153926834865
a31	0.265280271582	0.164914098111	0.20674509908	0.194264745821	0.168795773955
a46	0.256538427861	0.17131952937	0.19751530436	0.200821056607	0.173805664652
a31	0.245258589287	0.18669402179	0.203304059453	0.199263782869	0.165479549951
a20	0.226940945762	0.202982015263	0.202048861151	0.209487791623	0.158540401584
a28	0.240451966587	0.194284607088	0.194039339717	0.219468660808	0.151755431395
</S>	0.247323232294	0.184099966544	0.197385751858	0.214547042804	0.156644002198
