 	io	la	casa	la	posso	pulire	ogni	sabato	e	mia	mamma	la	puliva	ogni	giorno	perché	lo	poteva	aveva	la	possibilità	di	pagarlo	ogni	giorno	</S>
a20	0.221785734078	0.0197873832956	0.0031208545226	0.0108204514195	0.0160448374223	0.022470804288	0.007241559034	0.00533729637827	0.0225095390494	0.0126382914	0.03664477951	0.00961910185032	0.037579622227	0.012021957047	0.0060336876542	0.0662658254	0.08799325657	0.038549051342	0.0066987386089	0.0528903635036	0.157452390655	0.053539680315	0.0499676905004	0.023121551794	0.005149890625	0.014715656105
a31	0.13217078601	0.0114934053067	0.00336224980871	0.00734304952022	0.0157627812599	0.0247243337347	0.00541101067467	0.00550530936854	0.0129290747227	0.0112057834133	0.0392887645567	0.00940882277632	0.0409854226639	0.0274917005687	0.0132341078969	0.0611618693333	0.09584686459	0.0450472158635	0.00739034286957	0.0557288825065	0.114344801328	0.084161353867	0.0498336920935	0.08456832431	0.0257590472313	0.0158410017157
a1	0.0663383475811	0.0106610750704	0.00348488645055	0.00486092698591	0.00708111835923	0.0229602185449	0.00436447105222	0.00403381883958	0.0289450830016	0.0105148114111	0.0620854511456	0.00892208985851	0.0364615770229	0.0344124652912	0.0230550254283	0.0502841905778	0.109390733817	0.051187271822	0.00893358637312	0.0359925260166	0.0931871356913	0.122945668954	0.0528835038468	0.0952795739107	0.0360195052014	0.0157149500479
a35	0.0479853028672	0.0110309946333	0.00335257001654	0.00226706916879	0.00338256611641	0.0157597389416	0.00352070701574	0.00322040255213	0.0475388989625	0.0098884442437	0.0998338655752	0.00888869152124	0.0282001765915	0.0338520153368	0.0414504596894	0.0497209488259	0.140147936959	0.074671846828	0.0125368356641	0.0241355717704	0.0839484139744	0.127273309827	0.0262334817185	0.0387121689638	0.0242430231071	0.0382045544666
a31	0.0231596315692	0.00504658778901	0.00303334437194	0.00177467014957	0.00245517998369	0.0191800188072	0.00677843173758	0.00592066374324	0.0699189727002	0.0177734195546	0.0910138015584	0.0270223098015	0.0280355669848	0.050905438396	0.0641463594431	0.0422273720086	0.15829935832	0.0846379170802	0.0154785474143	0.0277312372735	0.0742481269155	0.0813166597115	0.0149670182324	0.0192173549495	0.0190066374357	0.0467053706349
a7	0.0149827825085	0.00402524371292	0.00314645276491	0.00163414218744	0.00225960173084	0.0190909256391	0.00954556840319	0.00712368164675	0.0717117462381	0.0219540074115	0.106748379853	0.0331909444629	0.0299634578114	0.059193682102	0.0664528889597	0.0442140330362	0.164432569173	0.0952311736476	0.0168389149047	0.0360893415992	0.0592804439205	0.0511006729043	0.0116449061584	0.0196047597966	0.0203604313404	0.030179245751
a31	0.0149530221396	0.00399854697937	0.0164991916547	0.00235308544511	0.00203599074547	0.0396326861497	0.0111701838044	0.00743308105565	0.0647746001594	0.0214189156638	0.110653315151	0.0245227273556	0.0336522856322	0.0618645578453	0.0551042723719	0.0445525800387	0.147386901258	0.099793180799	0.0152505671973	0.0373297321023	0.0816176781482	0.0381893471948	0.00840044403233	0.0207274915586	0.0181593728867	0.0185262344637
a24	0.0177176461715	0.00929687847286	0.0207027962456	0.00265400273567	0.00199237426758	0.0465459906534	0.0124984830961	0.00739662226102	0.0565101794198	0.0205765796346	0.090911451717	0.0240572063878	0.0704372307861	0.0702177870178	0.0422752643226	0.0496874823996	0.136398957286	0.0869382286928	0.0131091332118	0.0340073014653	0.103359268377	0.0232611841976	0.00714296218231	0.0208456161821	0.0173864302045	0.0140729408772
a46	0.0266727912515	0.0132891542876	0.0106098525865	0.00178089431349	0.00120993053867	0.0198828449446	0.00827612281337	0.00417879593501	0.0334459653446	0.0133464079115	0.0818544879723	0.0185321435993	0.151562859342	0.0657986928333	0.0358197267262	0.0453304149599	0.111765908562	0.0806871803869	0.0125389727557	0.0308417067418	0.106722921806	0.0217460936525	0.0068597653941	0.0373587222192	0.0406787386991	0.0192089162797
a24	0.0279573922032	0.0090128013452	0.00706856385417	0.0017445302681	0.00192778506296	0.0156863919909	0.00823767663379	0.00422182800767	0.0253689588662	0.0097968888605	0.0543096804574	0.0163145250578	0.183823606461	0.0495374767278	0.0269436716754	0.0512533385733	0.0879500872807	0.104940368906	0.0156521694826	0.0358584283206	0.134288089995	0.0219515674355	0.00691799958203	0.0377051356053	0.043479193841	0.0180518606339
