 	se	avessi	visto	le	nuvole	avrei	capito	che	pioverà	</S>
a23	0.147610545807	0.125530117252	0.332647645115	0.0286440055286	0.0387102604	0.0162019657571	0.04629640383	0.04384463162	0.101684826403	0.11882960283
a31	0.110534753696	0.0911692853573	0.256373956705	0.0557575225095	0.0926736010667	0.0185613692709	0.05750091625	0.05115715042	0.209071250732	0.05720021131
a13	0.077380818652	0.0956625246924	0.197769594502	0.0945072892365	0.111677977529	0.0129611051254	0.04219233719	0.0332750411933	0.300992477549	0.0335808492167
a37	0.0777918016467	0.111361225817	0.171835873567	0.102084865772	0.0896308899497	0.00752444995247	0.03804617753	0.0217814945511	0.334154222787	0.0457890055416
a31	0.0491861035582	0.144244762559	0.168587002789	0.0842541598173	0.0830126808499	0.00697588636882	0.05045291641	0.0154635358004	0.358524348689	0.0392985964099
a39	0.0484074806834	0.168144138353	0.165637896396	0.0824231466058	0.0590042730833	0.00897178932094	0.0524042988633	0.0266523463701	0.364941035476	0.023413589886
a20	0.0725517728185	0.139993482131	0.130919016932	0.0933073411353	0.0647743676944	0.013529142067	0.0381173641144	0.0414363644567	0.363456095612	0.041915057018
a31	0.0789021176062	0.117685438137	0.138887800831	0.0914553494451	0.0711127167648	0.021244172689	0.0387402013048	0.0314535990456	0.369884063871	0.040634518102
a0	0.0695421448021	0.0960976410057	0.131891644677	0.094242957815	0.0812990425216	0.0370083363763	0.0470266091683	0.0225015506419	0.363310660717	0.0570793790233
a31	0.0789367321874	0.0782903239272	0.121193207132	0.101017729832	0.0944752579739	0.0530560664321	0.0445172884561	0.019298910314	0.346032899559	0.0631815594744
a20	0.0819371443825	0.0756200319677	0.131265148351	0.110480610171	0.0989856351913	0.0675565240974	0.0476957434854	0.0167410830047	0.327362473613	0.0423555895115
a24	0.0653890320608	0.0529589381092	0.0953544121303	0.0950753785903	0.140021441244	0.135747852826	0.0605947610285	0.0474397476882	0.231783161204	0.0756352671505
a31	0.0629937312235	0.0376620450231	0.0837254198701	0.0657870861468	0.211399464195	0.194380516072	0.0603490197428	0.0569035124161	0.149784414668	0.0770147802288
a10	0.0573944014778	0.0417971907544	0.106232681423	0.0678014171989	0.240646864065	0.190289696214	0.0563218845809	0.0403059110387	0.158644440945	0.0405655072216
a27	0.0541390471593	0.0435883794648	0.103907446981	0.0715514044663	0.234569598022	0.199412197638	0.0681842096603	0.0598390572796	0.139669769747	0.0251388865605
a37	0.0508472365198	0.0382471481416	0.080289727527	0.0663502364221	0.260824167074	0.228702279546	0.0810476070201	0.0738351476932	0.099745448805	0.0201110017202
a31	0.0497588703886	0.0373009302339	0.0885062564423	0.0653371775607	0.250216989425	0.225247218249	0.0905224524734	0.0783165461644	0.0961151221817	0.0186784461534
a18	0.0817299263849	0.0415074361446	0.104675327014	0.0645293415402	0.230147482475	0.198367820016	0.0900875116245	0.0774666644548	0.0883307074472	0.0231577955578
a11	0.104716458768	0.0421625837815	0.090339683138	0.0586443350467	0.241700704158	0.214242663472	0.0804813754748	0.0662968482183	0.0739245749091	0.0274907825459
a31	0.101401479283	0.0494282412072	0.0973893927793	0.0603807704822	0.191548826853	0.197276564757	0.0849110979583	0.107546059006	0.0767584466764	0.0333591126153
a28	0.108465109388	0.0626191487491	0.10822963306	0.0593478809607	0.164886539751	0.160712628319	0.0877786198528	0.123789702135	0.0828600655588	0.0413106624718
a31	0.105295462516	0.0701748935164	0.111258572687	0.0598066997202	0.15539292525	0.148465613773	0.0929405743509	0.0985893883117	0.0959698658529	0.0621059962906
a20	0.104050212759	0.0767241742388	0.116788765229	0.0715426802401	0.130634977283	0.131930249258	0.10068739785	0.0961577331706	0.0962161098843	0.0752677022969
a3	0.11384460192	0.0800722541463	0.11313679241	0.0780336886134	0.136083485294	0.132525174419	0.09645273015	0.0891130677902	0.0936983574948	0.0670398539656
a28	0.113731359307	0.0774428147154	0.110905647137	0.0699937096045	0.132892966231	0.162254711473	0.0902341915167	0.0781736147967	0.100090436032	0.0642805366552
a20	0.105207462769	0.0733420972385	0.107911507512	0.0570364976682	0.12647550521	0.207382638824	0.0807920074389	0.0653239007989	0.121456711944	0.0550716742184
a31	0.0988353535897	0.0606288818128	0.0961461742373	0.0572713866894	0.103317529737	0.183996839941	0.0930704302796	0.108442282333	0.131119308181	0.0671718406061
a46	0.114600284197	0.0643710273376	0.0904736967458	0.0666951884965	0.0950216722457	0.147297015314	0.10176452716	0.129463499978	0.106981697394	0.0833314117354
a23	0.128986617066	0.0811527989792	0.0969857306486	0.0765671457655	0.103707593482	0.148260518438	0.0978694148533	0.0975565762593	0.0953091594647	0.0736044479118
</S>	0.126964804533	0.0843351902896	0.100106956324	0.0820387388827	0.100520481341	0.145863250219	0.102421799527	0.0919350811297	0.0965954912324	0.0692181996559
