 	lo	posso	finire	di	scrivere	</S>
a20	0.673435162	0.0365894841059	0.0793958104964	0.131232807146	0.00747855325665	0.071868208096
a31	0.631738641707	0.136901844327	0.0783392779845	0.10269478673	0.00349051392548	0.0468349432823
a39	0.661544232002	0.22157178461	0.030264952809	0.0481553769933	0.0201263110902	0.018337334053
a24	0.636077112301	0.206324943639	0.0118740985185	0.0981276883884	0.0345859356159	0.013010229625
a18	0.587220747434	0.197922924315	0.0087637338893	0.144462254219	0.0341493451249	0.0274810117857
a24	0.489989941545	0.164048229358	0.0398023661898	0.17389771378	0.0616661784723	0.0705955873486
a31	0.374290431382	0.0977888696958	0.0583038039299	0.185623299127	0.128681314357	0.155312289383
a20	0.286818857794	0.0501907168484	0.0763085925766	0.142289683642	0.183589354519	0.260802793128
a31	0.187542360331	0.0571462550195	0.103857499459	0.129696114347	0.213779263106	0.307978513376
a1	0.170259342777	0.0802327253965	0.13312281662	0.126436862516	0.214182240102	0.275766022459
a31	0.157164231726	0.0933640813322	0.14793567474	0.143299545505	0.203392772434	0.254843705486
</S>	0.142646218063	0.100291698366	0.13132634517	0.153375378753	0.209154757217	0.263205620743
